name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
David Lo 0001,David Lo 0001,140,252,0.10348236471013929,0.07355261338571614,0.010996916752312435,0.0009387531888983435,0
Rick Kazman,Rick Kazman,71,129,0.11871845156330789,0.06928289751838992,0.055533199195171024,0.005453359423199083,0
Yan Liu,Yan Liu,176,295,0.14562764969741784,0.06841849819322669,0.014090909090909091,0.0011343295046831756,0
Danny Weyns,Danny Weyns,77,99,0.02824277983318081,0.041821032629442555,0.07313738892686261,0.0038079193836808175,0
Thomas Zimmermann 0001,Thomas Zimmermann 0001,53,81,0.03298130647608317,0.039048975895156046,0.04934687953555878,0.004004190281760283,0
Christian Kästner,Christian Kästner,68,105,0.08151156716189686,0.03806280802969021,0.03204565408252853,0.002499954416151713,0
Hongyu Zhang 0002,Hongyu Zhang 0002,173,285,0.08236772555623259,0.03675312541937369,0.013173813684635032,0.001313715533690435,0
Nenad Medvidovic,Nenad Medvidovic,52,87,0.02014260212046374,0.03497267170108208,0.06636500754147813,0.005613931708568956,0
Christoph Treude,Christoph Treude,66,97,0.022149420990954415,0.03154496961259139,0.029836829836829837,0.002549645176989296,0
Yingfei Xiong 0001,Yingfei Xiong 0001,50,69,0.02299537360794563,0.028788199846738773,0.07102040816326531,0.005827364393825188,0
Junjie Chen 0003,Junjie Chen 0003,87,137,0.037196050151939074,0.02647391206192499,0.02512697139802192,0.002010129062402887,0
Tao Xie 0001,Tao Xie 0001,90,125,0.018473200203533737,0.02637373039681561,0.025967540574282147,0.0019140229526391065,0
Alexander Egyed,Alexander Egyed,41,79,0.027848930778223355,0.026259091398916894,0.042682926829268296,0.00358471088531143,0
Catia Trubiani,Catia Trubiani,43,60,0.017692975790138604,0.025413719155352114,0.042081949058693245,0.002783042017248688,0
John C. Grundy,John C. Grundy,77,106,0.03506892358760603,0.025040376250809245,0.020164046479835954,0.0014748609049289783,0
Mike Papadakis,Mike Papadakis,46,81,0.04177541915663874,0.024882897541257477,0.05893719806763285,0.006397803017406672,0
Yuanfang Cai,Yuanfang Cai,55,98,0.02433133869824347,0.024852531122006246,0.08215488215488216,0.00807819978169604,0
Ting Liu 0002,Ting Liu 0002,45,82,0.010719731124302745,0.024163656274561,0.08787878787878788,0.008719583719101177,0
Shing-Chi Cheung,Shing-Chi Cheung,56,90,0.02500179433977566,0.022610311950805696,0.046753246753246755,0.004197166650361196,0
Arie van Deursen,Arie van Deursen,55,69,0.017744246722653262,0.02192390084420016,0.03434343434343434,0.0021828606515886346,0
Patricia Lago,Patricia Lago,72,131,0.06422919478767859,0.02156095486321296,0.028560250391236306,0.002660976260085733,0
Li Li 0029,Li Li 0029,56,95,0.04242902786427409,0.021346240522979332,0.05649350649350649,0.005538887589563301,0
Ahmed E. Hassan,Ahmed E. Hassan,49,87,0.0355380122996977,0.021235281420762784,0.06462585034013606,0.005723318363956013,0
Damian A. Tamburri,Damian A. Tamburri,45,92,0.08620501105397974,0.02067980781884169,0.06666666666666667,0.00690084593156808,0
Alberto Bacchelli,Alberto Bacchelli,52,68,0.025344513492553837,0.019952293899294846,0.05128205128205128,0.0030349726216067252,0
Igor Fabio Steinmacher,Igor Fabio Steinmacher,68,141,0.02552391016315947,0.01977713227327988,0.038630377524143986,0.0047450642464436895,0
Tomás Bures,Tomás Bures,39,89,0.035110813563865514,0.019771009102352813,0.059379217273954114,0.008656539923753969,0
Liming Zhu 0001,Liming Zhu 0001,52,128,0.03651087718281759,0.019331872414555813,0.015082956259426848,0.001246268656707353,0
Gordon Fraser 0001,Gordon Fraser 0001,61,106,0.030168646513903746,0.018921240619937926,0.029508196721311476,0.00247911106243142,0
Hridesh Rajan,Hridesh Rajan,36,68,0.012420781486733196,0.018668666798686277,0.03015873015873016,0.0028830116076627253,0
Bram Adams,Bram Adams,42,49,0.00719063861278767,0.018057186340317104,0.04065040650406504,0.001995716082831569,0
Patrizio Pelliccione,Patrizio Pelliccione,12,16,0.014209369287220776,0.017722977459030564,0.09090909090909091,0.006425335358464905,0
Andrew Begel,Andrew Begel,34,42,0.005952278092903775,0.01765907633055773,0.08377896613190731,0.005641993350981095,0
Mark Harman,Mark Harman,61,107,0.030462814405823373,0.017605278747436764,0.033879781420765025,0.0034515364490474458,0
Tim Menzies,Tim Menzies,23,34,0.017176262243371078,0.017440100269214515,0.09881422924901186,0.006858398820424908,0
Lu Xiao 0001,Lu Xiao 0001,32,64,0.09796982633225426,0.017395652968463824,0.16330645161290322,0.015625222476140857,0
Rafael Prikladnicki,Rafael Prikladnicki,59,79,0.01432891219569244,0.016822734342846785,0.06312098188194039,0.003224969803723446,0
Bogdan Vasilescu,Bogdan Vasilescu,63,93,0.0553253831803863,0.01674707991842954,0.03840245775729647,0.0029094762144761467,0
Matthias Galster,Matthias Galster,32,46,0.020957676142838957,0.016477239376407098,0.024193548387096774,0.0016548367909761377,0
Ivano Malavolta,Ivano Malavolta,53,89,0.02539190081091796,0.016462186510780234,0.031204644412191583,0.0031548121492399827,0
Yuriy Brun,Yuriy Brun,43,59,0.012298308379565425,0.016332717199371682,0.03875968992248062,0.0024612285552506647,0
Margaret-Anne D. Storey,Margaret-Anne D. Storey,31,40,0.013982230363866444,0.016309143981712675,0.07741935483870968,0.005492291662207192,0
Dongmei Zhang 0001,Dongmei Zhang 0001,72,136,0.007819118030318185,0.016116698008127067,0.05359937402190924,0.00639031939462325,0
Gang Huang 0001,Gang Huang 0001,29,43,0.001456766336710786,0.015912953433554238,0.11822660098522167,0.009520645869421676,0
Christian Bird,Christian Bird,45,56,0.00603178704007726,0.015764525418699542,0.0797979797979798,0.0049743606516646595,0
Yunhui Zheng,Yunhui Zheng,33,44,0.0025133728459757285,0.015193235355771408,0.043560606060606064,0.0027596440604286633,0
Annibale Panichella,Annibale Panichella,43,69,0.04036074965140004,0.015178205233084524,0.05094130675526024,0.004587861197116852,0
Marsha Chechik,Marsha Chechik,43,52,0.0060942914595925905,0.015001916171128584,0.028792912513842746,0.0017837476993354064,0
Harald C. Gall,Harald C. Gall,39,54,0.009879395304415187,0.014976701268158511,0.10931174089068826,0.007132483967592697,0
Sven Apel,Sven Apel,42,68,0.024831816281757624,0.014789224630624914,0.017421602787456445,0.0014201548321864858,0
Jane Cleland-Huang,Jane Cleland-Huang,51,78,0.029081753297884278,0.014750502195219988,0.05333333333333334,0.004466333238403064,0
Javier Cámara 0001,Javier Cámara 0001,40,63,0.004588608019363,0.014691125610330475,0.09487179487179487,0.007858461819271573,0
Xiangyu Zhang 0001,Xiangyu Zhang 0001,70,108,0.013437928367474063,0.014635133634347996,0.045134575569358175,0.003546796648703727,0
Andriy V. Miranskyy,Andriy V. Miranskyy,26,38,0.006991022474990978,0.014523976044055083,0.1076923076923077,0.006662519558972157,0
Lingming Zhang 0001,Lingming Zhang 0001,65,97,0.015088490807889427,0.014486834185483088,0.023557692307692307,0.0013989061685112931,0
Lin Tan 0001,Lin Tan 0001,40,56,0.008401077484808454,0.014448970496058266,0.08333333333333333,0.0054344130373892375,0
Fabio Palomba,Fabio Palomba,48,101,0.08829589930811671,0.014409229184764425,0.0975177304964539,0.010240555820734494,0
Dan Hao 0001,Dan Hao 0001,48,76,0.023467613176800937,0.014346022194288167,0.11524822695035461,0.009372120054040946,0
Zhendong Su 0001,Zhendong Su 0001,66,81,0.0182038748775593,0.014219404510818942,0.044755244755244755,0.0028772888342102716,0
Andrzej Wasowski,Andrzej Wasowski,28,31,0.009818523588429292,0.013968319143556516,0.0291005291005291,0.0015208204186786321,0
Jan Bosch,Jan Bosch,35,54,0.009278293300237972,0.013766847827504407,0.05042016806722689,0.004139363692971863,0
