name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Patrizio Pelliccione,Patrizio Pelliccione,19,20,0.0022428577997118597,0.0022726936006294126,0.19298245614035087,0.04133250227959516,0
David Garlan,David Garlan,13,15,0.0022976504306777426,0.002265106928649521,0.32051282051282054,0.07094043449006972,0
Eunsuk Kang,Eunsuk Kang,6,6,0.0020415044600435276,0.0020415044600435276,0.26666666666666666,0.05333333333333334,0
Thomas Vogel 0001,Thomas Vogel 0001,11,11,0.001857010391441621,0.0018776502263229424,0.45454545454545453,0.0918542583632541,0
Christian Kästner,Christian Kästner,9,15,0.001828336858453647,0.001828336858453647,0.3333333333333333,0.10832531703535025,0
Yan Liu,Yan Liu,27,34,0.0017468503816325904,0.0017445513901235324,0.2706552706552707,0.06997715894375306,1
Bogdan Vasilescu,Bogdan Vasilescu,12,18,0.0014834881320949433,0.0014834881320949433,0.21212121212121213,0.06514714262534256,0
Rafael Prikladnicki,Rafael Prikladnicki,6,6,0.001224596143824909,0.001224596143824909,0.4666666666666667,0.10373017532912825,0
Guozhu Meng,Guozhu Meng,15,15,0.0011954755847101738,0.0011954755847101738,0.4666666666666667,0.09333333333333332,1
Yun Lin 0001,Yun Lin 0001,8,8,0.0011954755847101738,0.0011954755847101738,0.42857142857142855,0.08571428571428573,1
Claudio Menghi,Claudio Menghi,14,15,0.0010885724795389755,0.0010885724795389755,0.23076923076923078,0.05015263153684421,0
Jun Sun 0001,Jun Sun 0001,18,18,0.0010537044416515954,0.0010537044416515954,0.3137254901960784,0.06478369450897939,1
Danny Weyns,Danny Weyns,16,16,0.0010176869080096864,0.0010176869080096864,0.225,0.045433201749824806,0
Igor Fabio Steinmacher,Igor Fabio Steinmacher,13,15,0.000961744781289275,0.000961744781289275,0.21794871794871795,0.05081909576734389,0
Tomás Bures,Tomás Bures,7,7,0.0009104006375869786,0.0009104006375869786,0.42857142857142855,0.08818972428471307,0
Wei Zou,Wei Zou,20,20,0.0007908530791159612,0.0007908530791159612,0.49473684210526314,0.09894736842105263,1
Yinxing Xue,Yinxing Xue,11,11,0.0007793581215706711,0.0007793581215706711,0.509090909090909,0.10181818181818185,1
Zhi Quan Zhou 0001,Zhi Quan Zhou 0001,10,10,0.0007533028844680133,0.0007533028844680133,0.2222222222222222,0.04559964911064388,1
Ilias Gerostathopoulos,Ilias Gerostathopoulos,12,12,0.0007172853508261043,0.0007172853508261043,0.3181818181818182,0.06363636363636364,0
Xiangyu Zhang 0001,Xiangyu Zhang 0001,34,36,0.0006296682299808928,0.0006296682299808928,0.21746880570409982,0.04551820994584945,2
Ivano Malavolta,Ivano Malavolta,11,11,0.000612872819789719,0.000592232984908398,0.2727272727272727,0.05549062199961773,0
Yulei Sui,Yulei Sui,12,12,0.0005398798393771266,0.0005421788308861845,0.5303030303030303,0.12315354717637841,1
Lionel C. Briand,Lionel C. Briand,10,11,0.00040615516660025134,0.00040615516660025134,0.35555555555555557,0.07804233910830774,0
Gian Luca Scoccia,Gian Luca Scoccia,9,11,0.00040602744484974823,0.0003857963195700373,0.4166666666666667,0.10044093555088326,0
Yi Li 0008,Yi Li 0008,13,18,0.0003563436839039941,0.0003563436839039941,0.48717948717948717,0.13754018094411508,1
