name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Patrizio Pelliccione,Patrizio Pelliccione,78,132,0.22686505941993976,0.23294267084193582,0.004662004662004662,0.0006512777763775872,0
Yan Liu,Yan Liu,176,295,0.18555537695832663,0.1957759197737129,0.003181818181818182,0.00046844965653868156,0
Sam Malek,Sam Malek,32,62,0.11820011771375442,0.1467640759617635,0.0967741935483871,0.010177944923014357,0
Yuanfang Cai,Yuanfang Cai,55,98,0.15816720887502037,0.13382580509146952,0.030303030303030304,0.0036233665362258617,0
Lu Xiao 0001,Lu Xiao 0001,32,64,0.20942051602514436,0.11636209200865147,0.1431451612903226,0.018388612380893832,0
Rick Kazman,Rick Kazman,7,33,0.16041026227163485,0.10757008290621903,0.7142857142857143,0.12585854089947673,0
Yutong Zhao,Yutong Zhao,15,24,5.787031467013679e-07,0.10372007375332572,0.4666666666666667,0.04665190964286883,0
Romina Spalazzese,Romina Spalazzese,38,59,0.08652914125265529,0.10336768245544047,0.07681365576102418,0.006986192951562504,0
Nenad Medvidovic,Nenad Medvidovic,52,87,0.08165675010900313,0.09930444604221988,0.030165912518853696,0.0032173978887743288,0
Mehdi Mirakhorli,Mehdi Mirakhorli,46,70,0.11973831067768663,0.08558572732570688,0.050241545893719805,0.005540202788238193,0
Ilias Gerostathopoulos,Ilias Gerostathopoulos,61,99,0.08468163145681118,0.08161999933873974,0.013114754098360656,0.0023325320651561123,0
Davide Taibi 0001,Davide Taibi 0001,31,56,0.08492005715325215,0.0796327394060499,0.0,0.0,0
Anne Koziolek,Anne Koziolek,64,133,0.10130082842378106,0.0775248183504727,0.006944444444444444,0.000782912948963988,0
Alessandro F. Garcia 0001,Alessandro F. Garcia 0001,45,81,0.06876879955070496,0.07511622887572647,0.0030303030303030303,0.00016835016835016833,0
Andrea Janes,Andrea Janes,3,7,0.0845589463897105,0.07373506424853842,0.3333333333333333,0.029396315777188875,0
