name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Elisa Yumi Nakagawa,Elisa Yumi Nakagawa,10,10,0.0007637752318603383,0.0007637752318603383,0.5333333333333333,0.13333333333333333,0
Anne Koziolek,Anne Koziolek,7,7,0.0005819239861793054,0.0005819239861793054,0.23809523809523808,0.05952380952380952,5
Nabor C. Mendonça,Nabor C. Mendonça,7,7,0.000436442989634479,0.000436442989634479,0.42857142857142855,0.10714285714285714,3
Romina Spalazzese,Romina Spalazzese,5,5,0.00036370249136206587,0.00036370249136206587,0.4,0.12118305254657682,4
Rodrigo Pereira dos Santos,Rodrigo Pereira dos Santos,6,6,0.0002909619930896527,0.0002909619930896527,0.4666666666666667,0.11666666666666667,6
Petr Hnetynka,Petr Hnetynka,8,9,0.0002182214948172395,0.0002182214948172395,0.5714285714285714,0.1591022084755724,1
Rima Al Ali,Rima Al Ali,8,9,0.0002182214948172395,0.0002182214948172395,0.5714285714285714,0.15910220847557244,1
Henry Muccini,Henry Muccini,5,10,0.0002364066193853428,0.00016366612111292964,0.5,0.22386413134052546,4
Mohammad Sharaf,Mohammad Sharaf,5,9,0.00012729587197672304,0.00016366612111292964,0.5,0.21736610509315363,4
Michele Ciavotta,Michele Ciavotta,4,4,0.00014548099654482634,0.00014548099654482634,0.3333333333333333,0.08333333333333333,13
Somayeh Malakuti,Somayeh Malakuti,3,3,7.274049827241317e-05,7.274049827241317e-05,0.3333333333333333,0.08333333333333333,22
Shruti Kunde,Shruti Kunde,3,3,7.274049827241317e-05,7.274049827241317e-05,0.3333333333333333,0.08333333333333333,25
Bernardo Estácio,Bernardo Estácio,4,4,0.0,0.0,1.0,0.25,6
Ole Meyer,Ole Meyer,4,4,0.0,0.0,1.0,0.25,14
Alberto Avritzer,Alberto Avritzer,5,5,0.0,0.0,1.0,0.25,7
Mahyar Tourchi Moghaddam,Mahyar Tourchi Moghaddam,3,4,0.0,0.0,1.0,0.3549934208245727,4
Hernán Astudillo,Hernán Astudillo,5,7,0.0,0.0,1.0,0.313988157484231,8
John Spray,John Spray,1,1,0.0,0.0,0.0,0.0,44
Svetlana Boudko,Svetlana Boudko,1,1,0.0,0.0,0.0,0.0,45
Vincenzo Ferme,Vincenzo Ferme,5,5,0.0,0.0,1.0,0.25,7
Flavio De Paoli,Flavio De Paoli,2,2,0.0,0.0,1.0,0.25,13
Francesco Nocera,Francesco Nocera,3,3,0.0,0.0,1.0,0.25,18
Georg Buchgeher,Georg Buchgeher,2,2,0.0,0.0,1.0,0.25,33
Carlo Bellettini,Carlo Bellettini,2,2,0.0,0.0,1.0,0.25,27
Yingan Ge,Yingan Ge,8,8,0.0,0.0,1.0,0.25,2
Philip Wizenty,Philip Wizenty,4,4,0.0,0.0,1.0,0.25,15
Danny Hughes 0001,Danny Hughes 0001,3,3,0.0,0.0,1.0,0.25,19
Heinz Huber,Heinz Huber,2,2,0.0,0.0,1.0,0.25,33
Wallace Manzano,Wallace Manzano,3,3,0.0,0.0,1.0,0.25,0
Christopher Gerking,Christopher Gerking,1,1,0.0,0.0,0.0,0.0,46
Teemu Väisänen,Teemu Väisänen,3,3,0.0,0.0,1.0,0.25,20
André van Hoorn,André van Hoorn,5,5,0.0,0.0,1.0,0.25,7
