name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Annibale Panichella,Annibale Panichella,8,8,0.002428111320611901,0.002428111320611901,0.39285714285714285,0.0804280074992491,0
Arie van Deursen,Arie van Deursen,6,6,0.00238473700280062,0.00238473700280062,0.2,0.04000000000000001,0
Carmine Gravino,Carmine Gravino,7,7,0.0023473160227281426,0.0023473160227281426,0.42857142857142855,0.08818972428471307,0
Giuseppe Scanniello,Giuseppe Scanniello,9,9,0.002264819771204726,0.002264819771204726,0.3333333333333333,0.06666666666666668,0
Rui Abreu 0001,Rui Abreu 0001,11,12,0.0022588664334659224,0.0022588664334659224,0.41818181818181815,0.08618971134619013,0
Giuseppe Procaccianti,Giuseppe Procaccianti,7,7,0.0020564529503466116,0.0020564529503466116,0.42857142857142855,0.08571428571428572,0
Ivano Malavolta,Ivano Malavolta,13,14,0.002021583400733621,0.002021583400733621,0.23076923076923078,0.049486167306344524,0
Fabio Palomba,Fabio Palomba,10,11,0.001212779945076207,0.001212779945076207,0.5555555555555556,0.12381836243930494,0
Andrea De Lucia,Andrea De Lucia,10,11,0.001212779945076207,0.001212779945076207,0.5555555555555556,0.12381836243930493,0
Gordon Fraser 0001,Gordon Fraser 0001,16,23,0.0018582918513264462,0.0012042751768779165,0.3,0.07631912165289251,0
Andrea Arcuri,Andrea Arcuri,10,11,0.0011991723159589423,0.0012034247000580875,0.3333333333333333,0.07820837218896337,0
Pasquale Salza,Pasquale Salza,8,9,0.0011787608722830455,0.0011787608722830455,0.6428571428571429,0.14528063892181328,0
Filomena Ferrucci,Filomena Ferrucci,8,9,0.0011787608722830455,0.0011787608722830455,0.6428571428571429,0.14528063892181328,0
Danny Weyns,Danny Weyns,14,15,0.0009933569255603156,0.0009908054951008284,0.17582417582417584,0.0368786003289772,1
Andreas Zeller,Andreas Zeller,14,14,0.0008666358794057888,0.0008666358794057888,0.24175824175824176,0.04835164835164835,0
Patrizio Pelliccione,Patrizio Pelliccione,8,8,0.0008419720516307467,0.0008419720516307467,0.42857142857142855,0.08757086464210626,0
Matthias Galster,Matthias Galster,9,9,0.0007535224623685269,0.0007535224623685269,0.25,0.05,1
Davide Di Ruscio,Davide Di Ruscio,8,9,0.0006982414690796394,0.0006982414690796394,0.35714285714285715,0.08071146606767406,0
José Campos 0001,José Campos 0001,11,13,6.973909922598105e-05,0.0006769795485839135,0.4909090909090909,0.11870743869235664,0
Sebastiano Panichella,Sebastiano Panichella,14,15,0.0006340304691825471,0.0006340304691825471,0.34065934065934067,0.07441567373372222,0
Harald C. Gall,Harald C. Gall,14,15,0.0006340304691825471,0.0006340304691825471,0.34065934065934067,0.07441567373372224,0
Stefan Wagner 0001,Stefan Wagner 0001,11,11,0.0006165956943760519,0.0006165956943760519,0.43636363636363634,0.08727272727272731,2
Daniel Graziotin,Daniel Graziotin,10,13,0.0005893804361415228,0.0005893804361415228,0.26666666666666666,0.06666666666666668,2
Yingfei Xiong 0001,Yingfei Xiong 0001,11,11,0.0005740718533846001,0.0005740718533846001,0.45454545454545453,0.09090909090909093,3
