name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
David Garlan,David Garlan,10,17,0.0014399851356373095,0.0014399851356373095,0.3111111111111111,0.11111111111111113,2
Pablo Oliveira Antonino,Pablo Oliveira Antonino,11,14,0.0011148272017837235,0.0011148272017837235,0.5636363636363636,0.12363636363636363,1
Ivano Malavolta,Ivano Malavolta,7,10,0.0002245138114703332,0.0002245138114703332,0.5238095238095238,0.14305255653746143,4
Patricia Lago,Patricia Lago,7,10,0.0002245138114703332,0.0002245138114703332,0.5238095238095238,0.14305255653746143,4
Henry Muccini,Henry Muccini,5,6,9.29022668153103e-05,9.29022668153103e-05,0.6,0.14079368399158987,8
Karthik Vaidhyanathan,Karthik Vaidhyanathan,5,6,9.29022668153103e-05,9.29022668153103e-05,0.6,0.14079368399158984,8
Robert Heinrich,Robert Heinrich,7,10,3.483835005574136e-05,3.483835005574136e-05,0.8571428571428571,0.2297052628451284,3
Maximilian Walter,Maximilian Walter,7,10,3.483835005574136e-05,3.483835005574136e-05,0.8571428571428571,0.22970526284512835,3
Stephan Seifermann,Stephan Seifermann,7,10,3.483835005574136e-05,3.483835005574136e-05,0.8571428571428571,0.22970526284512835,3
Sebastian Hahner,Sebastian Hahner,7,10,3.483835005574136e-05,3.483835005574136e-05,0.8571428571428571,0.22970526284512835,3
Federico Ciccozzi,Federico Ciccozzi,4,6,1.548371113588505e-05,1.548371113588505e-05,0.8333333333333334,0.23465613998598311,14
Malvina Latifaj,Malvina Latifaj,4,6,1.548371113588505e-05,1.548371113588505e-05,0.8333333333333334,0.23465613998598311,14
Roberto Verdecchia,Roberto Verdecchia,4,6,1.548371113588505e-05,1.548371113588505e-05,0.8333333333333334,0.24430375615620523,4
Mattias Mohlin,Mattias Mohlin,4,6,1.548371113588505e-05,1.548371113588505e-05,0.8333333333333334,0.2346561399859831,14
Giovanni De Gasperis,Giovanni De Gasperis,2,2,0.0,0.0,1.0,0.2,23
Laoa Jalal,Laoa Jalal,3,3,0.0,0.0,1.0,0.22948330468716058,15
Michael Grötzner,Michael Grötzner,4,4,0.0,0.0,1.0,0.19999999999999998,12
Jóakim von Kistowski,Jóakim von Kistowski,6,11,0.0,0.0,1.0,0.3506614033263249,6
Jan Bosch,Jan Bosch,2,2,0.0,0.0,1.0,0.2,27
Sangeeth Kochanthara,Sangeeth Kochanthara,5,5,0.0,0.0,1.0,0.20000000000000004,7
Philippe Kruchten,Philippe Kruchten,3,3,0.0,0.0,1.0,0.26413944467314365,4
Tomi Laurinen,Tomi Laurinen,4,7,0.0,0.0,1.0,0.32599210498948733,13
