name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
David Lo 0001,David Lo 0001,140,252,0.14115282671085547,0.08629549335390686,0.03730729701952724,0.003660227930460575,0
Yan Liu,Yan Liu,176,295,0.16547043743213133,0.07910987488865547,0.02974025974025974,0.002483586765210715,0
Xin Xia 0001,Xin Xia 0001,94,204,0.1347637766709127,0.04841090533436504,0.06726149622512011,0.00777442243799414,0
Hongyu Zhang 0002,Hongyu Zhang 0002,173,285,0.10311814517873893,0.047743466172450864,0.03911816104315096,0.0034351877344362958,0
Thomas Zimmermann 0001,Thomas Zimmermann 0001,53,81,0.05267673602081729,0.038294091591341325,0.06966618287373004,0.0052574950098682035,0
Rick Kazman,Rick Kazman,71,129,0.07423448909312556,0.03818457650773706,0.032595573440643864,0.0038138474243661273,0
Lei Ma 0003,Lei Ma 0003,64,85,0.027404890799257883,0.03779579339629523,0.060515873015873016,0.004200551392428069,0
Christoph Treude,Christoph Treude,66,97,0.03583421123190728,0.037734030808786505,0.04382284382284382,0.0029971440072669507,0
John C. Grundy,John C. Grundy,20,27,0.020222147237795616,0.035445872777249685,0.2,0.01373784875141331,0
Li Li 0029,Li Li 0029,56,95,0.03383344271685053,0.034433371485700415,0.06818181818181818,0.005464444221683855,0
Christian Kästner,Christian Kästner,68,105,0.0712148885595054,0.03346249144445595,0.0324846356453029,0.0025911312948532056,0
Anita Sarma,Anita Sarma,65,117,0.032998924265736626,0.03240062531376717,0.06057692307692308,0.005894993082249795,0
Gordon Fraser 0001,Gordon Fraser 0001,61,106,0.04128632598509965,0.02999096952942356,0.036065573770491806,0.0028529605921757194,0
Xiapu Luo,Xiapu Luo,80,102,0.03926724635128293,0.027087216681010967,0.04335443037974684,0.0030552204479978944,0
Ting Liu 0002,Ting Liu 0002,45,82,0.011807056308867258,0.026713026056210305,0.1202020202020202,0.010694331838182736,0
Nenad Medvidovic,Nenad Medvidovic,52,87,0.016543718258307215,0.02619790651526479,0.0746606334841629,0.005598744448719744,0
Yves Le Traon,Yves Le Traon,51,109,0.042297134663243585,0.025963864897210674,0.06980392156862746,0.0075622379867034935,0
Alexander Egyed,Alexander Egyed,41,79,0.004486249005035812,0.025533742404082245,0.10609756097560975,0.009882860658262336,0
Junjie Chen 0003,Junjie Chen 0003,87,137,0.04588917658823778,0.024776824815031375,0.07056936647955092,0.004861881707784066,0
Tao Xie 0001,Tao Xie 0001,90,125,0.03816340784157074,0.02422374719331203,0.04119850187265917,0.0027005473861708047,0
Lin Tan 0001,Lin Tan 0001,40,56,0.013177963788076036,0.024186011901600205,0.08076923076923077,0.005542286341897633,0
Bogdan Vasilescu,Bogdan Vasilescu,63,93,0.05970631953404247,0.02265613662602071,0.03891449052739376,0.0029298555663686667,0
