name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Elisa Yumi Nakagawa,Elisa Yumi Nakagawa,10,10,0.0014255167498218105,0.0014255167498218105,0.4666666666666667,0.23333333333333334,1
Martina De Sanctis,Martina De Sanctis,7,7,0.0010691375623663579,0.0010691375623663579,0.42857142857142855,0.21428571428571427,2
Patricia Lago,Patricia Lago,6,6,0.0008909479686386316,0.0008909479686386316,0.4,0.2,2
Muhammad Ali Babar 0001,Muhammad Ali Babar 0001,7,7,0.000831551437396056,0.000831551437396056,0.3333333333333333,0.16666666666666666,4
Davide Taibi 0001,Davide Taibi 0001,11,12,0.0007127583749109052,0.0007127583749109052,0.5636363636363636,0.30544736817226115,0
Tomás Cerný,Tomás Cerný,11,12,0.0007127583749109052,0.0007127583749109052,0.5636363636363636,0.30544736817226126,0
André van Hoorn,André van Hoorn,5,5,0.0003563791874554526,0.0003563791874554526,0.4,0.2,8
J. Andres Diaz-Pace,J. Andres Diaz-Pace,5,5,0.0003563791874554526,0.0003563791874554526,0.4,0.2,6
Robert Heinrich,Robert Heinrich,5,5,0.0003563791874554526,0.0003563791874554526,0.4,0.2,5
António Rito Silva,António Rito Silva,4,4,0.00023758612497030174,0.00023758612497030174,0.3333333333333333,0.16666666666666666,14
Uwe Zdun,Uwe Zdun,2,2,5.9396531242575434e-05,5.9396531242575434e-05,0.0,0.0,26
Sven Jordan,Sven Jordan,4,6,1.9798843747525145e-05,1.9798843747525145e-05,0.8333333333333334,0.5866403499649576,13
Ina Schaefer,Ina Schaefer,4,6,1.9798843747525145e-05,1.9798843747525145e-05,0.8333333333333334,0.5866403499649576,13
Enrico Vicario,Enrico Vicario,4,6,1.9798843747525145e-05,1.9798843747525145e-05,0.8333333333333334,0.5866403499649576,15
Lukas Linsbauer,Lukas Linsbauer,4,6,1.9798843747525145e-05,1.9798843747525145e-05,0.8333333333333334,0.5866403499649576,13
Leonardo Scommegna,Leonardo Scommegna,4,6,1.9798843747525145e-05,1.9798843747525145e-05,0.8333333333333334,0.5866403499649576,15
Roberto Verdecchia,Roberto Verdecchia,4,6,1.9798843747525145e-05,1.9798843747525145e-05,0.8333333333333334,0.5866403499649576,15
Mark G. J. van den Brand,Mark G. J. van den Brand,2,2,0.0,0.0,1.0,0.5,28
Vittorio Cortellessa,Vittorio Cortellessa,3,3,0.0,0.0,1.0,0.5,6
Lorenzo Toro-Gálvez,Lorenzo Toro-Gálvez,5,5,0.0,0.0,1.0,0.5,7
Christoph König 0002,Christoph König 0002,3,3,0.0,0.0,1.0,0.6299605249474365,13
Andreas Eich,Andreas Eich,8,8,0.0,0.0,1.0,0.5,3
Shaukat Ali 0001,Shaukat Ali 0001,3,3,0.0,0.0,1.0,0.5,18
Maria Kolyda,Maria Kolyda,4,4,0.0,0.0,1.0,0.5,12
Pierre-Jean Queval,Pierre-Jean Queval,1,1,0.0,0.0,0.0,0.0,26
Eirini Kostoglou,Eirini Kostoglou,4,4,0.0,0.0,1.0,0.5,12
Jens Kosiol,Jens Kosiol,1,1,0.0,0.0,0.0,0.0,31
Isra Shafique Ahmad,Isra Shafique Ahmad,3,3,0.0,0.0,1.0,0.5,21
Sebastian Frank 0001,Sebastian Frank 0001,3,3,0.0,0.0,1.0,0.5,8
Carlos Solís,Carlos Solís,4,4,0.0,0.0,1.0,0.5,16
Rafael Capilla,Rafael Capilla,4,4,0.0,0.0,1.0,0.5,1
Christopher Gerking,Christopher Gerking,3,3,0.0,0.0,1.0,0.5,5
Maryam Razavian,Maryam Razavian,4,4,0.0,0.0,1.0,0.5,2
Dario Amoroso d'Aragona,Dario Amoroso d'Aragona,7,7,0.0,0.0,1.0,0.5061885964260684,0
Muhammad Taimoor Khan 0001,Muhammad Taimoor Khan 0001,5,5,0.0,0.0,1.0,0.5,9
Andreas Morgenstern,Andreas Morgenstern,4,4,0.0,0.0,1.0,0.5,1
Marion Wiese,Marion Wiese,2,2,0.0,0.0,1.0,0.5,8
Kenji Tei,Kenji Tei,6,6,0.0,0.0,1.0,0.5,1
Nguyen Khoi Tran 0001,Nguyen Khoi Tran 0001,4,4,0.0,0.0,1.0,0.5,4
Narges Javaheri,Narges Javaheri,8,8,0.0,0.0,1.0,0.5,3
Sebastian Moritz,Sebastian Moritz,8,8,0.0,0.0,1.0,0.5,3
Samantha Perry,Samantha Perry,7,7,0.0,0.0,1.0,0.5061885964260684,0
Görkem Kilinç Soylu,Görkem Kilinç Soylu,3,3,0.0,0.0,1.0,0.5,21
Helena Rodrigues 0001,Helena Rodrigues 0001,2,2,0.0,0.0,1.0,0.5,14
Hassan Sartaj,Hassan Sartaj,3,3,0.0,0.0,1.0,0.5,18
Alberto Avritzer,Alberto Avritzer,2,2,0.0,0.0,1.0,0.5,14
Patrizio Pelliccione,Patrizio Pelliccione,3,3,0.0,0.0,1.0,0.5,20
Nicolas Boltz,Nicolas Boltz,3,3,0.0,0.0,1.0,0.5,5
Toshihide Ubukata,Toshihide Ubukata,6,6,0.0,0.0,1.0,0.5,1
Gokhan Yurtalan,Gokhan Yurtalan,2,2,0.0,0.0,1.0,0.5,27
Andrew Walters,Andrew Walters,4,4,0.0,0.0,1.0,0.5,4
Tommaso Pecorella,Tommaso Pecorella,3,3,0.0,0.0,1.0,0.6299605249474365,15
Anh-Duy Tran,Anh-Duy Tran,2,2,0.0,0.0,1.0,0.5,29
Priom Biswas,Priom Biswas,4,4,0.0,0.0,1.0,0.5,1
Adel Noureddine,Adel Noureddine,3,3,0.0,0.0,1.0,0.5,19
Yahya Bahadir Karatas,Yahya Bahadir Karatas,2,2,0.0,0.0,1.0,0.5,27
Chadni Islam,Chadni Islam,2,2,0.0,0.0,1.0,0.5,4
Kevin Maggi,Kevin Maggi,3,3,0.0,0.0,1.0,0.6299605249474365,15
Gervais Mendy,Gervais Mendy,5,5,0.0,0.0,1.0,0.5,9
Apostolos Ampatzoglou,Apostolos Ampatzoglou,4,4,0.0,0.0,1.0,0.5,12
Alper Karamanlioglu,Alper Karamanlioglu,2,2,0.0,0.0,1.0,0.5,27
Andrzej Zalewski,Andrzej Zalewski,4,4,0.0,0.0,1.0,0.5,17
