name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Catia Trubiani,Catia Trubiani,19,19,0.010621613915027089,0.010621613915027089,0.4444444444444444,0.22298222529209027,0
Heiko Koziolek,Heiko Koziolek,13,13,0.0031365839749073286,0.0031365839749073286,0.717948717948718,0.36064051955060816,0
Jasmin Jahic,Jasmin Jahic,9,9,0.0031365839749073286,0.0031365839749073286,0.6111111111111112,0.3055555555555556,0
Nenad Medvidovic,Nenad Medvidovic,13,13,0.0025662959794696323,0.0025662959794696323,0.6153846153846154,0.3076923076923077,1
Matthias Riebisch,Matthias Riebisch,8,8,0.0019960079840319364,0.0019960079840319364,0.42857142857142855,0.21428571428571427,2
Mehdi Mirakhorli,Mehdi Mirakhorli,12,12,0.0018534359851725122,0.0018534359851725122,0.696969696969697,0.3484848484848485,1
Paris Avgeriou,Paris Avgeriou,7,7,0.0017108639863130882,0.0017108639863130882,0.42857142857142855,0.21428571428571427,2
Robert Heinrich,Robert Heinrich,8,8,0.00106928999144568,0.00106928999144568,0.4642857142857143,0.23214285714285715,4
Christoph Fehling,Christoph Fehling,12,13,0.0007841459937268321,0.0007841459937268321,0.8484848484848485,0.44590251173366363,0
Oliver Kopp,Oliver Kopp,12,13,0.0007841459937268321,0.0007841459937268321,0.8484848484848485,0.44590251173366363,0
Uwe Zdun,Uwe Zdun,5,5,0.00042771599657827206,0.00042771599657827206,0.4,0.2,8
Johanna Barzen,Johanna Barzen,5,6,0.00014257199885942402,0.00014257199885942402,0.6,0.3519842099789746,7
Frank Leymann,Frank Leymann,5,6,0.00014257199885942402,0.00014257199885942402,0.6,0.3519842099789746,7
Rebekka Wohlrab,Rebekka Wohlrab,4,5,7.128599942971201e-05,7.128599942971201e-05,0.6666666666666666,0.3983135958070516,11
Patrizio Pelliccione,Patrizio Pelliccione,4,5,7.128599942971201e-05,7.128599942971201e-05,0.6666666666666666,0.3983135958070516,11
Aitor Arrieta,Aitor Arrieta,7,7,0.0,0.0,1.0,0.5,6
Jon Ayerdi,Jon Ayerdi,7,7,0.0,0.0,1.0,0.5,6
Marco Peise,Marco Peise,8,8,0.0,0.0,1.0,0.5,3
Suhrid Karthik,Suhrid Karthik,3,3,0.0,0.0,1.0,0.5,1
Kerstin Borras,Kerstin Borras,4,4,0.0,0.0,1.0,0.5,2
Alberto Avritzer,Alberto Avritzer,7,7,0.0,0.0,1.0,0.5,0
Jörn Kuhlenkamp,Jörn Kuhlenkamp,8,8,0.0,0.0,1.0,0.5,3
Joshua Garcia,Joshua Garcia,10,10,0.0,0.0,1.0,0.5,1
Marion Wiese,Marion Wiese,4,4,0.0,0.0,1.0,0.5,2
Tom Weber,Tom Weber,4,4,0.0,0.0,1.0,0.5,2
Markus Frank,Markus Frank,2,2,0.0,0.0,1.0,0.6299605249474365,0
Diogo Faustino,Diogo Faustino,3,3,0.0,0.0,1.0,0.5,13
Petr Hnetynka,Petr Hnetynka,5,5,0.0,0.0,1.0,0.5,4
Vincenzo Grassi,Vincenzo Grassi,1,1,0.0,0.0,0.0,0.0,22
Marie Salm,Marie Salm,3,3,0.0,0.0,1.0,0.5433201749824789,7
Valdemar Vicente Graciano Neto,Valdemar Vicente Graciano Neto,1,1,0.0,0.0,0.0,0.0,23
Philippe Kruchten,Philippe Kruchten,11,11,0.0,0.0,1.0,0.5023629186354079,0
Sebastian Geiger,Sebastian Geiger,3,3,0.0,0.0,1.0,0.5,8
Joanna C. S. Santos,Joanna C. S. Santos,2,2,0.0,0.0,1.0,0.5,1
Omair Farooqui,Omair Farooqui,4,4,0.0,0.0,1.0,0.5,10
Travis S. Humble,Travis S. Humble,8,8,0.0,0.0,1.0,0.5,5
André van Hoorn,André van Hoorn,7,7,0.0,0.0,1.0,0.5,0
Manuela Weigold,Manuela Weigold,3,3,0.0,0.0,1.0,0.5433201749824789,7
Shaukat Ali 0001,Shaukat Ali 0001,7,7,0.0,0.0,1.0,0.5,6
Qusay H. Mahmoud,Qusay H. Mahmoud,4,4,0.0,0.0,1.0,0.5,10
Martin Kassebaum,Martin Kassebaum,8,8,0.0,0.0,1.0,0.5,3
Lu Xiao 0001,Lu Xiao 0001,10,10,0.0,0.0,1.0,0.5,1
Wilhelm Hasselbring,Wilhelm Hasselbring,1,1,0.0,0.0,0.0,0.0,24
Roel Donker,Roel Donker,2,2,0.0,0.0,1.0,0.5,20
Darko Durisic,Darko Durisic,3,3,0.0,0.0,1.0,0.5,15
Qinghua Lu 0001,Qinghua Lu 0001,5,5,0.0,0.0,1.0,0.5,9
Andrzej Zalewski,Andrzej Zalewski,2,2,0.0,0.0,1.0,0.5,19
Muhammad Ali Babar 0001,Muhammad Ali Babar 0001,2,2,0.0,0.0,1.0,0.5,18
Maite Arratibel,Maite Arratibel,7,7,0.0,0.0,1.0,0.5,6
Tagline Treichel,Tagline Treichel,3,3,0.0,0.0,1.0,0.5,14
Khoi Pham,Khoi Pham,10,10,0.0,0.0,1.0,0.5,1
Jörg Baus,Jörg Baus,8,8,0.0,0.0,1.0,0.5,3
Andrea Janes,Andrea Janes,7,7,0.0,0.0,1.0,0.5,0
Maid Dzambic,Maid Dzambic,3,3,0.0,0.0,1.0,0.5,16
Vicente Leyton-Ortega,Vicente Leyton-Ortega,8,8,0.0,0.0,1.0,0.5,5
Christoph Kreuzberger,Christoph Kreuzberger,3,3,0.0,0.0,1.0,0.5,16
Filipe Silva-Santos,Filipe Silva-Santos,3,3,0.0,0.0,1.0,0.5,14
Zipani Tom Sinkala,Zipani Tom Sinkala,1,1,0.0,0.0,0.0,0.0,25
Steven Grainger,Steven Grainger,2,2,0.0,0.0,1.0,0.5,18
Ibrahim Mujhid,Ibrahim Mujhid,10,10,0.0,0.0,1.0,0.5,1
Ricardo Britto 0001,Ricardo Britto 0001,7,7,0.0,0.0,1.0,0.5,0
Adina Aniculaesei,Adina Aniculaesei,3,3,0.0,0.0,1.0,0.5,17
Ingo Weber,Ingo Weber,5,5,0.0,0.0,1.0,0.5,9
Raffaela Mirandola,Raffaela Mirandola,1,1,0.0,0.0,0.0,0.0,22
Silvia Bartolucci,Silvia Bartolucci,1,1,0.0,0.0,0.0,0.0,26
Jonathan Aldrich,Jonathan Aldrich,1,1,0.0,0.0,0.0,0.0,27
Karoline Wild,Karoline Wild,3,3,0.0,0.0,1.0,0.5433201749824789,7
Manar Mazkatli,Manar Mazkatli,3,3,0.0,0.0,1.0,0.5,4
Len Bass,Len Bass,5,5,0.0,0.0,1.0,0.5,9
Rick Kazman,Rick Kazman,10,10,0.0,0.0,1.0,0.5,1
Julius Rückert,Julius Rückert,2,2,0.0,0.0,1.0,0.5,0
Wibe A. de Jong,Wibe A. de Jong,8,8,0.0,0.0,1.0,0.5,5
Duc Minh Le,Duc Minh Le,3,3,0.0,0.0,1.0,0.5,1
Matteo Camilli,Matteo Camilli,7,7,0.0,0.0,1.0,0.5,0
Tomás Bures,Tomás Bures,5,5,0.0,0.0,1.0,0.5,4
Sarthak Gupta,Sarthak Gupta,2,2,0.0,0.0,1.0,0.5,20
Max-Robert Ulbricht,Max-Robert Ulbricht,8,8,0.0,0.0,1.0,0.5,3
Thien Nguyen 0001,Thien Nguyen 0001,8,8,0.0,0.0,1.0,0.5,5
Yutong Zhao,Yutong Zhao,10,10,0.0,0.0,1.0,0.5,1
Miroslaw Staron,Miroslaw Staron,3,3,0.0,0.0,1.0,0.5,15
Marcelo Schmitt Laser,Marcelo Schmitt Laser,3,3,0.0,0.0,1.0,0.5,1
Yanja Dajsuren,Yanja Dajsuren,3,3,0.0,0.0,1.0,0.5,15
Grace A. Lewis,Grace A. Lewis,11,11,0.0,0.0,1.0,0.5023629186354079,0
Anselm Busse,Anselm Busse,8,8,0.0,0.0,1.0,0.5,3
Christoph Schröer,Christoph Schröer,2,2,0.0,0.0,1.0,0.5,21
Ritu Kapur,Ritu Kapur,1,1,0.0,0.0,0.0,0.0,28
Sven Wittfoth,Sven Wittfoth,2,2,0.0,0.0,1.0,0.5,21
Olaf Zimmermann,Olaf Zimmermann,2,2,0.0,0.0,1.0,0.5,8
Szymon Kijas,Szymon Kijas,2,2,0.0,0.0,1.0,0.5,19
Riccardo Pinciroli,Riccardo Pinciroli,1,1,0.0,0.0,0.0,0.0,0
Leonardo Silva Rosa,Leonardo Silva Rosa,3,3,0.0,0.0,1.0,0.5,14
H. M. N. Dilum Bandara,H. M. N. Dilum Bandara,5,5,0.0,0.0,1.0,0.5,9
Dirk Krücker,Dirk Krücker,4,4,0.0,0.0,1.0,0.5,2
Eric Knauss,Eric Knauss,3,3,0.0,0.0,1.0,0.5433201749824789,11
Stephan Seifermann,Stephan Seifermann,5,5,0.0,0.0,1.0,0.5,4
Ahmet Okutan,Ahmet Okutan,10,10,0.0,0.0,1.0,0.5,1
Stefen Becker,Stefen Becker,11,11,0.0,0.0,1.0,0.5023629186354079,0
Romina Spalazzese,Romina Spalazzese,11,11,0.0,0.0,1.0,0.5023629186354079,0
Dmitry I. Lyakh,Dmitry I. Lyakh,8,8,0.0,0.0,1.0,0.5,5
Stefan Tai,Stefan Tai,8,8,0.0,0.0,1.0,0.5,3
Thorsten Zörner,Thorsten Zörner,8,8,0.0,0.0,1.0,0.5,3
Jorge Marx Gomicronmez,Jorge Marx Gomicronmez,2,2,0.0,0.0,1.0,0.5,21
Holger Knoche,Holger Knoche,1,1,0.0,0.0,0.0,0.0,24
Stefan Kugele,Stefan Kugele,3,3,0.0,0.0,1.0,0.5,15
Tao Yue 0002,Tao Yue 0002,7,7,0.0,0.0,1.0,0.5,6
Goiuria Sagardui,Goiuria Sagardui,7,7,0.0,0.0,1.0,0.5,6
Pablo Oliveira Antonino,Pablo Oliveira Antonino,3,3,0.0,0.0,1.0,0.5,14
Konstantinos Plakidas,Konstantinos Plakidas,3,3,0.0,0.0,1.0,0.5,8
Mohamad Kassab,Mohamad Kassab,1,1,0.0,0.0,0.0,0.0,23
Meng Zhang,Meng Zhang,3,3,0.0,0.0,1.0,0.5,17
Manuel Portela,Manuel Portela,3,3,0.0,0.0,1.0,0.5,13
Lukasz Grzymkowski,Lukasz Grzymkowski,2,2,0.0,0.0,1.0,0.5,0
Raphael C. Pooser,Raphael C. Pooser,8,8,0.0,0.0,1.0,0.5,5
Sebastian Herold,Sebastian Herold,1,1,0.0,0.0,0.0,0.0,25
