name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Tomás Bures,Tomás Bures,7,7,0.0006207324643078833,0.0006207324643078833,0.5238095238095238,0.2619047619047619,0
Miroslaw Staron,Miroslaw Staron,5,5,0.00037243947858473,0.00037243947858473,0.4,0.2,9
Vittorio Cortellessa,Vittorio Cortellessa,5,7,0.00037243947858473,0.00037243947858473,0.4,0.2759921049894873,4
Patrizio Pelliccione,Patrizio Pelliccione,5,5,0.00024829298572315333,0.00024829298572315333,0.6,0.3,5
Romina Spalazzese,Romina Spalazzese,4,4,0.000186219739292365,0.000186219739292365,0.5,0.25,13
Simon Eismann,Simon Eismann,4,5,6.207324643078833e-05,6.207324643078833e-05,0.6666666666666666,0.3983135958070516,12
Samuel Kounev,Samuel Kounev,4,5,6.207324643078833e-05,6.207324643078833e-05,0.6666666666666666,0.3983135958070516,12
Nenad Medvidovic,Nenad Medvidovic,5,7,4.138216428719222e-05,4.138216428719222e-05,0.8,0.5279763149684619,10
Arman Shahbazian,Arman Shahbazian,5,7,4.138216428719222e-05,4.138216428719222e-05,0.8,0.5279763149684619,10
Duc Minh Le,Duc Minh Le,5,7,4.138216428719222e-05,4.138216428719222e-05,0.8,0.5279763149684619,10
Andreas Biesdorf,Andreas Biesdorf,6,9,3.1036623215394166e-05,3.1036623215394166e-05,0.8666666666666667,0.6113096483017952,2
Klym Shumaiev,Klym Shumaiev,6,9,3.1036623215394166e-05,3.1036623215394166e-05,0.8666666666666667,0.6113096483017952,2
Manoj Bhat,Manoj Bhat,6,9,3.1036623215394166e-05,3.1036623215394166e-05,0.8666666666666667,0.6113096483017951,2
Florian Matthes,Florian Matthes,6,9,3.1036623215394166e-05,3.1036623215394166e-05,0.8666666666666667,0.6113096483017952,2
Benno Kallweit,Benno Kallweit,5,8,1.5518311607697083e-05,1.5518311607697083e-05,0.9,0.6779763149684619,7
Thomas Kuhn 0001,Thomas Kuhn 0001,5,8,1.5518311607697083e-05,1.5518311607697083e-05,0.9,0.6779763149684619,7
Pablo Oliveira Antonino,Pablo Oliveira Antonino,5,8,1.5518311607697083e-05,1.5518311607697083e-05,0.9,0.6779763149684619,7
Andreas Morgenstern,Andreas Morgenstern,5,8,1.5518311607697083e-05,1.5518311607697083e-05,0.9,0.6779763149684619,7
Yan Liu 0001,Yan Liu 0001,3,3,0.0,0.0,1.0,0.5,16
Ole Meyer,Ole Meyer,4,4,0.0,0.0,1.0,0.5216600874912394,11
Antonela Tommasel,Antonela Tommasel,2,2,0.0,0.0,1.0,0.5,25
Maryam Razavian,Maryam Razavian,3,3,0.0,0.0,1.0,0.5,18
Clemens A. Szyperski,Clemens A. Szyperski,3,3,0.0,0.0,1.0,0.5,20
Victor Cortez,Victor Cortez,5,5,0.0,0.0,1.0,0.538988157484231,3
