name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Dumitru Roman,Dumitru Roman,10,10,0.0010009609224855861,0.0010009609224855861,0.4444444444444444,0.1111111111111111,1
Antonio Bucchiarone,Antonio Bucchiarone,10,10,0.0009609224855861627,0.0009609224855861627,0.4666666666666667,0.11666666666666667,2
Uwe Zdun,Uwe Zdun,9,9,0.0006005765534913516,0.0006005765534913516,0.5833333333333334,0.14583333333333334,4
Robert Heinrich,Robert Heinrich,18,38,0.00032030749519538755,0.00032030749519538755,0.8954248366013072,0.4621524766281464,0
Ralf H. Reussner,Ralf H. Reussner,18,38,0.00032030749519538755,0.00032030749519538755,0.8954248366013072,0.4621524766281465,0
Peng Liang 0001,Peng Liang 0001,5,5,0.00024023062139654066,0.00024023062139654066,0.4,0.1,6
Claudia Linnhoff-Popien,Claudia Linnhoff-Popien,4,4,0.00016015374759769378,0.00016015374759769378,0.3333333333333333,0.08333333333333333,10
David Garlan,David Garlan,5,9,0.00016015374759769378,0.00016015374759769378,0.6,0.3,7
Henry Muccini,Henry Muccini,4,4,0.00012011531069827033,0.00012011531069827033,0.5,0.125,11
Stefanie Scherzinger,Stefanie Scherzinger,3,3,0.0,0.0,1.0,0.25,19
Antonio F. Skarmeta,Antonio F. Skarmeta,5,5,0.0,0.0,1.0,0.25,1
Guilherme Vale,Guilherme Vale,5,10,0.0,0.0,1.0,0.5,5
Christoph Roch,Christoph Roch,2,2,0.0,0.0,1.0,0.25,10
Filipe Figueiredo Correia,Filipe Figueiredo Correia,5,10,0.0,0.0,1.0,0.5,5
Brian Elvesæter,Brian Elvesæter,5,5,0.0,0.0,1.0,0.25,1
Vittorio Cortellessa,Vittorio Cortellessa,9,9,0.0,0.0,1.0,0.25,3
James Ivers,James Ivers,2,2,0.0,0.0,1.0,0.25,26
Ruiyin Li,Ruiyin Li,3,3,0.0,0.0,1.0,0.25,6
Nicolas Boltz,Nicolas Boltz,17,34,0.0,0.0,1.0,0.5009555920952017,0
Hasan Sözer,Hasan Sözer,1,1,0.0,0.0,0.0,0.0,42
Okba Tibermacine,Okba Tibermacine,2,2,0.0,0.0,1.0,0.25,28
Marian Lingsch Rosenfeld,Marian Lingsch Rosenfeld,2,2,0.0,0.0,1.0,0.25,10
Paris Avgeriou,Paris Avgeriou,3,3,0.0,0.0,1.0,0.25,6
Cesare Pautasso,Cesare Pautasso,2,2,0.0,0.0,1.0,0.25,29
Matteo Pradella,Matteo Pradella,2,2,0.0,0.0,1.0,0.25,30
Elena Heldwein,Elena Heldwein,7,7,0.0,0.0,1.0,0.25,4
Edward Dahl,Edward Dahl,1,1,0.0,0.0,0.0,0.0,41
Thomas Pochart,Thomas Pochart,2,2,0.0,0.0,1.0,0.25,27
Maryna Waszak,Maryna Waszak,5,5,0.0,0.0,1.0,0.25,1
An Ngoc Lam,An Ngoc Lam,5,5,0.0,0.0,1.0,0.25,1
Hideharu Kojima,Hideharu Kojima,3,3,0.0,0.0,1.0,0.25,20
Mahyar Tourchi Moghaddam,Mahyar Tourchi Moghaddam,3,3,0.0,0.0,1.0,0.25,11
Patrizio Pelliccione,Patrizio Pelliccione,3,3,0.0,0.0,1.0,0.25,21
Aline Maria Malachini Miotto Amaral,Aline Maria Malachini Miotto Amaral,4,4,0.0,0.0,1.0,0.25,14
Claire Le Goues,Claire Le Goues,4,8,0.0,0.0,1.0,0.5,7
Volker Hoffmann,Volker Hoffmann,5,5,0.0,0.0,1.0,0.25,1
