name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Karthik Vaidhyanathan,Karthik Vaidhyanathan,18,18,0.0022085889570552146,0.0022085889570552146,0.23529411764705882,0.11764705882352941,1
Alessio Bucaioni,Alessio Bucaioni,17,18,0.002067012741859368,0.002067012741859368,0.18382352941176472,0.09573413308668932,2
Andrea Janes,Andrea Janes,11,11,0.0014535158093440302,0.0014535158093440302,0.45454545454545453,0.22963564590813523,0
Yuanfang Cai,Yuanfang Cai,9,9,0.0008494572911750826,0.0008494572911750826,0.5,0.25,0
Catia Trubiani,Catia Trubiani,8,8,0.0006040585181689476,0.0006040585181689476,0.5714285714285714,0.2857142857142857,0
Anne Koziolek,Anne Koziolek,7,7,0.0002831524303916942,0.0002831524303916942,0.42857142857142855,0.21428571428571427,5
Valentina Lenarduzzi,Valentina Lenarduzzi,7,8,0.0002831524303916942,0.0002831524303916942,0.6190476190476191,0.3466553880802199,0
Davide Taibi 0001,Davide Taibi 0001,7,8,0.0002831524303916942,0.0002831524303916942,0.6190476190476191,0.3466553880802199,0
Jorge Andrés Díaz Pace,Jorge Andrés Díaz Pace,6,6,0.00016989145823501653,0.00016989145823501653,0.4,0.2,9
Riccardo Morandi,Riccardo Morandi,10,11,0.00016989145823501653,0.00016989145823501653,0.6,0.3259921049894873,3
Marco Picone 0001,Marco Picone 0001,10,11,0.00016989145823501653,0.00016989145823501653,0.6,0.3259921049894873,3
Qinghua Lu 0001,Qinghua Lu 0001,8,11,0.00023910649677520842,0.00015730690577316347,0.5,0.33060877773196884,4
Jan Keim,Jan Keim,5,5,0.00013213780084945728,0.00013213780084945728,0.6,0.3,5
Wilhelm Hasselbring,Wilhelm Hasselbring,5,5,0.00013213780084945728,0.00013213780084945728,0.3,0.15,14
Justus Bogner,Justus Bogner,4,4,7.550731477111845e-05,7.550731477111845e-05,0.3333333333333333,0.16666666666666666,21
Liming Zhu 0001,Liming Zhu 0001,6,7,1.8876828692779613e-05,5.663048607833884e-05,0.6,0.3738162101171963,4
