name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Anne Koziolek,Anne Koziolek,8,8,0.0015521064301552106,0.0015521064301552106,0.25,0.08333333333333333,0
Mauro Caporuscio,Mauro Caporuscio,8,8,0.0011086474501108647,0.0011086474501108647,0.4642857142857143,0.15476190476190474,1
Martina De Sanctis,Martina De Sanctis,5,5,0.0008869179600886918,0.0008869179600886918,0.4,0.13333333333333333,3
Patricia Lago,Patricia Lago,4,4,0.0007390983000739098,0.0007390983000739098,0.3333333333333333,0.1111111111111111,3
Justus Bogner,Justus Bogner,7,7,0.0007390983000739098,0.0007390983000739098,0.5238095238095238,0.1746031746031746,2
Hernán Astudillo,Hernán Astudillo,5,5,0.0004434589800443459,0.0004434589800443459,0.4,0.13333333333333333,6
André van Hoorn,André van Hoorn,6,6,0.0003695491500369549,0.0003695491500369549,0.6666666666666666,0.2222222222222222,4
Stefen Becker,Stefen Becker,4,4,0.00029563932002956393,0.00029563932002956393,0.3333333333333333,0.1111111111111111,11
Pablo Oliveira Antonino,Pablo Oliveira Antonino,3,6,3.695491500369549e-05,3.695491500369549e-05,0.6666666666666666,0.41463089504600803,17
Thomas Kuhn 0001,Thomas Kuhn 0001,3,6,3.695491500369549e-05,3.695491500369549e-05,0.6666666666666666,0.41463089504600803,17
Matija Cankar,Matija Cankar,3,4,3.695491500369549e-05,3.695491500369549e-05,0.6666666666666666,0.2799824555321941,14
Anze Luzar,Anze Luzar,3,4,3.695491500369549e-05,3.695491500369549e-05,0.6666666666666666,0.2799824555321941,14
Roy Jamil,Roy Jamil,3,3,0.0,0.0,1.0,0.3333333333333333,12
Filipe Figueiredo Correia,Filipe Figueiredo Correia,5,5,0.0,0.0,1.0,0.3333333333333333,2
Mahyar Tourchi Moghaddam,Mahyar Tourchi Moghaddam,3,3,0.0,0.0,1.0,0.3333333333333333,13
Rinat Asmus,Rinat Asmus,2,2,0.0,0.0,1.0,0.3333333333333333,23
Pelle Jakovits,Pelle Jakovits,4,4,0.0,0.0,1.0,0.3333333333333333,9
Chadni Islam,Chadni Islam,2,2,0.0,0.0,1.0,0.3333333333333333,20
Dominik Werle,Dominik Werle,2,2,0.0,0.0,1.0,0.3333333333333333,0
Abigail Hammer,Abigail Hammer,4,4,0.0,0.0,1.0,0.3333333333333333,8
Uwe Zdun,Uwe Zdun,4,4,0.0,0.0,1.0,0.3333333333333333,10
Hariharan Thiagarajan,Hariharan Thiagarajan,2,2,0.0,0.0,1.0,0.3333333333333333,21
Philippe Kruchten,Philippe Kruchten,2,2,0.0,0.0,1.0,0.3333333333333333,3
Sebastian Geiger,Sebastian Geiger,4,4,0.0,0.0,1.0,0.3333333333333333,10
Geoffrey C. Hulette,Geoffrey C. Hulette,5,5,0.0,0.0,1.0,0.3333333333333333,7
Stefan Wagner 0001,Stefan Wagner 0001,2,2,0.0,0.0,1.0,0.3333333333333333,2
Alfred Zimmermann,Alfred Zimmermann,2,2,0.0,0.0,1.0,0.3333333333333333,2
Sebastian Frank 0001,Sebastian Frank 0001,1,1,0.0,0.0,0.0,0.0,4
Frank Mantwill,Frank Mantwill,2,2,0.0,0.0,1.0,0.3333333333333333,24
Surya Nepal,Surya Nepal,2,2,0.0,0.0,1.0,0.3333333333333333,20
Anne Nyokabi,Anne Nyokabi,3,3,0.0,0.0,1.0,0.3333333333333333,15
Rafael Capilla,Rafael Capilla,3,3,0.0,0.0,1.0,0.3333333333333333,6
João Franscisco Almeida,João Franscisco Almeida,1,1,0.0,0.0,0.0,0.0,31
Marcel Oliveira,Marcel Oliveira,6,6,0.0,0.0,1.0,0.3333333333333333,5
Farid Edrisi,Farid Edrisi,5,5,0.0,0.0,1.0,0.3333333333333333,1
Federico Giaimo,Federico Giaimo,1,1,0.0,0.0,0.0,0.0,30
Akram Idani,Akram Idani,2,2,0.0,0.0,1.0,0.3333333333333333,22
Samuel Gratzl,Samuel Gratzl,5,5,0.0,0.0,1.0,0.3333333333333333,4
Frank Schnicke,Frank Schnicke,2,4,0.0,0.0,1.0,0.7631428283688879,17
Vincenzo Grassi,Vincenzo Grassi,3,3,0.0,0.0,1.0,0.3333333333333333,1
Sudhanshu G. R. Chouhan,Sudhanshu G. R. Chouhan,3,3,0.0,0.0,1.0,0.3333333333333333,16
Jing Sun 0002,Jing Sun 0002,2,2,0.0,0.0,1.0,0.3333333333333333,25
Ion Barosan,Ion Barosan,3,3,0.0,0.0,1.0,0.3333333333333333,16
Markus Frank,Markus Frank,2,2,0.0,0.0,1.0,0.3333333333333333,11
Robert C. Armstrong,Robert C. Armstrong,5,5,0.0,0.0,1.0,0.3333333333333333,7
Alexander Pretschner,Alexander Pretschner,2,2,0.0,0.0,1.0,0.3333333333333333,26
Friederike Dollinger,Friederike Dollinger,2,2,0.0,0.0,1.0,0.3333333333333333,23
Anton Johannesson,Anton Johannesson,5,5,0.0,0.0,1.0,0.3333333333333333,1
Tiago Matias,Tiago Matias,5,5,0.0,0.0,1.0,0.3333333333333333,2
Somayeh Malakuti,Somayeh Malakuti,1,1,0.0,0.0,0.0,0.0,33
Saso Stanovnik,Saso Stanovnik,2,2,0.0,0.0,1.0,0.4199736832982911,14
Sandro Speth,Sandro Speth,2,2,0.0,0.0,1.0,0.3333333333333333,11
Satish Narayana Srirama,Satish Narayana Srirama,4,4,0.0,0.0,1.0,0.3333333333333333,9
Manuel Wimmer,Manuel Wimmer,3,3,0.0,0.0,1.0,0.3333333333333333,3
John Hatcliff,John Hatcliff,2,2,0.0,0.0,1.0,0.3333333333333333,21
Siamak Farshidi,Siamak Farshidi,1,1,0.0,0.0,0.0,0.0,35
Julius Rückert,Julius Rückert,2,2,0.0,0.0,1.0,0.3333333333333333,27
Damian A. Tamburri,Damian A. Tamburri,2,2,0.0,0.0,1.0,0.4199736832982911,14
Thai Son Hoang,Thai Son Hoang,5,5,0.0,0.0,1.0,0.3333333333333333,7
Thaís Batista,Thaís Batista,6,6,0.0,0.0,1.0,0.3333333333333333,5
Christian Berger 0001,Christian Berger 0001,1,1,0.0,0.0,0.0,0.0,30
Alex Serban,Alex Serban,2,2,0.0,0.0,1.0,0.3333333333333333,28
Dominik Mauksch,Dominik Mauksch,2,2,0.0,0.0,1.0,0.3333333333333333,26
Naveen Sharma,Naveen Sharma,1,1,0.0,0.0,0.0,0.0,36
Raffaela Mirandola,Raffaela Mirandola,3,3,0.0,0.0,1.0,0.3333333333333333,1
Claudia Kopf,Claudia Kopf,5,5,0.0,0.0,1.0,0.3333333333333333,1
Angelika Kaplan,Angelika Kaplan,3,3,0.0,0.0,1.0,0.3333333333333333,0
Carlos Carrillo 0001,Carlos Carrillo 0001,3,3,0.0,0.0,1.0,0.3333333333333333,6
Muhammad Ali Babar 0001,Muhammad Ali Babar 0001,2,2,0.0,0.0,1.0,0.3333333333333333,20
Lucia Happe,Lucia Happe,1,1,0.0,0.0,0.0,0.0,32
Sebastian Meixner,Sebastian Meixner,4,4,0.0,0.0,1.0,0.3333333333333333,10
Manar Mazkatli,Manar Mazkatli,3,3,0.0,0.0,1.0,0.3333333333333333,0
Philippe Lalanda,Philippe Lalanda,3,3,0.0,0.0,1.0,0.3333333333333333,13
M. Alireza Hakamian,M. Alireza Hakamian,2,2,0.0,0.0,1.0,0.3333333333333333,11
Kristin Y. Rozier,Kristin Y. Rozier,4,4,0.0,0.0,1.0,0.3333333333333333,8
Mai Abusair,Mai Abusair,3,3,0.0,0.0,1.0,0.3333333333333333,18
Jason Mashinchi,Jason Mashinchi,1,1,0.0,0.0,0.0,0.0,37
Chinmaya Kumar Dehury,Chinmaya Kumar Dehury,4,4,0.0,0.0,1.0,0.3333333333333333,9
Éric Rutten,Éric Rutten,3,3,0.0,0.0,1.0,0.3333333333333333,13
Patrizia Scandurra,Patrizia Scandurra,1,1,0.0,0.0,0.0,0.0,38
Robby,Robby,2,2,0.0,0.0,1.0,0.3333333333333333,21
Niranjana Deshpande,Niranjana Deshpande,1,1,0.0,0.0,0.0,0.0,36
Olaf Zimmermann,Olaf Zimmermann,3,3,0.0,0.0,1.0,0.3333333333333333,6
Yanja Dajsuren,Yanja Dajsuren,1,1,0.0,0.0,0.0,0.0,39
Mirko D'Angelo,Mirko D'Angelo,3,3,0.0,0.0,1.0,0.3333333333333333,1
Maria Teresa Rossi,Maria Teresa Rossi,3,3,0.0,0.0,1.0,0.3333333333333333,3
Adam Bachorek,Adam Bachorek,2,2,0.0,0.0,1.0,0.4807498567691361,17
Slinger Jansen,Slinger Jansen,1,1,0.0,0.0,0.0,0.0,35
Björn Leander,Björn Leander,3,3,0.0,0.0,1.0,0.3333333333333333,19
Hassan Hage,Hassan Hage,2,2,0.0,0.0,1.0,0.3333333333333333,24
Tomas Lindström,Tomas Lindström,3,3,0.0,0.0,1.0,0.3333333333333333,19
Mehdi Mirakhorli,Mehdi Mirakhorli,3,3,0.0,0.0,1.0,0.3333333333333333,0
Catia Trubiani,Catia Trubiani,5,5,0.0,0.0,1.0,0.3333333333333333,4
Mohammad Sharaf,Mohammad Sharaf,3,3,0.0,0.0,1.0,0.3333333333333333,18
Stephan Seifermann,Stephan Seifermann,2,2,0.0,0.0,1.0,0.3333333333333333,0
Uwe Breitenbücher,Uwe Breitenbücher,2,2,0.0,0.0,1.0,0.3333333333333333,11
Aldeida Aleti,Aldeida Aleti,5,5,0.0,0.0,1.0,0.3333333333333333,4
Everton Cavalcante,Everton Cavalcante,6,6,0.0,0.0,1.0,0.3333333333333333,5
Ian Warren,Ian Warren,2,2,0.0,0.0,1.0,0.3333333333333333,25
Francis Palma,Francis Palma,2,2,0.0,0.0,1.0,0.3333333333333333,29
Karla Morris,Karla Morris,5,5,0.0,0.0,1.0,0.3333333333333333,7
Antonio Filieri,Antonio Filieri,1,1,0.0,0.0,0.0,0.0,34
Konstantinos Plakidas,Konstantinos Plakidas,4,4,0.0,0.0,1.0,0.3333333333333333,10
Simon Collart Dutilleul,Simon Collart Dutilleul,2,2,0.0,0.0,1.0,0.3333333333333333,22
Matthew Cauwels,Matthew Cauwels,4,4,0.0,0.0,1.0,0.3333333333333333,8
Antinisca Di Marco,Antinisca Di Marco,3,3,0.0,0.0,1.0,0.3333333333333333,18
Thomas Hutzelmann,Thomas Hutzelmann,2,2,0.0,0.0,1.0,0.3333333333333333,26
Joost Visser 0001,Joost Visser 0001,2,2,0.0,0.0,1.0,0.3333333333333333,28
Diego Perez-Palacin,Diego Perez-Palacin,5,5,0.0,0.0,1.0,0.3333333333333333,1
Pablo Cruz,Pablo Cruz,2,2,0.0,0.0,1.0,0.3333333333333333,6
Antoine Bertout,Antoine Bertout,3,3,0.0,0.0,1.0,0.3333333333333333,12
Phillip H. Jones,Phillip H. Jones,4,4,0.0,0.0,1.0,0.3333333333333333,8
Guillaume Giraud,Guillaume Giraud,3,3,0.0,0.0,1.0,0.3333333333333333,13
Colin F. Snook,Colin F. Snook,5,5,0.0,0.0,1.0,0.3333333333333333,7
Pooyan Jamshidi,Pooyan Jamshidi,5,5,0.0,0.0,1.0,0.3333333333333333,4
Johannes Grohmann,Johannes Grohmann,3,3,0.0,0.0,1.0,0.3333333333333333,0
Flávio Oquendo,Flávio Oquendo,6,6,0.0,0.0,1.0,0.3333333333333333,5
Ludovico Iovino,Ludovico Iovino,3,3,0.0,0.0,1.0,0.3333333333333333,3
Barbora Buhnova,Barbora Buhnova,1,1,0.0,0.0,0.0,0.0,32
Margrethe Hallberg,Margrethe Hallberg,5,5,0.0,0.0,1.0,0.3333333333333333,1
Vasilis Tountopoulos,Vasilis Tountopoulos,4,4,0.0,0.0,1.0,0.3333333333333333,9
Vahid Hashemi,Vahid Hashemi,2,2,0.0,0.0,1.0,0.3333333333333333,24
Giorgos Giotis,Giorgos Giotis,4,4,0.0,0.0,1.0,0.3333333333333333,9
Gregor Engels,Gregor Engels,1,1,0.0,0.0,0.0,0.0,40
Erik Poll,Erik Poll,2,2,0.0,0.0,1.0,0.3333333333333333,28
Fagner Dias,Fagner Dias,6,6,0.0,0.0,1.0,0.3333333333333333,5
Patricia Goldberg,Patricia Goldberg,3,3,0.0,0.0,1.0,0.3333333333333333,15
Camila Araújo,Camila Araújo,6,6,0.0,0.0,1.0,0.3333333333333333,5
Evangelos Ntentos,Evangelos Ntentos,4,4,0.0,0.0,1.0,0.3333333333333333,10
Roberto Verdecchia,Roberto Verdecchia,2,2,0.0,0.0,1.0,0.3333333333333333,3
Emmanuel Grolleau,Emmanuel Grolleau,3,3,0.0,0.0,1.0,0.3333333333333333,12
Eoin Martino Grua,Eoin Martino Grua,2,2,0.0,0.0,1.0,0.3333333333333333,3
Jan Keim,Jan Keim,3,3,0.0,0.0,1.0,0.3333333333333333,0
Jonas Fritzsch,Jonas Fritzsch,5,5,0.0,0.0,1.0,0.3333333333333333,2
Luis Salinas,Luis Salinas,2,2,0.0,0.0,1.0,0.3333333333333333,6
Marc Dreiser,Marc Dreiser,2,2,0.0,0.0,1.0,0.3333333333333333,23
