name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Yan Liu,Yan Liu,43,59,0.021870926148431936,0.0183924700512626,0.16832779623477298,0.05802331405713078,0
Hongyu Zhang 0002,Hongyu Zhang 0002,32,34,0.019524007796499588,0.016828476718131518,0.1774193548387097,0.04922997856076255,0
Yiling Lou,Yiling Lou,10,10,0.0070721030116369515,0.010312901380027086,0.4666666666666667,0.13720233374112661,0
Chong Wang,Chong Wang,21,23,0.006432266605389983,0.009609876510996642,0.4666666666666667,0.12187973053408732,0
Ying Fu,Ying Fu,10,10,0.00901644014533597,0.00901644014533597,0.5333333333333333,0.1495189915096629,0
Yanli Wang 0001,Yanli Wang 0001,26,39,0.012885848568502492,0.006830264650810362,0.28923076923076924,0.10527369785461056,0
Ting Chen 0002,Ting Chen 0002,21,27,0.009088123027578056,0.006133321535662568,0.3333333333333333,0.108066984128136,0
Baowen Xu,Baowen Xu,13,13,0.006121992803327475,0.006121992803327475,0.48717948717948717,0.1323440626341254,0
Tianlin Li,Tianlin Li,23,24,0.0056202272371994695,0.005944256610321373,0.2608695652173913,0.06990495167376896,0
Yu Jiang 0001,Yu Jiang 0001,17,24,0.008568957467586062,0.005764464922461454,0.3014705882352941,0.10665785130463394,0
Pinjia He,Pinjia He,8,8,0.005650395992303681,0.005650395992303681,0.4642857142857143,0.11607142857142858,0
Chengcheng Wan 0001,Chengcheng Wan 0001,14,15,0.005455796564706502,0.005455796564706502,0.37362637362637363,0.10126135040891099,0
Yuming Zhou,Yuming Zhou,9,9,0.004929852165795206,0.004929852165795206,0.4444444444444444,0.1111111111111111,0
Haowen Yang,Haowen Yang,12,12,0.004440723874807702,0.004440723874807702,0.4696969696969697,0.11742424242424243,0
Xiangke Liao,Xiangke Liao,19,20,0.002783491857566747,0.004048392282635801,0.5789473684210527,0.1554562519297546,0
Yuanliang Zhang,Yuanliang Zhang,19,20,0.002783491857566747,0.004048392282635801,0.5789473684210527,0.1554562519297546,0
Haoyu Wang 0001,Haoyu Wang 0001,34,39,0.00511634328390917,0.0040010194412568225,0.17647058823529413,0.05145812597319549,0
Jianhua Zhao,Jianhua Zhao,9,9,0.003944582991834714,0.003944582991834714,0.4444444444444444,0.11652613298392096,0
Xiaofei Xie,Xiaofei Xie,20,24,0.0034723287503122743,0.0033497678625241997,0.24210526315789474,0.07134282263644331,0
Michael R. Lyu,Michael R. Lyu,21,24,0.003297462673079008,0.00331853036386238,0.319047619047619,0.09054470541278695,0
Chong Wang 0013,Chong Wang 0013,22,29,0.0013106534420869482,0.0032822425970607944,0.31601731601731603,0.1087800470367486,0
Shin Hwei Tan,Shin Hwei Tan,9,9,0.0031872230574024486,0.0031872230574024486,0.5,0.125,0
Daoyuan Wu,Daoyuan Wu,13,13,0.002931263449932285,0.002931263449932285,0.46153846153846156,0.11893347164024981,0
Shangqing Liu,Shangqing Liu,14,16,0.003138573200503162,0.0028271080546885875,0.3956043956043956,0.11201651813979431,0
Ying Li 0012,Ying Li 0012,17,20,0.002675742129461214,0.002675742129461214,0.4117647058823529,0.11848959935255943,0
Zibin Zheng,Zibin Zheng,21,28,0.0016378054677764094,0.002512189422353735,0.3,0.09971293754309253,0
Weisong Sun,Weisong Sun,17,22,0.001688744852475726,0.002448706333309752,0.49264705882352944,0.16405807936068173,0
Minxue Pan,Minxue Pan,10,12,0.002329933687177038,0.002329933687177038,0.4,0.12143961971579781,0
Lingling Fan 0003,Lingling Fan 0003,12,12,0.002152865739543568,0.002152865739543568,0.5151515151515151,0.12977242821929874,0
Yuekang Li,Yuekang Li,15,15,0.0018898935400879205,0.0018898935400879205,0.4666666666666667,0.12081394004709946,0
Jiachi Chen,Jiachi Chen,28,38,0.002811465003513601,0.0018595223381317402,0.25396825396825395,0.0884400303749016,0
Peng Di,Peng Di,12,12,0.001625168192635902,0.001625168192635902,0.45454545454545453,0.11363636363636363,0
Jie M. Zhang,Jie M. Zhang,7,7,0.001625168192635902,0.001625168192635902,0.42857142857142855,0.1124077329798501,0
Shanshan Li,Shanshan Li,12,12,0.0013586896971875123,0.0013586896971875123,0.4696969696969697,0.12845991845355803,0
Jian Zhang 0087,Jian Zhang 0087,17,22,0.0009704842925244298,0.0012195461923285703,0.375,0.1258812829287923,0
Yueling Zhang,Yueling Zhang,11,11,0.0010904580537427519,0.0010904580537427519,0.4909090909090909,0.1239087320449767,0
Sen Chen 0001,Sen Chen 0001,9,10,0.0008670047320386358,0.000982586231401763,0.5833333333333334,0.16254755834189108,0
Yanjie Zhao 0001,Yanjie Zhao 0001,17,20,3.447857726196268e-05,0.0009670858825622332,0.3235294117647059,0.09939510446584167,0
Zeyu Sun 0004,Zeyu Sun 0004,6,6,0.0008204732623016204,0.0008204732623016204,0.4,0.1,0
Lei Ma 0003,Lei Ma 0003,10,11,0.0008099543743233945,0.0008099543743233945,0.5555555555555556,0.15332894721638185,0
Yuheng Huang 0004,Yuheng Huang 0004,10,11,0.0008099543743233945,0.0008099543743233945,0.5555555555555556,0.15332894721638185,0
Chunrong Fang,Chunrong Fang,13,16,0.0007727438081004213,0.0007173589409817334,0.6794871794871795,0.21144788309924176,0
Zhenyu Chen 0001,Zhenyu Chen 0001,13,16,0.0007727438081004213,0.0007173589409817334,0.6794871794871795,0.21144788309924176,0
Tian Tan 0001,Tian Tan 0001,8,9,0.0006771534135982924,0.0006771534135982924,0.6428571428571429,0.17695935133271526,0
Zhibo Liu,Zhibo Liu,11,12,0.0006771534135982924,0.0006771534135982924,0.5454545454545454,0.14817822954067608,0
Shuai Wang 0011,Shuai Wang 0011,11,12,0.0006771534135982924,0.0006771534135982924,0.5454545454545454,0.14817822954067608,0
Yue Li 0006,Yue Li 0006,8,9,0.0006771534135982924,0.0006771534135982924,0.6428571428571429,0.1769593513327153,0
Xin Peng 0001,Xin Peng 0001,11,14,0.0005895690616129252,0.0005990254356539569,0.509090909090909,0.17092246655771726,0
Zhenpeng Chen 0001,Zhenpeng Chen 0001,13,16,0.00011833748975504143,0.000487281224348471,0.5,0.16249456181164076,0
Junjie Chen 0003,Junjie Chen 0003,15,17,0.00039708802117802784,0.00039708802117802784,0.3333333333333333,0.09596903534211643,1
Ruikai Zhang,Ruikai Zhang,8,11,2.1914349954637297e-07,0.00031096601724360095,0.7857142857142857,0.28036074804119354,0
Yuchi Ma,Yuchi Ma,8,11,2.1914349954637297e-07,0.00031096601724360095,0.7857142857142857,0.28036074804119354,0
Xiangyu Zhang 0001,Xiangyu Zhang 0001,10,11,0.0002989117333812527,0.0002989117333812527,0.5111111111111111,0.13788581860702284,1
Christian Kästner,Christian Kästner,18,19,0.0002844482624111921,0.0002844482624111921,0.28104575163398693,0.07450851388717113,3
Eunsuk Kang,Eunsuk Kang,12,12,0.00028400997541209934,0.00028400997541209934,0.3181818181818182,0.07954545454545454,3
Tianyi Zhang 0001,Tianyi Zhang 0001,7,7,0.00027524423543024443,0.00027524423543024443,0.7142857142857143,0.18166572678446277,0
Xin Peng,Xin Peng,8,10,0.000242477064545691,0.00025783798032341757,0.7142857142857143,0.2153486839173078,0
Yang Liu,Yang Liu,8,10,0.000242477064545691,0.00025783798032341757,0.7142857142857143,0.2153486839173078,0
Wei Ma 0014,Wei Ma 0014,13,14,5.3471013889314995e-05,0.0002400365079788821,0.5384615384615384,0.14991670706052926,0
Dong Wang 0044,Dong Wang 0044,13,13,0.00022440294353548592,0.00022440294353548592,0.48717948717948717,0.12321233836636991,1
Zhong Li,Zhong Li,7,9,0.00017706794763346922,0.00017706794763346922,0.7142857142857143,0.2214191726065325,0
Xuandong Li,Xuandong Li,7,9,0.00017706794763346922,0.00017706794763346922,0.7142857142857143,0.22141917260653252,0
Yongqiang Tian 0001,Yongqiang Tian 0001,12,15,0.00015361959318200744,0.00015361959318200744,0.45454545454545453,0.13258248435483577,1
Yuanfang Cai,Yuanfang Cai,9,9,0.00014200498770604967,0.00014200498770604967,0.5,0.125,3
Weizhe Zhang,Weizhe Zhang,9,10,4.382869990927459e-06,0.0001318513388937344,0.5833333333333334,0.16414283293122395,0
Xiaokuan Zhang,Xiaokuan Zhang,11,11,0.00012622665573871084,0.00012622665573871084,0.4909090909090909,0.12390873204497668,1
Wenchao Gu,Wenchao Gu,9,10,0.0001032270236910824,0.00012429471447445575,0.6944444444444444,0.19346619131141388,0
Kailong Wang 0001,Kailong Wang 0001,10,11,3.944582991834714e-06,9.690923992667056e-05,0.6,0.16952273084994587,0
Hridesh Rajan,Hridesh Rajan,12,13,9.379341780584763e-05,9.379341780584763e-05,0.36363636363636365,0.09780093692903073,5
Cuiyun Gao 0001,Cuiyun Gao 0001,8,8,8.281537201904862e-05,8.603782500285439e-05,0.5357142857142857,0.13624929508834707,0
Yu Huang,Yu Huang,17,17,8.415110382580722e-05,8.415110382580722e-05,0.29411764705882354,0.07352941176470588,9
Jie Liang 0006,Jie Liang 0006,9,16,2.9277571539395426e-05,8.333869332952278e-05,0.7777777777777778,0.312651882706395,0
Jingzhou Fu,Jingzhou Fu,9,16,2.9277571539395426e-05,8.333869332952278e-05,0.7777777777777778,0.3126518827063948,0
Zhiyong Wu 0010,Zhiyong Wu 0010,9,16,2.9277571539395426e-05,8.333869332952278e-05,0.7777777777777778,0.312651882706395,0
Zan Wang,Zan Wang,13,15,7.801508583850878e-05,7.801508583850878e-05,0.4358974358974359,0.1259839578323362,1
Xin Xia 0001,Xin Xia 0001,16,19,8.02065208339725e-05,7.231735485030308e-05,0.31666666666666665,0.0946327514291571,4
Ge Li 0001,Ge Li 0001,10,10,7.012591985483935e-05,7.012591985483935e-05,0.4444444444444444,0.11356805316837448,4
Tien N. Nguyen,Tien N. Nguyen,9,10,6.749619786028288e-05,6.749619786028288e-05,0.3333333333333333,0.09055336249707979,5
Claire Le Goues,Claire Le Goues,9,9,6.311332786935542e-05,6.311332786935542e-05,0.4444444444444444,0.1111111111111111,7
Xiaohong Li 0001,Xiaohong Li 0001,10,11,1.3294705639146627e-05,5.9128900604875906e-05,0.5555555555555556,0.15878694725093725,0
Ensheng Shi,Ensheng Shi,11,13,5.21770237015174e-06,5.8720022473687645e-05,0.6363636363636364,0.19513828474895964,0
Vincent J. Hellendoorn,Vincent J. Hellendoorn,7,7,5.259443989112951e-05,5.259443989112951e-05,0.42857142857142855,0.10714285714285714,7
Sorin Lerner,Sorin Lerner,13,13,5.259443989112951e-05,5.259443989112951e-05,0.48717948717948717,0.12262795208299639,8
Denys Poshyvanyk,Denys Poshyvanyk,12,13,5.084129189475853e-05,5.084129189475853e-05,0.22727272727272727,0.060756379543861705,12
Shangwen Wang,Shangwen Wang,15,15,4.9088143898387545e-05,4.9088143898387545e-05,0.4666666666666667,0.11666666666666667,10
Paolo Tonella,Paolo Tonella,9,9,4.470527390746009e-05,4.470527390746009e-05,0.5,0.1268050072909366,5
Xing Hu 0008,Xing Hu 0008,14,16,3.8130968921068896e-05,4.426698690836734e-05,0.38461538461538464,0.11297833911132153,4
Ting Su 0001,Ting Su 0001,11,12,4.3828699909274595e-05,4.3828699909274595e-05,0.5636363636363636,0.15390514340383457,0
Jingyi Wang 0004,Jingyi Wang 0004,11,11,4.29521259110891e-05,4.29521259110891e-05,0.4909090909090909,0.12272727272727273,11
Xiapu Luo,Xiapu Luo,8,8,3.681610792379066e-05,3.681610792379066e-05,0.4642857142857143,0.11607142857142858,7
Kai Yang,Kai Yang,9,9,3.155666393467771e-05,3.155666393467771e-05,0.5,0.125,13
James C. Davis 0001,James C. Davis 0001,17,20,3.944582991834713e-05,2.9949611604670975e-05,0.4632352941176471,0.1324264568988254,6
Jun Sun 0001,Jun Sun 0001,7,7,2.8926941940121233e-05,2.8926941940121233e-05,0.42857142857142855,0.10714285714285714,11
Mahan Tafreshipour,Mahan Tafreshipour,7,7,2.6297219945564754e-05,2.6297219945564754e-05,0.42857142857142855,0.10714285714285714,14
Jonathan Aldrich,Jonathan Aldrich,5,5,2.6297219945564754e-05,2.6297219945564754e-05,0.4,0.1,7
Minghui Zhou 0001,Minghui Zhou 0001,6,6,2.366749795100828e-05,2.366749795100828e-05,0.4,0.1,13
Michael Pradel,Michael Pradel,11,11,2.279092395282279e-05,2.279092395282279e-05,0.5272727272727272,0.1318181818181818,15
Heng Li 0007,Heng Li 0007,9,9,2.1037775956451805e-05,2.1037775956451805e-05,0.5,0.125,18
Nenad Medvidovic,Nenad Medvidovic,9,9,2.1037775956451805e-05,2.1037775956451805e-05,0.5,0.125,17
Alex Sanchez-Stern,Alex Sanchez-Stern,12,13,2.1037775956451805e-05,2.1037775956451805e-05,0.5757575757575758,0.15476943768501364,8
Yuriy Brun,Yuriy Brun,12,13,2.1037775956451805e-05,2.1037775956451805e-05,0.5757575757575758,0.1547694376850136,8
Daniel Amyot,Daniel Amyot,10,10,2.1037775956451805e-05,2.1037775956451805e-05,0.4666666666666667,0.11666666666666667,22
Huiyun Peng,Huiyun Peng,15,16,1.534004496824611e-05,1.8846340960988073e-05,0.5523809523809524,0.1483187016730354,6
Laurie A. Williams,Laurie A. Williams,9,9,1.7531479963709837e-05,1.7531479963709837e-05,0.4444444444444444,0.1111111111111111,26
Sonia Haiduc,Sonia Haiduc,9,9,1.7531479963709837e-05,1.7531479963709837e-05,0.4444444444444444,0.1111111111111111,25
Souti Chattopadhyay,Souti Chattopadhyay,8,8,1.5778331967338855e-05,1.5778331967338855e-05,0.5714285714285714,0.14285714285714285,17
Cor-Paul Bezemer,Cor-Paul Bezemer,8,8,1.5778331967338855e-05,1.5778331967338855e-05,0.5714285714285714,0.14285714285714285,18
Shuai Wang,Shuai Wang,9,9,1.5778331967338855e-05,1.5778331967338855e-05,0.5,0.125,29
Iftekhar Ahmed 0001,Iftekhar Ahmed 0001,6,6,1.5778331967338855e-05,1.5778331967338855e-05,0.4666666666666667,0.11666666666666667,14
Sam Malek,Sam Malek,5,5,1.5778331967338855e-05,1.5778331967338855e-05,0.4,0.1,14
Grischa Liebel,Grischa Liebel,7,7,1.402518397096787e-05,1.402518397096787e-05,0.42857142857142855,0.10714285714285714,36
Pengyu Nie 0001,Pengyu Nie 0001,8,8,1.402518397096787e-05,1.402518397096787e-05,0.42857142857142855,0.10714285714285714,39
