name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Robert Heinrich,Robert Heinrich,13,14,0.004186346071275226,0.004186346071275226,0.38461538461538464,0.20730313749393495,1
Patricia Lago,Patricia Lago,8,8,0.0020395019321597253,0.0020395019321597253,0.32142857142857145,0.16071428571428573,2
Bahareh Taghavi,Bahareh Taghavi,10,11,0.0009660798626019752,0.0009660798626019752,0.6,0.32599210498948733,1
Damian A. Tamburri,Damian A. Tamburri,6,6,0.0008587376556462001,0.0008587376556462001,0.4666666666666667,0.23333333333333334,4
Hernán Astudillo,Hernán Astudillo,4,4,0.00032202662086732505,0.00032202662086732505,0.5,0.25,7
Tomás Cerný,Tomás Cerný,6,8,0.000107342206955775,0.000107342206955775,0.8,0.5026456133052994,3
Amr S. Abdelfattah,Amr S. Abdelfattah,6,8,0.000107342206955775,0.000107342206955775,0.8,0.5026456133052994,3
Muhammad Ashfakur Rahman Arju,Muhammad Ashfakur Rahman Arju,6,8,0.000107342206955775,0.000107342206955775,0.8,0.5026456133052994,3
Fitash Ul Haq,Fitash Ul Haq,3,3,0.0,0.0,1.0,0.5,9
Khubaib Amjad Alam,Khubaib Amjad Alam,3,3,0.0,0.0,1.0,0.5,8
Uwe Zdun,Uwe Zdun,1,1,0.0,0.0,0.0,0.0,22
Valentina Lenarduzzi,Valentina Lenarduzzi,5,5,0.0,0.0,1.0,0.538988157484231,3
Denivan Campos,Denivan Campos,20,20,0.0,0.0,1.0,0.5,0
Gustavo B. Figueiredo,Gustavo B. Figueiredo,20,20,0.0,0.0,1.0,0.5,0
Francisco Ponce 0001,Francisco Ponce 0001,3,3,0.0,0.0,1.0,0.5,7
Maciej Kopa,Maciej Kopa,3,3,0.0,0.0,1.0,0.5,10
Dominique F. Briechle,Dominique F. Briechle,4,4,0.0,0.0,1.0,0.5,6
Cesare Pautasso,Cesare Pautasso,1,1,0.0,0.0,0.0,0.0,23
Ernando Passos,Ernando Passos,20,20,0.0,0.0,1.0,0.5,0
Adriano H. O. Maia,Adriano H. O. Maia,20,20,0.0,0.0,1.0,0.5,0
Mauro Caporuscio,Mauro Caporuscio,2,2,0.0,0.0,1.0,0.5,17
Ricardo César Mendonça Filho,Ricardo César Mendonça Filho,1,1,0.0,0.0,0.0,0.0,24
Rania Mzid,Rania Mzid,2,2,0.0,0.0,1.0,0.5,18
Luana Almeida Martins,Luana Almeida Martins,20,20,0.0,0.0,1.0,0.5,0
Tobias Geger,Tobias Geger,4,4,0.0,0.0,1.0,0.5,6
Nicolas Boltz,Nicolas Boltz,4,4,0.0,0.0,1.0,0.5216600874912394,1
Christopher Gerking,Christopher Gerking,4,4,0.0,0.0,1.0,0.5216600874912394,1
André van Hoorn,André van Hoorn,3,3,0.0,0.0,1.0,0.5,11
Sebastian Weber 0001,Sebastian Weber 0001,7,7,0.0,0.0,1.0,0.5061885964260684,1
Rafael Capilla,Rafael Capilla,2,2,0.0,0.0,1.0,0.5,16
Maja Linder,Maja Linder,3,3,0.0,0.0,1.0,0.5,12
Mayki dos Santos Oliveira,Mayki dos Santos Oliveira,20,20,0.0,0.0,1.0,0.5,0
Ilyes Rezgui,Ilyes Rezgui,2,2,0.0,0.0,1.0,0.5,18
Indika Kumara,Indika Kumara,4,4,0.0,0.0,1.0,0.5,4
Justus Bogner,Justus Bogner,3,3,0.0,0.0,1.0,0.5,2
Teklie Belay Bzuneh,Teklie Belay Bzuneh,3,3,0.0,0.0,1.0,0.5,13
Hira Asif,Hira Asif,3,3,0.0,0.0,1.0,0.5,8
Sandro Speth,Sandro Speth,3,3,0.0,0.0,1.0,0.5,1
Muhammad Ali Babar 0001,Muhammad Ali Babar 0001,1,1,0.0,0.0,0.0,0.0,25
Niklas Krieger,Niklas Krieger,3,3,0.0,0.0,1.0,0.5,1
Sebastian Frank 0001,Sebastian Frank 0001,3,3,0.0,0.0,1.0,0.5,11
Antonela Tommasel,Antonela Tommasel,2,2,0.0,0.0,1.0,0.5,16
Jander Pereira,Jander Pereira,20,20,0.0,0.0,1.0,0.5,0
Nabor C. Mendonça,Nabor C. Mendonça,1,1,0.0,0.0,0.0,0.0,24
Matias Romário Pinheiro dos Santos,Matias Romário Pinheiro dos Santos,20,20,0.0,0.0,1.0,0.5,0
Raffaela Groner,Raffaela Groner,3,3,0.0,0.0,1.0,0.5,12
Faezeh Amou Najafabadi,Faezeh Amou Najafabadi,3,3,0.0,0.0,1.0,0.5,2
Diego Corrêa da Silva,Diego Corrêa da Silva,20,20,0.0,0.0,1.0,0.5,0
Eduardo Ferreira da Silva,Eduardo Ferreira da Silva,20,20,0.0,0.0,1.0,0.5,0
Muhammed Cagri Kaya,Muhammed Cagri Kaya,3,3,0.0,0.0,1.0,0.5,13
Nils Johansson,Nils Johansson,2,2,0.0,0.0,1.0,0.5,17
Norberto Cañas,Norberto Cañas,5,5,0.0,0.0,1.0,0.5,5
Anil Cetinkaya,Anil Cetinkaya,3,3,0.0,0.0,1.0,0.5,13
Cássio V. S. Prazeres,Cássio V. S. Prazeres,20,20,0.0,0.0,1.0,0.5,0
Dhyego Tavares,Dhyego Tavares,20,20,0.0,0.0,1.0,0.5,0
Thomas Weber 0006,Thomas Weber 0006,7,7,0.0,0.0,1.0,0.5061885964260684,1
Thaís Batista,Thaís Batista,3,3,0.0,0.0,1.0,0.5,14
Aref El-Maarawi Tefur,Aref El-Maarawi Tefur,3,3,0.0,0.0,1.0,0.5,11
Sahar Ahmadisakha,Sahar Ahmadisakha,1,1,0.0,0.0,0.0,0.0,26
Stefan Kugele,Stefan Kugele,2,2,0.0,0.0,1.0,0.5,20
Darek Gajewski,Darek Gajewski,3,3,0.0,0.0,1.0,0.6299605249474365,3
Dario Di Nucci,Dario Di Nucci,4,4,0.0,0.0,1.0,0.5,4
Thomas Franz,Thomas Franz,2,2,0.0,0.0,1.0,0.5,21
Anna Rita Fasolino,Anna Rita Fasolino,3,3,0.0,0.0,1.0,0.5,15
M. Alireza Hakamian,M. Alireza Hakamian,3,3,0.0,0.0,1.0,0.5,11
Halit Oguztüzün,Halit Oguztüzün,3,3,0.0,0.0,1.0,0.5,13
Tewfik Ziadi,Tewfik Ziadi,2,2,0.0,0.0,1.0,0.5,18
Jennifer Pérez,Jennifer Pérez,5,5,0.0,0.0,1.0,0.5,5
Rebekka Wohlrab,Rebekka Wohlrab,3,3,0.0,0.0,1.0,0.5,12
Patric Genfer,Patric Genfer,1,1,0.0,0.0,0.0,0.0,22
Ademar Aguiar,Ademar Aguiar,1,1,0.0,0.0,0.0,0.0,27
Xiaozhou Li 0002,Xiaozhou Li 0002,2,2,0.0,0.0,1.0,0.5,19
Ivan Machado 0001,Ivan Machado 0001,20,20,0.0,0.0,1.0,0.5,0
George Pinto 0001,George Pinto 0001,20,20,0.0,0.0,1.0,0.5,0
Sebastian Stüber,Sebastian Stüber,7,7,0.0,0.0,1.0,0.5061885964260684,1
Md Showkat Hossain Chy,Md Showkat Hossain Chy,5,5,0.0,0.0,1.0,0.538988157484231,3
Korn Sooksatra,Korn Sooksatra,5,5,0.0,0.0,1.0,0.538988157484231,3
Everton Cavalcante,Everton Cavalcante,3,3,0.0,0.0,1.0,0.5,14
Mohammed Fahad Ali,Mohammed Fahad Ali,4,4,0.0,0.0,1.0,0.5,6
Martin Lamprecht,Martin Lamprecht,2,2,0.0,0.0,1.0,0.5,20
Aneta Poniszewska-Maranda,Aneta Poniszewska-Maranda,3,3,0.0,0.0,1.0,0.5,10
Davide Taibi 0001,Davide Taibi 0001,2,2,0.0,0.0,1.0,0.5,19
Irum Inayat,Irum Inayat,3,3,0.0,0.0,1.0,0.5,8
Eduardo Santana de Almeida,Eduardo Santana de Almeida,20,20,0.0,0.0,1.0,0.5,0
Pablo Cruz,Pablo Cruz,1,1,0.0,0.0,0.0,0.0,7
Sven Schoop,Sven Schoop,2,2,0.0,0.0,1.0,0.5,21
Daniel Guamán,Daniel Guamán,5,5,0.0,0.0,1.0,0.5,5
Denis Boaventura,Denis Boaventura,20,20,0.0,0.0,1.0,0.5,0
Nilton Flávio S. Seixas,Nilton Flávio S. Seixas,20,20,0.0,0.0,1.0,0.5,0
Stefen Becker,Stefen Becker,3,3,0.0,0.0,1.0,0.5,1
Flávio Oquendo,Flávio Oquendo,3,3,0.0,0.0,1.0,0.5,14
Elisabetta Di Nitto,Elisabetta Di Nitto,2,2,0.0,0.0,1.0,0.5,4
Juan Ochoa-Zambrano,Juan Ochoa-Zambrano,5,5,0.0,0.0,1.0,0.5,5
Bardha Ahmeti,Bardha Ahmeti,3,3,0.0,0.0,1.0,0.5,12
Samodha Pallewatta,Samodha Pallewatta,1,1,0.0,0.0,0.0,0.0,25
Domenico Francesco De Angelis,Domenico Francesco De Angelis,3,3,0.0,0.0,1.0,0.5,15
Frederico Araújo Durão,Frederico Araújo Durão,20,20,0.0,0.0,1.0,0.5,0
Joselito Mota Jr.,Joselito Mota Jr.,20,20,0.0,0.0,1.0,0.5,0
Ipek Ustunboyacioglu,Ipek Ustunboyacioglu,4,4,0.0,0.0,1.0,0.5,4
Jacopo Soldani,Jacopo Soldani,3,3,0.0,0.0,1.0,0.5,7
Marco De Luca,Marco De Luca,3,3,0.0,0.0,1.0,0.5,15
Javier García,Javier García,5,5,0.0,0.0,1.0,0.5,5
Roberto Verdecchia,Roberto Verdecchia,4,4,0.0,0.0,1.0,0.5,2
Vick Dini,Vick Dini,2,2,0.0,0.0,1.0,0.5,4
Iván Alfonso,Iván Alfonso,3,3,0.0,0.0,1.0,0.5,9
