name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Sandro Speth,Sandro Speth,2,2,0.0,0.017519659858856184,0.0,0.0,0
Mircea Lungu,Mircea Lungu,2,2,0.014337867418904394,0.01741026134277731,0.0,0.0,0
Patrizia Scandurra,Patrizia Scandurra,21,48,0.010962067705860216,0.015963766276726698,0.20952380952380953,0.02993810500101506,0
Vasilios Andrikopoulos,Vasilios Andrikopoulos,8,11,0.012186100707645309,0.01505522426570124,0.10714285714285714,0.008967940674186005,0
Stefan Kugele,Stefan Kugele,2,2,0.014261366375998544,0.01494488432876043,0.0,0.0,0
Morgan Ericsson,Morgan Ericsson,13,45,0.020367398263538394,0.014621718616376103,0.10256410256410256,0.02696046186369549,0
Mohamed Soliman 0001,Mohamed Soliman 0001,2,6,0.09334141501809731,0.011864192771587833,0.0,0.0,0
Daniel Schneider 0001,Daniel Schneider 0001,3,3,0.029987342886702323,0.011432124854168042,0.3333333333333333,0.023331871294349504,0
Antony Tang,Antony Tang,2,2,0.0034359188435329224,0.01133616291677436,0.0,0.0,0
Petr Hnetynka,Petr Hnetynka,25,70,0.16401958472089884,0.010052238358541873,0.22666666666666666,0.036305537407620006,0
Patricia Lago,Patricia Lago,3,5,0.031245714138965142,0.00979249877711004,0.0,0.0,0
Ipek Ozkaya,Ipek Ozkaya,2,2,0.007269658881624805,0.009314326372615572,0.0,0.0,0
Martina De Sanctis,Martina De Sanctis,3,3,0.0,0.008821531208329039,0.0,0.0,0
Alberto Avritzer,Alberto Avritzer,14,25,0.009339899440152026,0.008584942583000073,0.37362637362637363,0.03934308795818091,0
Néstor Cataño,Néstor Cataño,6,6,0.003523858265488061,0.008090426819872768,0.2,0.016062824787488467,0
Jasmin Jahic,Jasmin Jahic,7,8,0.008172084854545396,0.008077864045307746,0.7142857142857143,0.05520437151907206,0
Tomás Cerný,Tomás Cerný,3,3,0.0,0.007390837744100121,0.3333333333333333,0.033650381348743326,0
Xiaozhou Li 0002,Xiaozhou Li 0002,3,4,0.013886303653673777,0.007390837744100121,0.3333333333333333,0.033650381348743326,0
Davide Taibi 0001,Davide Taibi 0001,3,4,0.013886303653673777,0.007390837744100121,0.3333333333333333,0.033650381348743326,0
Tobias Hey 0001,Tobias Hey 0001,11,20,0.0070314896138296374,0.006948365922124424,0.38181818181818183,0.047990380285085815,0
Sebastian Hahner,Sebastian Hahner,10,31,0.0,0.006906834154604743,0.6444444444444445,0.12103054608155861,0
Joanna C. S. Santos,Joanna C. S. Santos,14,20,0.0035709686701068857,0.006816352099403673,0.13186813186813187,0.01422351221975032,0
Mohammad Sharaf,Mohammad Sharaf,15,40,0.006229042388488997,0.0059829551824573815,0.14285714285714285,0.02900526917375379,0
Dominik Werle,Dominik Werle,11,14,0.0,0.00543037313381362,0.36363636363636365,0.030001712722072534,0
Angelika Kaplan,Angelika Kaplan,8,15,0.0,0.005150835197025557,0.6071428571428571,0.08526698116448998,0
Maximilian Walter,Maximilian Walter,15,43,0.00015389398842149287,0.005038302922710624,0.3904761904761905,0.0670711711719007,0
Stephan Seifermann,Stephan Seifermann,13,33,0.0,0.004769958275637811,0.47435897435897434,0.07616982942475593,0
Jan Pacovsky,Jan Pacovsky,8,11,0.0,0.004713411565021844,0.6785714285714286,0.079334958186789,0
Sophie Corallo,Sophie Corallo,17,24,0.0035416555294551727,0.00458091991238206,0.22794117647058823,0.024125484412615607,0
Gereon Weiss,Gereon Weiss,7,9,0.014516286009880409,0.004572849941667217,0.42857142857142855,0.028801603972070274,0
Mario Trapp,Mario Trapp,7,8,0.008759394565460073,0.004572849941667217,0.14285714285714285,0.010865722623698268,0
Dominik Fuchß,Dominik Fuchß,27,64,0.0001489735683835268,0.00438624684092009,0.25071225071225073,0.03839827863847066,0
Snigdha Singh,Snigdha Singh,11,13,0.0,0.004094936281043543,0.21818181818181817,0.01844581617139035,0
Eric Knauss,Eric Knauss,2,2,0.006180885085989754,0.003427001651777243,0.0,0.0,0
Claudio Menghi,Claudio Menghi,2,2,0.0009861778033540564,0.003415102699649596,0.0,0.0,0
Rima Al Ali,Rima Al Ali,6,11,0.0,0.0032455853944558417,0.6,0.0889926025274119,0
Rafael Capilla,Rafael Capilla,2,2,0.0,0.0028107406395495235,0.0,0.0,0
Olaf Zimmermann,Olaf Zimmermann,2,3,0.0,0.0028107406395495235,0.0,0.0,0
Carlos Carrillo 0001,Carlos Carrillo 0001,2,2,0.0,0.0028107406395495235,0.0,0.0,0
Ivano Malavolta,Ivano Malavolta,3,6,0.01156403398710075,0.0024139344483150196,0.3333333333333333,0.06586839452759376,0
Anna Wingkvist,Anna Wingkvist,8,40,0.004927748323129027,0.002354142946354341,0.2857142857142857,0.0751041437631517,0
Raghad Matar,Raghad Matar,3,4,0.007010028207281063,0.0022738621962685884,0.3333333333333333,0.018518518518518517,0
Evangelos Ntentos,Evangelos Ntentos,15,24,0.001489297890176183,0.0020772387297254996,0.14285714285714285,0.018842453135608245,0
Davide Di Ruscio,Davide Di Ruscio,2,3,0.0,0.0020572488626144944,0.0,0.0,0
Javier Cámara 0001,Javier Cámara 0001,2,2,0.0,0.0018157158765860772,0.0,0.0,0
Grace A. Lewis,Grace A. Lewis,2,2,0.0,0.0018157158765860772,0.0,0.0,0
Frederik Reiche,Frederik Reiche,7,7,8.37518304334655e-06,0.001315333092280947,0.47619047619047616,0.03126248438739324,0
Lorenzo Capra,Lorenzo Capra,3,3,0.005847971560016729,0.0011432124854168042,0.3333333333333333,0.018518518518518517,0
Elvinia Riccobene,Elvinia Riccobene,13,32,0.005837502581212546,0.0010124303765745822,0.44871794871794873,0.05729871291177345,0
Frantisek Plásil,Frantisek Plásil,12,22,9.42208092376487e-05,0.00089356394602551,0.4393939393939394,0.05125217517835005,0
Wouter Joosen,Wouter Joosen,22,59,0.0008071582658025239,0.0007474850866186797,0.05627705627705628,0.011857096953324675,1
Angelo Gargantini,Angelo Gargantini,10,16,1.779726396711142e-05,0.0005716062427084021,0.6888888888888889,0.06640790435719486,0
Robbert Jongeling,Robbert Jongeling,4,6,0.0049931794406551724,0.00042857608119492433,0.6666666666666666,0.052728187071538375,0
Larissa Schmid,Larissa Schmid,3,3,0.0,0.00042284021055250475,0.3333333333333333,0.018518518518518517,0
Manar Mazkatli,Manar Mazkatli,4,7,0.0,0.00042284021055250475,0.6666666666666666,0.07892303890269738,0
Sophie Schulz,Sophie Schulz,6,14,0.0,0.0004176182947356099,0.8666666666666667,0.14046842004678667,0
Yves Richard Kirschner,Yves Richard Kirschner,5,7,0.0,0.000293092576396066,0.6,0.07107840361461504,0
Thomas Weber 0006,Thomas Weber 0006,4,6,0.0,0.00020758884633110947,0.8333333333333334,0.07624314552208011,0
Elvin Alberts,Elvin Alberts,3,4,0.0,0.00019060147195836428,0.6666666666666666,0.09475797700813432,0
Milad Abdullah,Milad Abdullah,6,7,3.1406936412549565e-06,0.0001782518124392257,0.7333333333333333,0.05844338950682228,0
Xipeng Shen,Xipeng Shen,10,10,5.6532485542589215e-05,0.00016959745662776764,0.2222222222222222,0.012345679012345677,2
Dimitri Van Landuyt,Dimitri Van Landuyt,14,40,2.8266242771294607e-05,0.00015075329478023792,0.14285714285714285,0.030098784573824176,1
Danylo Khalyeyev,Danylo Khalyeyev,5,10,0.0,0.00010719224282844125,0.7,0.0974208485155063,0
Jorge Marx Gómez,Jorge Marx Gómez,3,3,0.0,2.512554913003965e-05,0.3333333333333333,0.023331871294349504,4
Andrzej Zalewski,Andrzej Zalewski,9,13,0.0011934635836768834,1.570346820627478e-05,0.3055555555555556,0.024863900252742894,0
Sven Wittfoth,Sven Wittfoth,3,4,3.1406936412549565e-06,1.2562774565019826e-05,0.6666666666666666,0.04666374258869901,4
Christoph Schröer,Christoph Schröer,3,4,3.1406936412549565e-06,1.2562774565019826e-05,0.6666666666666666,0.04666374258869901,4
Lucas Mauser,Lucas Mauser,6,7,9.42208092376487e-06,1.2562774565019826e-05,0.3333333333333333,0.02454476019091738,0
Sandro Koch,Sandro Koch,4,4,3.1406936412549565e-06,6.043455946051205e-06,0.6666666666666666,0.04837018602378995,0
Janek Speit,Janek Speit,6,9,0.0,2.5125549130039655e-06,0.8,0.09286891342034663,0
Selma Suloglu,Selma Suloglu,4,6,0.0,2.0937957608366374e-06,0.8333333333333334,0.07337206796476213,0
Sven Jordan,Sven Jordan,4,8,0.0,2.0937957608366374e-06,0.8333333333333334,0.08119442852990401,0
Adrian Marin,Adrian Marin,1,1,0.0,0.0,0.0,0.0,0
Marcos Kalinowski,Marcos Kalinowski,1,1,0.0,0.0,0.0,0.0,0
Stéphanie Challita,Stéphanie Challita,1,1,0.0,0.0,0.0,0.0,0
Darío Correal,Darío Correal,1,2,0.0,0.0,0.0,0.0,0
Philippe Kruchten,Philippe Kruchten,1,1,0.0,0.0,0.0,0.0,0
Bram van der Waaij,Bram van der Waaij,1,1,0.0,0.0,0.0,0.0,0
Klaus Krogmann,Klaus Krogmann,3,3,0.0,0.0,1.0,0.0782218535290614,0
Suprio Ray,Suprio Ray,1,1,0.0,0.0,0.0,0.0,0
Lukas Daubner,Lukas Daubner,1,2,0.0,0.0,0.0,0.0,0
José Carlos Maldonado,José Carlos Maldonado,1,2,0.0,0.0,0.0,0.0,0
Erik Burger,Erik Burger,1,1,0.0,0.0,0.0,0.0,0
Faezeh Amou Najafabadi,Faezeh Amou Najafabadi,1,1,0.0,0.0,0.0,0.0,0
Samuel Gratzl,Samuel Gratzl,2,2,0.0,0.0,1.0,0.08012497612818936,0
Domenico Bianculli,Domenico Bianculli,1,1,0.0,0.0,0.0,0.0,0
Ulf Eliasson,Ulf Eliasson,1,1,0.0,0.0,0.0,0.0,0
Anas Alkoutli,Anas Alkoutli,6,6,0.0,0.0,1.0,0.05555555555555555,0
Jasmin Ramadani,Jasmin Ramadani,1,1,0.0,0.0,0.0,0.0,0
Katharina Großer,Katharina Großer,5,10,0.0,0.0,1.0,0.1518805866788003,0
David Issa Mattos,David Issa Mattos,1,1,0.0,0.0,0.0,0.0,0
Cedric Verstraete,Cedric Verstraete,1,1,0.0,0.0,0.0,0.0,1
Theodoros Theodoropoulos,Theodoros Theodoropoulos,1,1,0.0,0.0,0.0,0.0,0
Sebastian Stüber,Sebastian Stüber,1,1,0.0,0.0,0.0,0.0,0
Paolo Gaspari,Paolo Gaspari,2,2,0.0,0.0,1.0,0.08012497612818936,0
Wito Delnat,Wito Delnat,2,2,0.0,0.0,1.0,0.1306297048733754,1
Albert Albers,Albert Albers,1,1,0.0,0.0,0.0,0.0,0
J. Andres Diaz-Pace,J. Andres Diaz-Pace,1,1,0.0,0.0,0.0,0.0,0
Eric Hamann,Eric Hamann,3,3,0.0,0.0,1.0,0.0782218535290614,0
Seth Leslie,Seth Leslie,2,2,0.0,0.0,1.0,0.08818894733156663,0
Martin Becker,Martin Becker,2,2,0.0,0.0,1.0,0.10095114404622998,0
Bruno Rossi 0001,Bruno Rossi 0001,1,1,0.0,0.0,0.0,0.0,0
Thomas Vogel 0001,Thomas Vogel 0001,1,1,0.0,0.0,0.0,0.0,0
Filip Krijt,Filip Krijt,4,6,0.0,0.0,1.0,0.1350103700988016,0
Massimiliano Di Penta,Massimiliano Di Penta,1,3,0.0,0.0,0.0,0.0,0
