name,database_id,community_id,community_size
Dandan Ji,4:a207e2fc-2358-4733-aaec-376a2c17a19b:178,0,632
Dandan Sun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1603,0,632
Daniel Kroening,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4755,0,632
Daoyuan Wu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1938,0,632
David S. Rosenblum,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5031,0,632
Denis A. Nicole,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9273,0,632
Deqing Zou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:756,0,632
Dewei Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9982,0,632
Deyun Lyu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9934,0,632
Diandian Gu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:967,0,632
Dikai Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9840,0,632
Ding Duan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4494,0,632
Ding Li 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6247,0,632
Dong Chai,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6103,0,632
Dongjie Chen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9487,0,632
Dongxia Wang 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8873,0,632
Duo Xu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11631,0,632
Duoyuan Ma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6521,0,632
Eddie B. de Lima Filho,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9557,0,632
Enbao Chen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7800,0,632
Enrico Steffinlongo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9270,0,632
Fan Lin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9984,0,632
Fan Zhang 0010,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8094,0,632
Feng Chen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4516,0,632
Feng Li 0045,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1601,0,632
Feng Wu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5919,0,632
Feng Xu 0007,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11866,0,632
Fu Song,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3499,0,632
Fuman Xie,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4866,0,632
Gaozhun Huang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10302,0,632
Geguang Pu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7259,0,632
Gelei Deng,4:a207e2fc-2358-4733-aaec-376a2c17a19b:175,0,632
Giordano Tamburrelli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5032,0,632
Graham Collins,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12320,0,632
Guandi Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9981,0,632
Guandong Xu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5233,0,632
Guangbei Yi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11599,0,632
Guangdong Bai,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4871,0,632
Guannan Si,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6662,0,632
Guoai Xu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5432,0,632
Guohua Fu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4709,0,632
Guoliang Dong,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4979,0,632
Guosheng Xu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5433,0,632
Guoxin Su,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5030,0,632
Guozhu Meng,4:a207e2fc-2358-4733-aaec-376a2c17a19b:957,0,632
Hai Jin 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:759,0,632
Hai Yu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3489,0,632
Haijun Wang 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1941,0,632
Haiming Chen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8901,0,632
Haipeng Cai,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2575,0,632
Haitao Xu 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6897,0,632
Haiying Sun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9207,0,632
Han Liu 0012,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1940,0,632
Han Wang 0023,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11833,0,632
Hanlin Wang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:965,0,632
Hanru Zhou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10965,0,632
Hanxiang Xu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6636,0,632
Hao Guan 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8509,0,632
Hao Zhou 0043,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8627,0,632
Haobo Gu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4802,0,632
Haodong Li,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11157,0,632
Haoran Wu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4493,0,632
Haoran Yang 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2573,0,632
Haoxiang Jia,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9149,0,632
Haoyu Wang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:542,0,632
Heng Li 0008,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10303,0,632
Heqing Huang 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9705,0,632
Hiroyuki Sato 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1926,0,632
