name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,connected_component
Gordon Fraser 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:20,61,106,0.010559522130634144,0.00884740346644825,0
Yingfei Xiong 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:356,50,69,0.006932378392501471,0.008782774379328407,0
Leonardo Mariani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1208,29,41,0.003096367355234772,0.008750261429935787,0
Lu Xiao 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:550,32,64,0.07004154558047362,0.008667399637769236,0
Zhendong Su 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:860,66,81,0.009837550836148139,0.008601427497136447,0
Bogdan Vasilescu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:437,63,93,0.023650707224677135,0.008534279620839342,0
Yves Le Traon,4:a207e2fc-2358-4733-aaec-376a2c17a19b:613,51,109,0.020994829588504207,0.00845868784880933,0
Ilias Gerostathopoulos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:111,61,99,0.016723335153094224,0.00818654744156031,0
Ivano Malavolta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1050,53,89,0.0188884649503065,0.008177072930935397,0
Tim Menzies,4:a207e2fc-2358-4733-aaec-376a2c17a19b:192,23,34,0.006187505550413235,0.008085878925285542,0
Jan Bosch,4:a207e2fc-2358-4733-aaec-376a2c17a19b:463,35,54,0.007939784055884466,0.008004038645385167,0
Tao Xie 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1270,90,125,0.010206838515446164,0.007989898390711956,0
Sven Apel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1230,42,68,0.008063061535539843,0.007968844671273234,0
Bram Adams,4:a207e2fc-2358-4733-aaec-376a2c17a19b:669,42,49,0.003589941852013115,0.007908402983906685,0
Elisa Yumi Nakagawa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2092,59,88,0.02556228496752553,0.007887578904958226,0
Thorsten Berger,4:a207e2fc-2358-4733-aaec-376a2c17a19b:217,36,52,0.0074780222705605895,0.007648875554978428,0
Claire Le Goues,4:a207e2fc-2358-4733-aaec-376a2c17a19b:438,43,72,0.006351920425373549,0.007552299705810946,0
Ting Liu 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:88,45,82,0.0036523381294000686,0.0074357574687790315,0
Harald C. Gall,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1446,39,54,0.004605242177642223,0.0074319245843388355,0
Jane Cleland-Huang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1873,51,78,0.0070044913138075345,0.007427496078888536,0
Tommi Mikkonen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:831,39,43,0.006651820182534657,0.007402629887362202,0
Francesca Arcelli Fontana,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2202,36,57,0.012871024514102002,0.007353620884223073,0
Jun Sun 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:16,66,99,0.009859900618543022,0.007245867391742692,0
Burak Turhan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4297,36,39,0.00516926566075157,0.00723142149524404,0
Fabio Palomba,4:a207e2fc-2358-4733-aaec-376a2c17a19b:39,48,101,0.0421825894437598,0.00717352909587626,0
Yuriy Brun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1439,43,59,0.007309701792513854,0.007040861170010628,0
Lingming Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:863,65,97,0.004629163449451551,0.007002772531774627,0
