name,database_id,n_conferences,ICSA,ICSE,ECSA,total_pubs,degree_weighted,betweenness_unweighted,betweenness_weighted,clustering_unweighted,connected_component
Mojtaba Shahin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1073,3,2,4,1,7,23,0.0032973795661799,0.0029038689742529,0.2213438735177865,0
Tomás Bures,4:a207e2fc-2358-4733-aaec-376a2c17a19b:996,3,7,9,10,26,39,0.0032827595412961,0.0123233677664484,0.1228070175438596,0
Rafael Capilla,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4424,3,2,1,6,9,19,0.0031310638167686,0.0019156153994402,0.175438596491228,0
Grace A. Lewis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3117,3,5,5,2,12,36,0.0029945972414586,0.0189487189821197,0.1873015873015873,0
Peng Liang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5846,3,4,2,1,7,20,0.0027551376664351,0.0023499658665947,0.1578947368421052,0
Schahram Dustdar,4:a207e2fc-2358-4733-aaec-376a2c17a19b:568,3,1,4,2,7,37,0.0026049848503744,0.0047523691009943,0.3873873873873873,0
Tomi Männistö,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1654,3,1,2,2,5,14,0.0025542905697151,0.0025540163159856,0.2197802197802197,0
Rami Bahsoon,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3242,3,1,5,1,7,14,0.0025445586155124,0.0021056549924259,0.1098901098901098,0
Jan Keim,4:a207e2fc-2358-4733-aaec-376a2c17a19b:65,3,6,3,6,15,34,0.0025142817827322,0.0029812455564875,0.3226381461675579,0
Flávio Oquendo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2093,3,4,3,10,17,32,0.0024825404726066,0.0041155812565091,0.1612903225806451,0
Dario Di Nucci,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7607,3,2,6,2,10,23,0.0024620172251495,0.0009886070757607,0.2569169960474308,0
Ricardo Britto 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3737,3,1,3,1,5,17,0.0024210689050186,0.0013346926496433,0.2205882352941176,0
Barbora Buhnova,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9147,3,8,5,5,18,20,0.0024049317320293,0.0016092320539217,0.1157894736842105,0
Amleto Di Salle,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2198,3,6,2,1,9,23,0.0023985851391693,0.0073520668364674,0.2134387351778656,0
Pablo Oliveira Antonino,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3161,3,8,3,11,22,42,0.0023063593273497,0.008086206981529,0.1219512195121951,0
Barbara Russo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:646,3,1,3,2,6,18,0.0022844003886905,0.0069276814390482,0.3856209150326797,0
Shaukat Ali 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:532,3,1,9,2,12,28,0.0022789775265306,0.0022318171823791,0.1693121693121693,0
Andreas Rausch 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6314,3,1,3,4,8,19,0.0022499932440044,0.002303494335039,0.1403508771929824,0
Volker Gruhn,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1848,3,6,14,2,22,31,0.0022362840011947,0.0028395889502647,0.1075268817204301,0
Bernhard Rumpe,4:a207e2fc-2358-4733-aaec-376a2c17a19b:815,3,1,3,3,7,23,0.0022093896858106,0.0020408798195284,0.2687747035573122,0
Rebekka Wohlrab,4:a207e2fc-2358-4733-aaec-376a2c17a19b:735,3,6,3,2,11,21,0.0021052592145907,0.0027606752363569,0.1285714285714285,0
Slinger Jansen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3473,3,1,4,6,11,26,0.0019847471237644,0.0020709003836329,0.0923076923076923,0
Jan Martijn E. M. van der Werf,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3036,3,4,3,7,14,29,0.001948812664725,0.0031880924684998,0.1231527093596059,0
Christian Berger 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2841,3,3,8,3,14,22,0.0019282702731685,0.0020180899472441,0.1601731601731601,0
Federico Ciccozzi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3680,3,4,4,5,13,25,0.0018098150348556,0.0014666931996431,0.15,0
Paolo Arcaini,4:a207e2fc-2358-4733-aaec-376a2c17a19b:821,3,1,5,1,7,15,0.0017861121352595,0.001811767055296,0.2095238095238095,0
Davide Taibi 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7456,3,5,5,5,15,31,0.0017841169520625,0.0026079630874509,0.2086021505376344,0
Ralf H. Reussner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4419,3,7,3,7,17,39,0.0016967759553946,0.0016715538853744,0.2591093117408907,0
Wouter Joosen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:29,3,3,13,3,19,22,0.0016954322434204,0.0021301933992798,0.2294372294372294,0
Hamid Bagheri,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1581,3,1,11,1,13,23,0.0015808586728959,0.0028520664251422,0.1936758893280632,0
Hernán Astudillo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:796,3,3,3,14,20,23,0.0014949884373778,0.0021178073364822,0.1185770750988142,0
Everton Cavalcante,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5591,3,2,6,4,12,23,0.0014624700340195,3.6633283801269696e-05,0.233201581027668,0
Elisabetta Di Nitto,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3146,3,2,9,3,14,43,0.0014515711912051,0.004281634908102,0.1960132890365448,0
Andrea Zisman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2098,3,1,7,2,10,26,0.0014464748069518,0.0054578541134159,0.2123076923076923,0
