name,database_id,n_conferences,ICSA,ICSE,ECSA,total_pubs,degree_weighted,betweenness_unweighted,betweenness_weighted,clustering_unweighted,connected_component
Dario Amoroso d'Aragona,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10617,3,1,1,1,3,11,0.0001056661219066,3.889159365161331e-05,0.6363636363636364,0
Andreas Biesdorf,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5003,3,4,1,3,8,9,9.058859414340656e-05,0.0001598521497109,0.6944444444444444,0
Dominik Fuchß,4:a207e2fc-2358-4733-aaec-376a2c17a19b:67,3,4,2,3,9,27,8.640391408042797e-05,7.075401247091391e-07,0.4871794871794871,0
Marco Stadler,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8571,3,1,1,1,3,7,8.603404888029654e-05,0.0001731974424344,0.5714285714285714,0
Jonas Fritzsch,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2391,3,3,2,1,6,11,8.084326749996995e-05,1.241903680620625e-06,0.4363636363636363,0
Michele Tucci 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9799,3,6,1,1,8,7,7.951006715125664e-05,6.099485490590671e-05,0.4285714285714285,0
Manar Mazkatli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10983,3,2,1,2,5,14,6.647860924195357e-05,4.1984882492781206e-05,0.4065934065934066,0
Uwe Hohenstein,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5004,3,3,1,3,7,8,6.393941099676227e-05,0.0001065615453156,0.7857142857142857,0
Angelika Musil,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7854,3,1,1,1,3,7,6.225765529886598e-05,2.362688568328777e-05,0.8095238095238095,0
Juergen Musil,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7853,3,1,1,1,3,7,6.225765529886598e-05,2.362688568328777e-05,0.8095238095238095,0
Daniel Schall 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4897,3,1,1,5,7,14,4.415978783472148e-05,0.0001068135185797,0.3846153846153846,0
Michel Wermelinger,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2638,3,1,2,1,4,9,4.197173590013709e-05,4.13967893540208e-08,0.4166666666666667,0
Anna Wingkvist,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7239,3,2,5,11,18,8,4.074732611408388e-05,0.0001177738657121,0.3928571428571428,0
Sophie Corallo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:66,3,1,2,2,5,17,3.482442700515968e-05,2.8309711859614047e-05,0.3602941176470588,0
Ole Meyer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4823,3,2,2,1,5,7,3.065087464417989e-05,0.0,0.6666666666666666,0
Tudor B. Ionescu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5887,3,2,2,2,6,10,2.7905516990872185e-05,4.733197189116671e-07,0.5555555555555556,0
Stefan Gries 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9775,3,1,1,1,3,5,1.5319314046998842e-05,0.0,0.8,0
Carlos M. Aderaldo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2158,3,1,1,1,3,6,1.1426516442382202e-05,0.0,0.8,0
Frederik Reiche,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6515,3,1,1,1,3,7,8.750211657567323e-06,2.06983946770104e-08,0.6190476190476191,0
Stanislav Chren,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9489,3,1,1,1,3,7,7.583707637748715e-06,5.1745986692526e-09,0.5714285714285714,0
M. Usman Iftikhar,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10635,3,1,1,1,3,7,5.353882419089756e-06,5.1745986692526e-09,0.6190476190476191,0
Eduardo Silva 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8304,3,2,2,1,5,7,1.3177342714653305e-06,2.5872993346263e-09,0.8571428571428571,0
Andreas Burger,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1158,3,1,2,1,4,11,8.479924312155954e-07,5.876619222047872e-07,0.509090909090909,0
Julius Rückert,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1160,3,1,2,2,5,11,7.816817936990699e-07,6.507920259696688e-07,0.5272727272727272,0
Horst Lichter,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2909,3,1,3,1,5,11,4.501900842249762e-07,4.501900842249762e-07,0.1818181818181818,25
Muhammad Taimoor Khan 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3058,3,1,1,1,3,11,4.4501548555572363e-07,4.4501548555572363e-07,0.4,14
Adel Noureddine,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8123,3,1,2,1,4,5,4.036186962017028e-07,4.036186962017028e-07,0.3,12
Dimitri Van Landuyt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:28,3,3,9,1,13,14,3.829203015246924e-07,2.509680354587511e-07,0.3736263736263736,0
Albert Zündorf,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4369,3,2,4,1,7,9,3.173753850474928e-07,3.259997161629139e-07,0.3888888888888889,22
Tatsuhiro Tsuchiya,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3969,3,1,2,1,4,6,9.83173747157994e-08,9.83173747157994e-08,0.3333333333333333,84
Christian Bartelt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7119,3,2,1,2,5,6,8.27935787080416e-08,8.27935787080416e-08,0.4666666666666667,81
Emilia Cioroaica,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10392,3,2,2,1,5,5,5.2485215073847815e-08,6.8994648923368e-09,0.8,0
Klaus Schmid,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4701,3,1,1,1,3,4,4.13967893540208e-08,4.13967893540208e-08,0.3333333333333333,190
Christian Prehofer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1112,3,2,2,1,5,8,2.9667699037048243e-08,3.62221906847682e-08,0.6785714285714286,0
Iohan Gonçalves Vargas,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1403,3,2,1,1,4,5,2.5872993346263e-08,1.03491973385052e-08,0.5,114
Rosana T. Vaccare Braga,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1405,3,2,2,1,5,5,2.5872993346263e-08,4.13967893540208e-08,0.5,114
Alfred Zimmermann,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4510,3,2,1,2,5,6,1.03491973385052e-08,0.0,0.8,0
Ian Warren,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10170,3,1,1,1,3,3,0.0,0.0,1.0,328
Jing Sun 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10169,3,2,1,1,4,3,0.0,0.0,1.0,328
Nacha Chondamrongkul,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10168,3,2,1,1,4,3,0.0,0.0,1.0,328
Yan Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:98,2,3,50,0,53,176,0.0370593316731733,0.0965608922711821,0.0481818181818181,0
David Lo 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:212,2,1,53,0,54,140,0.0345854276832943,0.0556662487153577,0.0505652620760534,0
Christoph Treude,4:a207e2fc-2358-4733-aaec-376a2c17a19b:63,2,1,24,0,25,66,0.0178553714372518,0.0142926898980889,0.0797202797202797,0
Alexander Serebrenik,4:a207e2fc-2358-4733-aaec-376a2c17a19b:668,2,0,19,2,21,52,0.0152495517440371,0.0290837761164934,0.0716440422322775,0
Nenad Medvidovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1889,2,7,18,0,25,52,0.0142086517108225,0.0130201979365431,0.1101055806938159,0
Michael Felderer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4686,2,1,9,0,10,49,0.0089974409569014,0.0069057324104602,0.2066326530612245,0
Leonardo Mariani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1208,2,2,13,0,15,29,0.0087502614299357,0.0030963673552347,0.1034482758620689,0
Lu Xiao 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:550,2,3,10,0,13,32,0.0086673996377692,0.0700415455804736,0.219758064516129,0
Tim Menzies,4:a207e2fc-2358-4733-aaec-376a2c17a19b:192,2,1,14,0,15,23,0.0080858789252855,0.0061875055504132,0.1383399209486166,0
Elisa Yumi Nakagawa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2092,2,0,5,11,16,59,0.0078875789049582,0.0255622849675255,0.249561659848042,0
Thorsten Berger,4:a207e2fc-2358-4733-aaec-376a2c17a19b:217,2,1,14,0,15,36,0.0076488755549784,0.0074780222705605,0.0984126984126984,0
Claire Le Goues,4:a207e2fc-2358-4733-aaec-376a2c17a19b:438,2,2,19,0,21,43,0.0075522997058109,0.0063519204253735,0.0952380952380952,0
Fabio Palomba,4:a207e2fc-2358-4733-aaec-376a2c17a19b:39,2,0,25,1,26,48,0.0071735290958762,0.0421825894437598,0.12677304964539,0
Yuriy Brun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1439,2,2,16,0,18,43,0.0070408611700106,0.0073097017925138,0.1262458471760797,0
Alexander Egyed,4:a207e2fc-2358-4733-aaec-376a2c17a19b:389,2,0,19,2,21,41,0.0062869280801581,0.0070760163795583,0.1378048780487805,0
Timo Kehrer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3723,2,0,6,1,7,37,0.0058127228172025,0.0018654883735344,0.3768768768768769,0
Neil A. Ernst,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1750,2,4,5,0,9,26,0.005141821402448,0.0026961070302321,0.1169230769230769,0
Franco Raimondi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1099,2,1,3,0,4,17,0.0050322786660458,0.0048596314315415,0.2352941176470588,0
He Zhang 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:917,2,2,13,0,15,45,0.0048113233468275,0.0044330780045635,0.1262626262626262,0
Pooyan Jamshidi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2040,2,0,7,2,9,39,0.0047273032222013,0.0032538090562081,0.2712550607287449,0
Jennifer Horkoff,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2664,2,1,3,0,4,24,0.0043021009392434,0.0009553146442786,0.3768115942028985,0
Zhenchang Xing,4:a207e2fc-2358-4733-aaec-376a2c17a19b:710,2,1,27,0,28,54,0.0041221149146858,0.0317073966325204,0.1264849755415793,0
Simos Gerasimou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1293,2,2,8,0,10,25,0.0040604593293454,0.0040543794861589,0.1533333333333333,0
Axel Legay,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2326,2,0,9,1,10,25,0.0040502614673198,0.0038595071132083,0.1766666666666666,0
Xiwei Xu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:712,2,8,16,0,24,47,0.0037570687264605,0.0063506960594143,0.1628122109158186,0
Jon Whittle 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1075,2,1,9,0,10,31,0.0035702723487993,0.0039919912506288,0.1913978494623656,0
Amir Molzam Sharifloo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1525,2,0,4,1,5,28,0.0035163538087026,0.0028899729766139,0.4153439153439153,0
Radu Calinescu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2902,2,4,11,0,15,53,0.0035098858898068,0.0034683443880746,0.2481857764876632,0
Joshua Garcia,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1888,2,1,14,0,15,37,0.003459384052273,0.0023645495472242,0.1696696696696696,0
Eric Knauss,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3254,2,3,6,0,9,24,0.0034033564204505,0.0042759311574369,0.1884057971014492,0
Ipek Ozkaya,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4322,2,6,3,0,9,19,0.0033760410617421,0.0022964656365983,0.1929824561403508,0
Ingo Weber,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12064,2,9,0,1,10,24,0.0032157753944605,0.0013701167077653,0.2391304347826087,0
Barbara Paech,4:a207e2fc-2358-4733-aaec-376a2c17a19b:555,2,1,4,0,5,26,0.0031553940597263,0.0010011652230278,0.32,0
Yutong Zhao,4:a207e2fc-2358-4733-aaec-376a2c17a19b:549,2,3,1,0,4,15,0.0031195650037956,0.0,0.5619047619047619,0
Leandro L. Minku,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4881,2,0,4,1,5,16,0.0031026140111752,0.0011525184909903,0.1916666666666666,0
Michael Goedicke,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3928,2,0,4,1,5,15,0.002972284976063,0.0021896972927748,0.219047619047619,0
Alessandro F. Garcia 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1088,2,1,14,0,15,45,0.0029451242384267,0.0041738814675611,0.203030303030303,0
Karthik Vaidhyanathan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12050,2,14,0,5,19,38,0.0029379153201634,0.0030127810551788,0.1081081081081081,0
Kenji Tei,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2456,2,0,4,1,5,41,0.0029171908483744,0.0003393660938123,0.3609756097560975,0
Claudio Menghi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:181,2,1,12,0,13,26,0.0028605124113602,0.0065345708226501,0.1507692307692307,0
Jasmin Jahic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12062,2,9,0,5,14,24,0.002854436972472,0.001893798733899,0.1376811594202898,0
Davide Falessi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6764,2,0,3,1,4,18,0.0028038531111807,0.0029876006597507,0.6143790849673203,0
Eunsuk Kang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4001,2,0,11,2,13,29,0.002799827029177,0.0055754141534629,0.1280788177339901,0
Frank Leymann,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10663,2,4,1,0,5,19,0.0027673857175136,0.0027673857175136,0.2339181286549707,0
Yanja Dajsuren,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12043,2,6,0,4,10,20,0.0027637926690426,0.005196468989937,0.1947368421052631,0
Sebastian Herold,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12204,2,3,0,10,13,15,0.0026797507432341,0.00153895214968,0.2095238095238095,0
Anthony Cleve,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2710,2,1,3,0,4,8,0.0026770626816761,0.0026604785090068,0.1785714285714285,0
Sanjay Podder,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3199,2,2,17,0,19,29,0.0026615394742206,0.0026615065292758,0.167487684729064,0
Christos Tsigkanos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3431,2,0,7,4,11,37,0.0026593203689088,0.0094033372471718,0.4054054054054054,0
Michael Vierhauser,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2628,2,0,13,1,14,35,0.0026015434129865,0.0054097070011112,0.1428571428571428,0
Benoît Combemale,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2881,2,1,4,0,5,13,0.0025787205839941,0.0022865660256408,0.2948717948717949,0
Antonio Filieri,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3914,2,0,7,1,8,29,0.0025434537072687,0.0014958455061254,0.3669950738916256,0
Tosin Daniel Oyetoyan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7344,2,2,2,0,4,11,0.0024775124721657,0.0010950684802716,0.3454545454545454,0
Thomas Hubregtsen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11282,2,1,1,0,2,24,0.0023414851994421,0.0023414851994421,0.8405797101449275,0
Alexander Pretschner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:423,2,0,9,1,10,26,0.0023346149598652,0.0020012425606082,0.1323076923076923,0
Andreas Vogelsang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5108,2,2,4,0,6,19,0.002297457715927,0.0009050344231702,0.1578947368421052,0
Jörg Lenhard,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1860,2,0,1,1,2,7,0.0022958325572161,0.0013880367906008,0.4285714285714285,0
Goetz Botterweck,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5178,2,0,1,2,3,10,0.0022918694775694,0.0032356071836205,0.4,0
Chanchal K. Roy,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1357,2,1,14,0,15,25,0.0022792479425251,0.0021089814738467,0.1266666666666666,0
Mohamed Soliman 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11951,2,6,0,6,12,21,0.0021751981068821,0.0040075533404012,0.1714285714285714,0
Christopher Steven Timperley,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2711,2,2,7,0,9,21,0.0021749672179512,0.0017153400087026,0.1523809523809524,0
Jens H. Weber,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3341,2,1,4,0,5,8,0.0021297302726989,0.0021297302726989,0.2142857142857142,0
Anthony Peruma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:776,2,1,9,0,10,16,0.0021117147075796,0.0023260242272063,0.225,0
Luca Pascarella,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2892,2,1,10,0,11,22,0.0020627524073248,0.0015030979304561,0.2943722943722944,0
Jean-Guy Schneider,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4359,2,1,9,0,10,20,0.0020547098502496,0.0019292159089833,0.2421052631578947,0
Naouel Moha,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4083,2,1,6,0,7,15,0.0019470631591456,0.0027961879779903,0.2285714285714285,0
Ashwin Prasad Shivarpatna Venkatesh,4:a207e2fc-2358-4733-aaec-376a2c17a19b:286,2,0,1,1,2,9,0.00194083715858,0.0004684884979308,0.4444444444444444,0
Vincenzo Ferme,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1859,2,0,4,1,5,12,0.001870854152479,0.0014575673535642,0.2878787878787879,0
Mark G. J. van den Brand,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12044,2,3,0,3,6,17,0.0018465241130992,0.0021462185326237,0.2720588235294117,0
Olivier Barais,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2495,2,1,4,0,5,10,0.0018292343160408,0.001641610346649,0.2444444444444444,0
Andriy V. Miranskyy,4:a207e2fc-2358-4733-aaec-376a2c17a19b:946,2,1,11,0,12,26,0.00179816078248,0.0020001000234049,0.1723076923076923,0
Mircea Lungu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9634,2,0,1,2,3,10,0.0017922489337782,0.0003216668768514,0.3111111111111111,0
Matthias Tichy,4:a207e2fc-2358-4733-aaec-376a2c17a19b:277,2,0,6,1,7,17,0.0017673014510572,0.0008802304742526,0.1323529411764706,0
Yann-Gaël Guéhéneuc,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4467,2,1,7,0,8,16,0.0017503497931875,0.0020449858990403,0.1916666666666666,0
Chouki Tibermacine,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12243,2,2,0,6,8,18,0.0017299806741455,0.0010952213014661,0.1699346405228758,0
Cleidson R. B. de Souza,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2748,2,0,11,1,12,31,0.0016979140142182,0.0016066908454766,0.1505376344086021,0
Michel Chaudron,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1277,2,1,8,0,9,19,0.0016028062876629,0.0014049076649405,0.1403508771929824,0
Sabrina Marczak,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4310,2,1,6,0,7,18,0.0015882590698834,0.0005521960976793,0.261437908496732,0
Wilhelm Hasselbring,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5421,2,8,1,0,9,19,0.0015743962361467,0.0015103006268305,0.1461988304093567,0
Tewfik Ziadi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7602,2,0,1,2,3,9,0.0015627846316212,0.001224606897695,0.2777777777777778,0
Christoph Mayr-Dorn,4:a207e2fc-2358-4733-aaec-376a2c17a19b:386,2,0,10,1,11,28,0.0015476432705731,0.0016693483160062,0.246031746031746,0
Tom Mens,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8784,2,0,2,5,7,12,0.0015265576852564,0.0011044639026081,0.2424242424242424,0
Gordana Dodig-Crnkovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4092,2,0,3,2,5,5,0.001491453876044,0.001491453876044,0.1,0
Alexander Frömmgen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6710,2,0,2,1,3,23,0.0014912106699065,0.0014912106699065,0.5019762845849802,0
Sebastian Feld,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4833,2,1,2,0,3,11,0.0014912054953078,0.0014912003207092,0.4909090909090909,0
Chushu Gao,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6244,2,1,1,0,2,7,0.0014887321440927,0.0007570701992857,0.5238095238095238,0
Helena Rodrigues 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12196,2,1,0,2,3,17,0.0014558361312066,0.0012133090331814,0.4485294117647059,0
Gabriel A. Moreno,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4714,2,0,7,3,10,37,0.0014540394015082,0.0019529705256117,0.4039039039039039,0
Jens Knodel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12111,2,2,0,3,5,10,0.0013851348469193,0.0013851262225881,0.3111111111111111,0
Georg Buchgeher,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8566,2,0,1,5,6,11,0.0013523864154896,0.0019237320869753,0.2727272727272727,0
Heinz W. Schmidt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4638,2,0,3,3,6,14,0.0013451521455155,0.0016225586850933,0.4835164835164835,0
Tobias Dürschmid,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1081,2,2,5,0,7,10,0.0012973707526611,0.0012786226327776,0.2444444444444444,0
Silverio Martínez-Fernández,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6239,2,1,5,0,6,15,0.0012943224712491,0.0017396441746166,0.1428571428571428,0
Franck Fleurey,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2494,2,1,2,0,3,7,0.0012723487480838,0.001145087801952,0.5238095238095238,0
Hanieh Alipour,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8711,2,1,1,0,2,4,0.0012286749080028,0.0004748974975293,0.5,0
Niko Mäkitalo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3262,2,0,2,2,4,11,0.0012280370843602,0.0029775416932679,0.4,0
Hui Song,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8751,2,1,3,0,4,13,0.0012253242664843,0.0012253242664843,0.3333333333333333,0
Pavel A. Dmitriev,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4299,2,1,5,0,6,23,0.0012132296365665,0.0009945686939261,0.2687747035573122,0
Iris Groher,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10085,2,0,3,1,4,14,0.0011960959461639,0.0005145863130629,0.2967032967032967,0
Nianyu Li,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1572,2,0,3,1,4,15,0.0011757121120984,0.0003376880228757,0.3047619047619048,0
Christof Tinnes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5002,2,1,2,0,3,7,0.001171994852599,0.001171994852599,0.5238095238095238,0
Felipe Nunes Gaia,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11552,2,0,1,1,2,7,0.001171994852599,0.001171994852599,0.4285714285714285,0
Hussein Marah,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9057,2,1,1,0,2,7,0.001171994852599,0.001171994852599,0.4285714285714285,0
Markus Wagner 0007,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4697,2,1,1,0,2,14,0.001171994852599,0.001171994852599,0.6373626373626373,0
Martina De Sanctis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11950,2,3,0,5,8,18,0.0011176621601545,0.0026513588612746,0.2549019607843137,0
Alberto Avritzer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12197,2,3,0,3,6,14,0.0011045436764186,0.0015306108327822,0.4725274725274725,0
Sridhar Chimalakonda,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7333,2,1,7,0,8,16,0.001012725880158,0.001012725880158,0.125,0
Khalil Drira,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2096,2,0,2,1,3,10,0.0010072986817486,0.0012420882065851,0.4666666666666667,0
Lionel Seinturier,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1069,2,0,4,2,6,14,0.0010010502855308,0.0006716932925422,0.2087912087912088,0
Dimitrios S. Kolovos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1295,2,1,3,0,4,11,0.0009673243331551,0.0008673860649016,0.4,0
António Rito Silva,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12054,2,3,0,4,7,11,0.0009594119900687,0.0009594119900687,0.109090909090909,0
Klara Borowa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12377,2,2,0,3,5,11,0.000959205006122,0.0009591687839313,0.2727272727272727,0
Philippe Kruchten,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12246,2,3,0,3,6,16,0.0009569697923553,0.0004317379828302,0.525,0
Maria Spichkova,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1328,2,0,4,4,8,16,0.0009425061112488,0.0009526263663471,0.3333333333333333,0
Ivica Crnkovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4576,2,0,2,3,5,10,0.0009068403442362,0.0007306526421519,0.1555555555555555,0
Surya Nepal,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8380,2,0,1,1,2,8,0.0009004004305754,0.0009660096399601,0.5714285714285714,0
Mikko Raatikainen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12302,2,1,0,1,2,7,0.0008755293852141,4.036186962017028e-07,0.5714285714285714,0
Antti-Pekka Tuovinen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3334,2,1,1,0,2,4,0.0008744970527796,1.345395654005676e-07,0.5,0
Akond Ashfaque Ur Rahman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:51,2,2,12,0,14,18,0.0008702900019133,0.0019395422059226,0.1503267973856209,0
Bihuan Chen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:552,2,2,10,0,12,32,0.0008687462453384,0.00463584436974,0.1995967741935483,0
Wolfgang Mauerer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2031,2,2,5,0,7,14,0.0008683096021597,0.0008255311667594,0.1648351648351648,0
Maryam Razavian,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12583,2,5,0,1,6,13,0.0008666649944877,0.0015051758695148,0.2564102564102564,0
Nelly Bencomo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4087,2,1,6,0,7,18,0.0008624733334559,0.0006570914756121,0.1372549019607843,0
Holger Giese,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2657,2,0,5,1,6,11,0.0008597091079379,0.0008214578774395,0.2181818181818181,0
Xipeng Shen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7265,2,0,2,1,3,10,0.0008527635114954,0.0008527635114954,0.3111111111111111,0
Sami Hyrynsalmi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1607,2,0,3,1,4,7,0.0008526393211274,0.0008526393211274,0.5238095238095238,0
Adriana Sejfia,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5437,2,2,3,0,5,9,0.0008037273434301,0.0003944746546796,0.3888888888888889,0
Juan Garbajosa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2303,2,0,3,1,4,10,0.0007990563519073,0.0012253277162167,0.4,0
Pietro Ferrara 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5704,2,1,2,0,3,11,0.0007780011924886,0.0007607757921152,0.3454545454545454,0
Jordi Cabot,4:a207e2fc-2358-4733-aaec-376a2c17a19b:716,2,0,6,1,7,16,0.0007539842342676,0.0004913620184845,0.2,0
