,broker,hub,embedded,peripheral,core
broker,0.5013831258644537,0.0,0.0,0.042185338865836794,0.45643153526970953
hub,0.0,0.0,0.0,0.0,0.0
embedded,0.0,0.0,0.0,0.0,0.0
peripheral,0.28484848484848485,0.0,0.0,0.2606060606060606,0.45454545454545453
core,0.26288032454361054,0.0,0.0,0.04665314401622718,0.6904665314401622
