name,database_id,degree_weighted,betweenness_unweighted,clustering_unweighted,k_shell,role
Lawrence Peters,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6567,4,0.0,1.0,4,core
Lawrence Smith,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7750,9,0.0,1.0,9,core
Lawton Nichols,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7207,2,0.0,1.0,2,peripheral
Laxmi Rijal,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6631,2,0.0,1.0,2,peripheral
Lazar Milikic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:400,2,0.0,1.0,2,peripheral
Lazaro Clapp,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11475,3,0.0,1.0,3,core
Lea Kristin Gerling,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5384,0,0.0,0.0,0,broker
Leandro Nahabedian,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2452,6,0.0,1.0,6,core
Leandro Simões,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4643,6,0.0,1.0,6,core
Lee Gross,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1883,3,0.0,1.0,3,core
Lee Martie,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6024,14,0.0,1.0,14,core
Leepakshi Bindra,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4060,3,0.0,1.0,3,core
Leevi Rantala,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11567,0,0.0,0.0,0,broker
Lefan Zhang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3702,5,0.0,1.0,5,core
Lefteris Angelis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1587,4,0.0,1.0,4,core
Lei Chen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11268,11,0.0,1.0,11,core
Lei Tang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6448,5,0.0,1.0,5,core
Lei Wang 0031,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8333,5,0.0,1.0,5,core
Lei Wei 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9538,3,0.0,1.0,3,core
Lei Wu 0012,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5453,4,0.0,1.0,4,core
Lei Xiao 0015,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9781,7,0.0,1.0,7,core
Lei Yu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5304,9,0.0,1.0,9,core
Lei Zhang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2697,4,0.0,1.0,4,core
Lei Zhang 0096,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9976,9,0.0,1.0,9,core
Lei Zhao 0012,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1819,1,0.0,0.0,1,broker
Leif Bonorden,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13192,1,0.0,0.0,1,broker
Leif Lindbäck,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7043,2,0.0,1.0,2,peripheral
Leif Singer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10975,4,0.0,1.0,4,core
Leila M. R. de Sousa Mariz,4:a207e2fc-2358-4733-aaec-376a2c17a19b:873,3,0.0,1.0,3,core
Leire Orue-Echevarria Arrieta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13662,4,0.0,1.0,4,core
Lenita M. Ambrósio,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5281,5,0.0,1.0,5,core
Lennart Mittag,4:a207e2fc-2358-4733-aaec-376a2c17a19b:421,4,0.0,1.0,4,core
Lennin Arriola,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12963,1,0.0,0.0,1,broker
Lenuta Alboaie,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8832,3,0.0,1.0,3,core
Leo Francis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13594,6,0.0,1.0,6,core
Leo Hatvani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8639,5,0.0,1.0,5,core
Leo Leppänen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9518,3,0.0,1.0,3,core
Leo Moreira Silva,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13285,4,0.0,1.0,4,core
Leo Pruijt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11980,2,0.0,1.0,2,peripheral
Leo Sünkel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10254,7,0.0,1.0,7,core
Leon Bettscheider,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7153,3,0.0,1.0,3,core
Leon Ehrhardt,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13483,1,0.0,0.0,1,broker
Leon Freudenthaler,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9668,0,0.0,0.0,0,broker
Leon Moonen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11388,2,0.0,1.0,2,peripheral
Leon Schaer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9679,2,0.0,1.0,2,peripheral
Leon Yee,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10526,8,0.0,1.0,8,core
Leonard Peter Binamungu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8623,2,0.0,1.0,2,peripheral
Leonardo B. Furtado,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9276,4,0.0,1.0,4,core
Leonardo Banderali,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4059,3,0.0,1.0,3,core
Leonardo Corbalán,4:a207e2fc-2358-4733-aaec-376a2c17a19b:268,6,0.0,1.0,6,core
Leonardo Costantini,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6997,2,0.0,1.0,2,peripheral
Leonardo Guerreiro Azevedo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10441,5,0.0,1.0,5,core
Leonardo Humberto Silva,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11719,2,0.0,1.0,2,peripheral
Leonardo Montecchi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:12621,4,0.0,1.0,4,core
Leonardo Murta 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10457,5,0.0,1.0,5,core
Leonardo Silva Rosa,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13010,3,0.0,1.0,3,core
