name,conference,year,role
Gregory Palmer,ecsa,2022,core
Mathias Drage,ecsa,2022,core
Jan Pacovsky,ecsa,2022,core
Nini Cui,ecsa,2022,core
Bernd Rauch,ecsa,2022,core
Angelo Gargantini,ecsa,2022,core
Vasilios Andrikopoulos,ecsa,2022,core
Xipeng Shen,ecsa,2022,core
Elvinia Riccobene,ecsa,2022,core
Ángel Herranz-Nieva,ecsa,2022,broker
Joakim Anderlind,ecsa,2022,core
Fabio Di Lauro,ecsa,2022,core
Maximilian Walter,ecsa,2022,broker
Holger Eichelberger,ecsa,2022,core
Elisa Yumi Nakagawa,ecsa,2023,broker
Martina De Sanctis,ecsa,2023,broker
Patricia Lago,ecsa,2023,broker
Muhammad Ali Babar 0001,ecsa,2023,broker
Davide Taibi 0001,ecsa,2023,broker
Tomás Cerný,ecsa,2023,broker
André van Hoorn,ecsa,2023,broker
J. Andres Diaz-Pace,ecsa,2023,broker
Robert Heinrich,ecsa,2023,broker
António Rito Silva,ecsa,2023,broker
Uwe Zdun,ecsa,2023,broker
Sven Jordan,ecsa,2023,broker
Ina Schaefer,ecsa,2023,broker
Enrico Vicario,ecsa,2023,broker
Lukas Linsbauer,ecsa,2023,broker
Leonardo Scommegna,ecsa,2023,broker
Roberto Verdecchia,ecsa,2023,broker
Mark G. J. van den Brand,ecsa,2023,peripheral
Vittorio Cortellessa,ecsa,2023,core
Lorenzo Toro-Gálvez,ecsa,2023,core
Christoph König 0002,ecsa,2023,core
Andreas Eich,ecsa,2023,core
Shaukat Ali 0001,ecsa,2023,core
Maria Kolyda,ecsa,2023,core
Pierre-Jean Queval,ecsa,2023,broker
Eirini Kostoglou,ecsa,2023,core
Jens Kosiol,ecsa,2023,broker
Isra Shafique Ahmad,ecsa,2023,core
Sebastian Frank 0001,ecsa,2023,core
Carlos Solís,ecsa,2023,core
Rafael Capilla,ecsa,2023,core
Christopher Gerking,ecsa,2023,core
Maryam Razavian,ecsa,2023,core
Dario Amoroso d'Aragona,ecsa,2023,core
Muhammad Taimoor Khan 0001,ecsa,2023,core
Andreas Morgenstern,ecsa,2023,core
Marion Wiese,ecsa,2023,peripheral
Kenji Tei,ecsa,2023,core
Nguyen Khoi Tran 0001,ecsa,2023,core
Narges Javaheri,ecsa,2023,core
Sebastian Moritz,ecsa,2023,core
Samantha Perry,ecsa,2023,core
Görkem Kilinç Soylu,ecsa,2023,core
Helena Rodrigues 0001,ecsa,2023,peripheral
Hassan Sartaj,ecsa,2023,core
Alberto Avritzer,ecsa,2023,peripheral
Patrizio Pelliccione,ecsa,2023,core
Nicolas Boltz,ecsa,2023,core
Toshihide Ubukata,ecsa,2023,core
Gokhan Yurtalan,ecsa,2023,peripheral
Andrew Walters,ecsa,2023,core
Tommaso Pecorella,ecsa,2023,core
Anh-Duy Tran,ecsa,2023,peripheral
Priom Biswas,ecsa,2023,core
Adel Noureddine,ecsa,2023,core
Yahya Bahadir Karatas,ecsa,2023,peripheral
Chadni Islam,ecsa,2023,peripheral
Kevin Maggi,ecsa,2023,core
Gervais Mendy,ecsa,2023,core
Apostolos Ampatzoglou,ecsa,2023,core
Alper Karamanlioglu,ecsa,2023,peripheral
Andrzej Zalewski,ecsa,2023,core
Nafise Eskandani,ecsa,2023,broker
Sebastian Copei,ecsa,2023,broker
Livia Lestingi,ecsa,2023,core
George Loukas,ecsa,2023,core
Xiaozhou Li 0002,ecsa,2023,core
Joshua Ammermann,ecsa,2023,core
Matteo G. Rossi,ecsa,2023,core
Niklas Braun,ecsa,2023,core
Nianyu Li,ecsa,2023,core
Marcello M. Bersani,ecsa,2023,core
Chouki Tibermacine,ecsa,2023,core
Fahed Alkhabbas,ecsa,2023,core
Michele Tucci 0001,ecsa,2023,core
M. Alireza Hakamian,ecsa,2023,core
Salah Sadou,ecsa,2023,core
Razieh Alidoosti,ecsa,2023,core
Belén Vela,ecsa,2023,broker
Arjan Dekker,ecsa,2023,core
Giovanni Stilo,ecsa,2023,core
Matteo Camilli,ecsa,2023,core
Alexander Chatzigeorgiou,ecsa,2023,core
Henry Muccini,ecsa,2023,broker
Raffaela Mirandola,ecsa,2023,core
Tao Yue 0002,ecsa,2023,core
Sahar Ahmadisakha,ecsa,2023,broker
Sune Chung Jepsen,ecsa,2023,broker
Damian A. Tamburri,ecsa,2023,broker
Rebekka Wohlrab,ecsa,2023,peripheral
Bernardo Andrade,ecsa,2023,peripheral
Samuel Santos,ecsa,2023,peripheral
Rutger van Beek,ecsa,2023,core
Renaud Pawlak,ecsa,2023,core
Yanja Dajsuren,ecsa,2023,peripheral
Vito Walter Anelli,ecsa,2023,core
Jean Marie Dembele,ecsa,2023,core
Rana Fakeeh,ecsa,2023,core
Ali Jannatpour,ecsa,2023,peripheral
Axel-Frederik Brand,ecsa,2023,peripheral
Constantinos Constantinides,ecsa,2023,peripheral
Juan Manuel Murillo,ecsa,2023,core
Md Showkat Hossain Chy,ecsa,2023,core
Daniele Di Pompeo,ecsa,2023,core
Zohreh Mehrafrooz,ecsa,2023,peripheral
Sergio Laso,ecsa,2023,core
Julian Brott,ecsa,2023,core
Nour Ali,ecsa,2023,core
Nico Peter,ecsa,2023,core
Zhenyu Mao,ecsa,2023,core
Antinisca Di Marco,ecsa,2023,core
Paul Davidsson,ecsa,2023,core
Romina Spalazzese,ecsa,2023,core
Ludovico Iovino,ecsa,2023,core
Pablo Oliveira Antonino,ecsa,2023,core
Felipe Cerezo,ecsa,2023,broker
Patrizia Scandurra,ecsa,2023,core
Patrick E. Harris,ecsa,2023,core
Javier Troya,ecsa,2023,core
Richard Doornbos,ecsa,2023,core
Gabriel Breuil,ecsa,2023,core
Jialong Li 0001,ecsa,2023,core
Lylian Siffre,ecsa,2023,core
Tommaso Di Noia,ecsa,2023,core
Mohamed Soliman 0001,ecsa,2023,core
Sarah Druyts,ecsa,2023,core
Markus Funke,ecsa,2023,broker
Michelantonio Trizio,ecsa,2023,core
Enxhi Ferko,ecsa,2023,core
Andrea D'Angelo,ecsa,2023,core
Roberta Capuano,ecsa,2023,broker
Hüseyin Ünlü,ecsa,2023,core
Sebastian Hahner,ecsa,2023,core
Felipe Restrepo-Calle,ecsa,2023,core
Klara Borowa,ecsa,2023,core
Giordano d'Aloisio,ecsa,2023,core
Julian Thorpe,ecsa,2023,core
Anne Koziolek,ecsa,2023,core
Jan-Willem Bikker,ecsa,2023,core
Koen Yskout,ecsa,2023,peripheral
Wouter Joosen,ecsa,2023,peripheral
Jacopo Soldani,ecsa,2023,core
Ralf H. Reussner,ecsa,2023,peripheral
Nuha Alshuqayran,ecsa,2023,core
Amirali Amiri,ecsa,2023,broker
Potito Aghilar,ecsa,2023,core
Patryk Stradomski,ecsa,2023,core
Faheem Ullah,ecsa,2023,broker
Carlos Canal,ecsa,2023,core
Jan Keim,ecsa,2023,core
Rafal Lewanczyk,ecsa,2023,core
Moris Behnam,ecsa,2023,core
Priyanka Karkhanis,ecsa,2023,peripheral
Jesse Maarleveld,ecsa,2023,core
Jeisson Vergara-Vargas,ecsa,2023,core
Nikolaos Nikolaidis 0003,ecsa,2023,core
Alessio Bucaioni,ecsa,2023,core
Torben Worm,ecsa,2023,broker
Georgia Sakellari,ecsa,2023,core
Seth Leslie,ecsa,2023,core
Klaudia Stpiczynska,ecsa,2023,core
Iffat Fatima,ecsa,2023,broker
Luciano Baresi,ecsa,2023,broker
Lauren Adams,ecsa,2023,core
Amr S. Abdelfattah,ecsa,2023,core
Francesca Marzi,ecsa,2023,core
Javier Berrocal,ecsa,2023,core
Claudia Raibulet,ecsa,2023,broker
Antonio Brogi,ecsa,2023,core
Christos Tsigkanos,ecsa,2023,core
David Garlan,ecsa,2023,peripheral
Vasilios Andrikopoulos,ecsa,2023,broker
Diana Di Marco,ecsa,2023,core
Yves Richard Kirschner,ecsa,2023,core
Julie Marie Gjøby,ecsa,2023,core
Sten Grüner,ecsa,2023,broker
Onur Demirörs,ecsa,2023,core
Elias Modrakowski,ecsa,2023,core
Zakaria Sawadogo,ecsa,2023,core
Mehrnoush Hajnorouzi,ecsa,2023,core
Victor Prokhorenko,ecsa,2023,peripheral
Maximilian Walter,ecsa,2023,peripheral
Alexander Bakhtin,ecsa,2023,core
Hendrik Jilderda,ecsa,2023,broker
Thoybur Rohman,ecsa,2023,core
Robert Heinrich,ecsa,2024,broker
Patricia Lago,ecsa,2024,broker
Bahareh Taghavi,ecsa,2024,broker
Damian A. Tamburri,ecsa,2024,broker
Hernán Astudillo,ecsa,2024,broker
Tomás Cerný,ecsa,2024,broker
Amr S. Abdelfattah,ecsa,2024,broker
Muhammad Ashfakur Rahman Arju,ecsa,2024,broker
Fitash Ul Haq,ecsa,2024,core
Khubaib Amjad Alam,ecsa,2024,core
Uwe Zdun,ecsa,2024,broker
Valentina Lenarduzzi,ecsa,2024,core
Denivan Campos,ecsa,2024,core
Gustavo B. Figueiredo,ecsa,2024,core
Francisco Ponce 0001,ecsa,2024,core
Maciej Kopa,ecsa,2024,core
Dominique F. Briechle,ecsa,2024,core
Cesare Pautasso,ecsa,2024,broker
Ernando Passos,ecsa,2024,core
Adriano H. O. Maia,ecsa,2024,core
Mauro Caporuscio,ecsa,2024,core
Ricardo César Mendonça Filho,ecsa,2024,broker
Rania Mzid,ecsa,2024,core
Luana Almeida Martins,ecsa,2024,core
Tobias Geger,ecsa,2024,core
Nicolas Boltz,ecsa,2024,core
Christopher Gerking,ecsa,2024,core
André van Hoorn,ecsa,2024,core
Sebastian Weber 0001,ecsa,2024,core
Rafael Capilla,ecsa,2024,core
Maja Linder,ecsa,2024,core
Mayki dos Santos Oliveira,ecsa,2024,core
Ilyes Rezgui,ecsa,2024,core
Indika Kumara,ecsa,2024,core
Justus Bogner,ecsa,2024,core
Teklie Belay Bzuneh,ecsa,2024,core
Hira Asif,ecsa,2024,core
Sandro Speth,ecsa,2024,core
Muhammad Ali Babar 0001,ecsa,2024,broker
Niklas Krieger,ecsa,2024,core
Sebastian Frank 0001,ecsa,2024,core
Antonela Tommasel,ecsa,2024,core
Jander Pereira,ecsa,2024,core
Nabor C. Mendonça,ecsa,2024,broker
Matias Romário Pinheiro dos Santos,ecsa,2024,core
Raffaela Groner,ecsa,2024,core
Faezeh Amou Najafabadi,ecsa,2024,core
Diego Corrêa da Silva,ecsa,2024,core
Eduardo Ferreira da Silva,ecsa,2024,core
Muhammed Cagri Kaya,ecsa,2024,core
Nils Johansson,ecsa,2024,core
Norberto Cañas,ecsa,2024,core
Anil Cetinkaya,ecsa,2024,core
Cássio V. S. Prazeres,ecsa,2024,core
Dhyego Tavares,ecsa,2024,core
Thomas Weber 0006,ecsa,2024,core
Thaís Batista,ecsa,2024,core
Aref El-Maarawi Tefur,ecsa,2024,core
Sahar Ahmadisakha,ecsa,2024,broker
Stefan Kugele,ecsa,2024,core
Darek Gajewski,ecsa,2024,core
Dario Di Nucci,ecsa,2024,core
Thomas Franz,ecsa,2024,core
Anna Rita Fasolino,ecsa,2024,core
M. Alireza Hakamian,ecsa,2024,core
Halit Oguztüzün,ecsa,2024,core
Tewfik Ziadi,ecsa,2024,core
Jennifer Pérez,ecsa,2024,core
Rebekka Wohlrab,ecsa,2024,core
Patric Genfer,ecsa,2024,broker
Ademar Aguiar,ecsa,2024,broker
Xiaozhou Li 0002,ecsa,2024,core
Ivan Machado 0001,ecsa,2024,core
George Pinto 0001,ecsa,2024,core
Sebastian Stüber,ecsa,2024,core
Md Showkat Hossain Chy,ecsa,2024,core
Korn Sooksatra,ecsa,2024,core
Everton Cavalcante,ecsa,2024,core
Mohammed Fahad Ali,ecsa,2024,core
Martin Lamprecht,ecsa,2024,core
Aneta Poniszewska-Maranda,ecsa,2024,core
Davide Taibi 0001,ecsa,2024,core
Irum Inayat,ecsa,2024,core
Eduardo Santana de Almeida,ecsa,2024,core
Pablo Cruz,ecsa,2024,broker
Sven Schoop,ecsa,2024,core
Daniel Guamán,ecsa,2024,core
Denis Boaventura,ecsa,2024,core
Nilton Flávio S. Seixas,ecsa,2024,core
Stefen Becker,ecsa,2024,core
Flávio Oquendo,ecsa,2024,core
Elisabetta Di Nitto,ecsa,2024,core
Juan Ochoa-Zambrano,ecsa,2024,core
Bardha Ahmeti,ecsa,2024,core
Samodha Pallewatta,ecsa,2024,broker
Domenico Francesco De Angelis,ecsa,2024,core
Frederico Araújo Durão,ecsa,2024,core
Joselito Mota Jr.,ecsa,2024,core
Ipek Ustunboyacioglu,ecsa,2024,core
Jacopo Soldani,ecsa,2024,core
Marco De Luca,ecsa,2024,core
Javier García,ecsa,2024,core
Roberto Verdecchia,ecsa,2024,core
Vick Dini,ecsa,2024,core
Iván Alfonso,ecsa,2024,core
Willem-Jan van den Heuvel,ecsa,2024,core
Domenico Amalfitano,ecsa,2024,core
Erik Hebisch,ecsa,2024,core
Raghad Matar,ecsa,2024,broker
Tobias Olsson,ecsa,2024,core
Bernhard Rumpe,ecsa,2024,core
Enrico Vicario,ecsa,2024,core
Ilias Gerostathopoulos,ecsa,2024,core
Andreas Rausch 0001,ecsa,2024,core
Neil B. Harrison,ecsa,2024,broker
Antonio Brogi,ecsa,2024,core
Sofia Migliorini,ecsa,2024,core
Vanessa Rodríguez-Horcajo,ecsa,2024,core
Michal Pawlak,ecsa,2024,core
Adrian Marin,ecsa,2024,core
Iffat Fatima,ecsa,2024,broker
Jasmin Jahic,ecsa,2024,broker
Armen Sulejmani,ecsa,2024,core
Ivano Malavolta,ecsa,2024,core
Tiago Januario,ecsa,2024,core
Souhaila Serbout,ecsa,2024,broker
Marit Briechle-Mathiszig,ecsa,2024,core
Saif Ur Rehman Khan 0001,ecsa,2024,core
Jorge Andrés Díaz Pace,ecsa,2024,core
Vasilios Andrikopoulos,ecsa,2024,broker
Lorenz Schreyer,ecsa,2024,core
Tales Viglioni,ecsa,2024,core
Mateusz Owczarek,ecsa,2024,core
Maycon L. M. Peixoto,ecsa,2024,core
Larissa Schmid,ecsa,2024,core
Alexander Bakhtin,ecsa,2024,core
Jordi Cabot,ecsa,2024,core
Jörg Henß,ecsa,2024,core
Renato Cordeiro Ferreira,ecsa,2025,broker
Rick Kazman,ecsa,2025,broker
Henry Muccini,ecsa,2025,broker
Karthik Vaidhyanathan,ecsa,2025,broker
Alfredo Goldman,ecsa,2025,broker
Stefen Becker,ecsa,2025,broker
Zakaria Benzadri,ecsa,2025,broker
Andreas Rausch 0001,ecsa,2025,broker
Uwe Zdun,ecsa,2025,broker
Claudia Raibulet,ecsa,2025,broker
Angelos Motsios,ecsa,2025,broker
Christos Tsigkanos,ecsa,2025,broker
Dominique F. Briechle,ecsa,2025,core
Francesco Urdih,ecsa,2025,core
Patrizio Pelliccione,ecsa,2025,core
Jonas Lammert,ecsa,2025,core
Iyad Wehbe,ecsa,2025,core
Khaoula Jbari,ecsa,2025,core
Jens Kosiol,ecsa,2025,core
Noman Ahmad,ecsa,2025,core
Christopher Gerking,ecsa,2025,core
Daniel Angelo Esteves Lawand,ecsa,2025,core
Keerthiga Rajenthiram,ecsa,2025,core
James E. Direen,ecsa,2025,core
Harry G. Direen,ecsa,2025,core
Jiyan Salim Mahmud,ecsa,2025,core
Randal H. Direen,ecsa,2025,core
Petr Hnetynka,ecsa,2025,core
Vladimir Yussupov,ecsa,2025,core
Indika Kumara,ecsa,2025,core
Theodoros Theodoropoulos,ecsa,2025,core
Petra Heck,ecsa,2025,core
Naomi Unkelos-Shpigel,ecsa,2025,broker
Pavel Nedvedický,ecsa,2025,core
Aashna Sofat,ecsa,2025,broker
Sebastian Copei,ecsa,2025,core
Dalila Tamzalit,ecsa,2025,core
Daniel Waghubinger,ecsa,2025,core
Nabor C. Mendonça,ecsa,2025,broker
Giorgio Amasanti,ecsa,2025,broker
Valentina Lenarduzzi,ecsa,2025,core
Filipe F. Correia,ecsa,2025,core
Stefan Wagner 0001,ecsa,2025,core
Tobias Geger,ecsa,2025,core
George Papastefanatos,ecsa,2025,core
Mauro Caporuscio,ecsa,2025,broker
Mikel Robredo,ecsa,2025,core
Nicolas Boltz,ecsa,2025,core
Natali Levi-Soskin,ecsa,2025,broker
Pauline Delporte,ecsa,2025,core
Nils Johansson,ecsa,2025,broker
Francisco Mendonça,ecsa,2025,core
Maike Salfeld,ecsa,2025,core
Moritz Wäschle,ecsa,2025,core
Lucas Quaresma Medina Lam,ecsa,2025,core
Joshua Bachmeier,ecsa,2025,core
Manthan Venkataramana Shenoy,ecsa,2025,broker
Livia Lestingi,ecsa,2025,core
Zadia Codabux,ecsa,2025,core
Dario Di Nucci,ecsa,2025,core
Manon Peeters,ecsa,2025,core
Eoan O'Dea,ecsa,2025,core
Stefan Kugele,ecsa,2025,core
Thaís Batista,ecsa,2025,core
Floriment Klinaku,ecsa,2025,core
Thomas Franz,ecsa,2025,core
Elia Ashraf,ecsa,2025,core
Anna Rita Fasolino,ecsa,2025,core
Claudio Tessa,ecsa,2025,core
Panagiotis Gidarakos,ecsa,2025,core
Timo Kehrer,ecsa,2025,core
Björn Salgert,ecsa,2025,core
Aymen Abdelmoumen,ecsa,2025,core
Oliver Hohlfeld,ecsa,2025,core
Paulo G. G. Queiroz,ecsa,2025,core
Miroslaw Staron,ecsa,2025,broker
Tomás Vojnar,ecsa,2025,core
Roberto Oliveira Bolgheroni,ecsa,2025,core
Thatiane de Oliveira Rosa,ecsa,2025,core
Ruoyu Su,ecsa,2025,core
Damian A. Tamburri,ecsa,2025,core
Michael Vierhauser,ecsa,2025,core
Ahmed Hadj Kacem,ecsa,2025,core
João-Vitor Zacchi,ecsa,2025,core
Matthias Tichy,ecsa,2025,core
Dionysios I. Reisis,ecsa,2025,core
Christoforos Vasilakis,ecsa,2025,core
Stephen John Warnett,ecsa,2025,broker
Michael Riegler 0002,ecsa,2025,core
Janne Wagner,ecsa,2025,core
Moamin Abughazala,ecsa,2025,broker
Catia Trubiani,ecsa,2025,core
Shaunak Biswas,ecsa,2025,core
Nabil Abdennadher,ecsa,2025,core
Marcelo Finger,ecsa,2025,core
Oliver Raabe,ecsa,2025,core
Giorgos Giannopoulos,ecsa,2025,core
Davide Taibi 0001,ecsa,2025,core
Everton Cavalcante,ecsa,2025,core
Willem-Jan van den Heuvel,ecsa,2025,core
Feryel Benina,ecsa,2025,core
Merel Veracx,ecsa,2025,core
J. Andres Diaz-Pace,ecsa,2025,core
Henk-Jan Hoving,ecsa,2025,core
Mohammed Fahad Ali,ecsa,2025,core
Nikolaos Theologitis,ecsa,2025,core
Sven Thielen,ecsa,2025,core
Mohamed Soliman 0001,ecsa,2025,core
Tomás Cerný,ecsa,2025,core
Bengt Haraldsson,ecsa,2025,broker
Ashwin Prasad Shivarpatna Venkatesh,ecsa,2025,core
Claudio Giovanoli,ecsa,2025,broker
Tiziano Santilli,ecsa,2025,core
Matteo Esposito 0001,ecsa,2025,core
Tobias Eisenreich,ecsa,2025,core
Jacco Snoeren,ecsa,2025,core
Elisa Yumi Nakagawa,ecsa,2025,core
Patricia Lago,ecsa,2025,core
Roberta Capuano,ecsa,2025,core
Fabio Palomba,ecsa,2025,core
Kamel M. K. Abdelsalam,ecsa,2025,core
Giovanna Di Marzo Serugendo,ecsa,2025,core
Ricardo Ferreira,ecsa,2025,core
Matan Yakobovich,ecsa,2025,core
Matteo Bochicchio,ecsa,2025,core
Nathanael Bosilia,ecsa,2025,core
Francesca Arcelli Fontana,ecsa,2025,core
Sarah Stieß,ecsa,2025,core
Leonie Sterz,ecsa,2025,core
Marco De Luca,ecsa,2025,core
Milad Abdullah,ecsa,2025,core
Markus Schweizer,ecsa,2025,core
Eva Zimmermann,ecsa,2025,core
Jan Keim,ecsa,2025,core
Loukas Kavouras,ecsa,2025,core
Domenico Amalfitano,ecsa,2025,core
Lucas Mauser,ecsa,2025,core
Philipp Haindl,ecsa,2025,core
Johannes Sametinger,ecsa,2025,core
Rowan Arts,ecsa,2025,core
Ricardo Hideki Hangai Kojo,ecsa,2025,core
Srinivasan Rakhunathan,ecsa,2025,core
Raphael Straub 0001,ecsa,2025,core
Bennet Puthuparambil,ecsa,2025,broker
Gerald Weinberger,ecsa,2025,core
Jasmin Jahic,ecsa,2025,broker
Núria Mata,ecsa,2025,core
Ilias Gerostathopoulos,ecsa,2025,core
Andrea Capiluppi,ecsa,2025,core
Luciano Baresi,ecsa,2025,core
Balwinder Sodhi,ecsa,2025,broker
Jakub Ozimek,ecsa,2025,core
David Kozak,ecsa,2025,core
Jean-Philippe Gouigoux,ecsa,2025,core
Glauber Queiroz de Oliveira,ecsa,2025,broker
Shanjay Kailayanathan,ecsa,2025,core
Gabriel Goulis,ecsa,2025,core
Robert Werner,ecsa,2025,core
Marit Briechle-Mathiszig,ecsa,2025,core
David Garlan,ecsa,2025,core
Ismael Bouassida Rodriguez,ecsa,2025,core
Luiz Fernando Corte Real,ecsa,2025,core
George York,ecsa,2025,core
Faiza Belala,ecsa,2025,core
Fazli Faruk Okumus,ecsa,2025,core
Hasini Sumalee Perera,ecsa,2025,core
Osman Abdelmukaram,ecsa,2025,core
Michele Pugno,ecsa,2025,broker
Stavros Maroulis,ecsa,2025,core
Vernon Joseph Brabec,ecsa,2025,core
Hiya Bhatt,ecsa,2025,core
Heiko Koziolek,ecsa,2025,core
Adam Kattan Rahmani,ecsa,2025,core
Marco Stadler,ecsa,2025,core
Alexander Bakhtin,ecsa,2025,core
Alexandros Tsagkaropoulos,ecsa,2025,core
Jörg Henß,ecsa,2025,core
Bashar Nuseibeh,icse,2016,broker
Alessandra Russo,icse,2016,broker
Sebastián Uchitel,icse,2016,broker
Carlo Ghezzi,icse,2016,broker
Domenico Bianculli,icse,2016,broker
Premkumar T. Devanbu,icse,2016,broker
Pierre-Yves Schobbens,icse,2016,broker
Georgios Gousios,icse,2016,broker
Mehrdad Sabetzadeh,icse,2016,broker
Alberto Bacchelli,icse,2016,broker
Marsha Chechik,icse,2016,broker
Julia Rubin,icse,2016,broker
Annibale Panichella,icse,2016,broker
Thomas Zimmermann 0001,icse,2016,broker
Mike Papadakis,icse,2016,broker
Rocco Oliveto,icse,2016,broker
Mark Harman,icse,2016,broker
Paul C. Castro,icse,2016,broker
Omer Tripp,icse,2016,broker
Sonia Haiduc,icse,2016,broker
Christian Bird,icse,2016,broker
Marco Pistoia,icse,2016,broker
Andrew Begel,icse,2016,broker
Chris Parnin,icse,2016,broker
Miryung Kim,icse,2016,broker
Benoît Combemale,icse,2016,broker
Harald C. Gall,icse,2016,broker
Robert DeLine,icse,2016,broker
Corrado Aaron Visaggio,icse,2016,broker
Sebastiano Panichella,icse,2016,broker
Massimiliano Di Penta,icse,2016,broker
Dan Hao 0001,icse,2016,broker
Mir Anamul Hasan,icse,2016,broker
Andy Zaidman,icse,2016,broker
Moritz Beller,icse,2016,broker
Yue Jia 0001,icse,2016,broker
Xiao Qu,icse,2016,broker
Margaret-Anne D. Storey,icse,2016,broker
Jeff Kramer,icse,2016,broker
Ahmed E. Hassan,icse,2016,broker
Tsong Yueh Chen,icse,2016,broker
Xiangyu Zhang 0001,icse,2016,broker
Xiaoyuan Xie,icse,2016,broker
Tao Xie 0001,icse,2016,broker
Hongyu Zhang 0002,icse,2016,broker
Ken-ichi Matsumoto,icse,2016,broker
Martin C. Rinard,icse,2016,broker
Gordon Fraser 0001,icse,2016,broker
Lionel C. Briand,icse,2016,broker
Shiva Nejati 0001,icse,2016,broker
Andrian Marcus,icse,2016,broker
Gerardo Canfora,icse,2016,broker
Ruzanna Chitchyan,icse,2016,broker
Axel Legay,icse,2016,broker
Gilles Perrouin,icse,2016,broker
Baowen Xu,icse,2016,broker
Awais Rashid,icse,2016,broker
Bram Adams,icse,2016,broker
Danny Dig,icse,2016,broker
John C. Grundy,icse,2016,broker
Rick Kazman,icse,2016,broker
Gregory M. Kapfhammer,icse,2016,broker
Phil McMinn,icse,2016,broker
Laurie A. Williams,icse,2016,broker
Hideaki Hata,icse,2016,broker
Guenther Ruhe,icse,2016,broker
Liliana Pasquale,icse,2016,broker
Stefan Wagner 0001,icse,2016,broker
Lin Tan 0001,icse,2016,broker
Koushik Sen,icse,2016,broker
Munawar Hafiz,icse,2016,broker
Leticia Duboc,icse,2016,broker
Olga Baysal,icse,2016,broker
Patrick Heymans,icse,2016,broker
Emerson R. Murphy-Hill,icse,2016,broker
Ayse Basar Bener,icse,2016,broker
Carlos Jensen,icse,2016,broker
Shane McIntosh,icse,2016,broker
Leon J. Osterweil,icse,2016,broker
Lu Zhang 0023,icse,2016,broker
Romain Rouvoy,icse,2016,broker
Shing-Chi Cheung,icse,2016,broker
Audris Mockus,icse,2016,broker
Mathieu Acher,icse,2016,broker
Yuriy Brun,icse,2016,broker
Yan Cai 0001,icse,2016,broker
Wei You 0001,icse,2016,broker
Bin Liang 0002,icse,2016,broker
Wenchang Shi,icse,2016,broker
Zicong Liu,icse,2016,broker
Zhenyu Chen 0001,icse,2016,broker
Nenad Medvidovic,icse,2016,broker
Muhammad Ali Babar 0001,icse,2016,broker
Daniel Méndez Fernández,icse,2016,broker
Abhik Roychoudhury,icse,2016,broker
Rafael Prikladnicki,icse,2016,broker
Martin P. Robillard,icse,2016,broker
S. M. Didar Al Alam,icse,2016,broker
Denys Poshyvanyk,icse,2016,broker
Christoph Treude,icse,2016,broker
Emil Alégroth,icse,2016,broker
Xiaobing Sun 0001,icse,2016,broker
Ita Richardson,icse,2016,broker
Iftekhar Ahmed 0001,icse,2016,broker
Xavier Franch,icse,2016,broker
Yves Le Traon,icse,2016,broker
Yan Liu,icse,2016,broker
Chanchal K. Roy,icse,2016,broker
Jordi Cabot,icse,2016,broker
Sanjay Podder,icse,2016,broker
Fabio Q. B. da Silva,icse,2016,broker
Jens H. Weber,icse,2016,broker
Paolo Ciancarini,icse,2016,broker
Jane Cleland-Huang,icse,2016,broker
Padmaja Joshi,icse,2016,broker
Yann-Gaël Guéhéneuc,icse,2016,broker
Larry A. Vea,icse,2016,broker
Ashwin Nivangune,icse,2016,broker
Pankesh Patel,icse,2016,broker
Paul Ralph,icse,2016,broker
Alberto Sillitti,icse,2016,broker
Giancarlo Succi,icse,2016,broker
Bernd Bruegge,icse,2016,broker
Jesús García-Galán,icse,2016,broker
Eric Bodden,icse,2016,broker
Gabriele Taentzer,icse,2016,broker
Cristian Cadar,icse,2016,broker
Barbara Russo,icse,2016,broker
Mira Mezini,icse,2016,broker
Michael Pradel,icse,2016,broker
Michele Marchesi,icse,2016,broker
Gabriele Bavota,icse,2016,broker
Jean-Guy Schneider,icse,2016,broker
Jun Han 0004,icse,2016,broker
Steve Versteeg,icse,2016,broker
Witold Pedrycz,icse,2016,broker
Lutz Prechelt,icse,2016,broker
Jan Bosch,icse,2016,broker
Martin Monperrus,icse,2016,broker
Shirin Akbarinasaji,icse,2016,broker
Daniel Jackson 0001,icse,2016,broker
Don S. Batory,icse,2016,broker
Alastair F. Donaldson,icse,2016,broker
Franz Zieris,icse,2016,broker
Collin McMillan,icse,2016,broker
Akinori Ihara,icse,2016,broker
Stephan Krusche,icse,2016,broker
Vikrant Kaulgud,icse,2016,broker
Vibhu Saujanya Sharma,icse,2016,broker
Francesco Mercaldo,icse,2016,broker
Hong-Mei Chen,icse,2016,broker
Atanas Rountev,icse,2016,broker
Federica Sarro,icse,2016,broker
Klaus Pohl,icse,2016,broker
Amir Molzam Sharifloo,icse,2016,broker
Andreas Metzger,icse,2016,broker
Daniel Russo 0002,icse,2016,broker
Nikolai Tillmann,icse,2016,broker
Klaas-Jan Stol,icse,2016,broker
Marios Fokaefs,icse,2016,broker
Marin Litoiu,icse,2016,broker
Brian Fitzgerald 0001,icse,2016,broker
Vaibhav Saini,icse,2016,broker
Cristina V. Lopes,icse,2016,broker
Hitesh Sajnani,icse,2016,broker
Damian A. Tamburri,icse,2016,broker
