name,conference,year,role
Miroslaw Staron,icsa,2017,core
Angelika Musil,icsa,2017,core
Hanxiao Liu,icsa,2017,core
Ludovico Iovino,icsa,2017,core
Gordana Dodig Crnkovic,icsa,2017,core
Nigel Thomas,icsa,2017,core
Daniel Ståhl,icsa,2017,core
Kenny Wehling,icsa,2017,core
Giuseppe Procaccianti,icsa,2017,core
Amleto Di Salle,icsa,2017,core
Elisabetta Di Nitto,icsa,2017,core
Nenad Medvidovic,icsa,2017,core
Rajitha Yasaweerasinghelage,icsa,2017,core
Flávio Oquendo,icsa,2017,core
Reiner Jung,icsa,2017,core
Sara Hassan,icsa,2017,core
Yuriy Brun,icsa,2017,core
Kunal Suri,icsa,2017,core
Olivier Barais,icsa,2017,core
Jan Pieter Guelen,icsa,2017,core
Ronny Seiger,icsa,2017,core
Hazeline U. Asuncion,icsa,2017,core
Harald Altinger,icsa,2017,core
Mauricio Alférez,icsa,2017,core
Diego Marmsoler,icsa,2017,core
Gregor Engels,icsa,2017,core
Tarun Gupta 0001,icsa,2017,core
Oliver Bringmann 0001,icsa,2017,core
Ralf Ramsauer,icsa,2017,core
Christian Bartelt,icsa,2017,broker
Reinder J. Bril,icsa,2017,core
Wolfgang Hopfensitz,icsa,2017,core
Nour Ali,icsa,2017,core
Riccardo Roveda,icsa,2017,core
Morgan Ericsson,icsa,2017,core
Floris Bex,icsa,2017,core
Alessandro Ricci,icsa,2017,broker
Klym Shumaiev,icsa,2017,broker
Per Persson,icsa,2017,core
Yiming Yang 0002,icsa,2017,core
Francesca Arcelli Fontana,icsa,2017,core
Manoj Bhat,icsa,2017,broker
Amit Kumar Mondal,icsa,2017,core
Socrates Veridiano Faria Lopes,icsa,2017,broker
Mahmoud Hammad,icsa,2017,core
Manfred Broy,icsa,2017,core
Rami Bahsoon,icsa,2017,core
Felix Willnecker,icsa,2017,core
Tobias Olsson,icsa,2017,core
Tudor B. Ionescu,icsa,2017,core
Axel Busch,icsa,2017,core
Christian Zirkelbach 0002,icsa,2017,core
Marie Christin Platenius,icsa,2017,core
Jean-Philippe Gouigoux,icsa,2017,broker
David Wille,icsa,2017,core
Premek Brada,icsa,2017,core
Ondrej Gasior,icsa,2017,core
Brice Morin,icsa,2017,broker
Rafael Capilla,icsa,2017,broker
Christian Wulf,icsa,2017,core
Wolfgang Mauerer,icsa,2017,core
Angelo Croatti,icsa,2017,broker
Van Cam Pham,icsa,2017,core
Uwe Aßmann,icsa,2017,core
Martijn M. H. P. van den Heuvel,icsa,2017,core
Frank Leymann,icsa,2017,core
Ralf H. Reussner,icsa,2017,core
Manoj Kannan Soundara Pandian,icsa,2017,core
Klaus Dietmayer,icsa,2017,core
Joost Bosman 0001,icsa,2017,broker
Liming Zhu 0001,icsa,2017,core
Adriana Sejfia,icsa,2017,core
Erhard Weiss,icsa,2017,core
Oscar Bjuhr,icsa,2017,core
Thanh Tran Thi Kim,icsa,2017,core
Jair C. Leite,icsa,2017,core
Johannes Ohlemacher,icsa,2017,core
Johan J. Lukkien,icsa,2017,core
Ansgar Radermacher,icsa,2017,core
Marco Zanoni,icsa,2017,core
Bernhard Rumpe,icsa,2017,core
Stephany Bellomo,icsa,2017,core
Habtom Kahsay Gidey,icsa,2017,core
Peng Liang 0001,icsa,2017,core
Marta Kwiatkowska,icsa,2017,core
Heiko Koziolek,icsa,2017,broker
Clara Axelsson,icsa,2017,core
Yongjie Zheng,icsa,2017,core
Bashar Nassar,icsa,2017,broker
Paris Avgeriou,icsa,2017,broker
Raphael Eidenbenz,icsa,2017,core
Andreas Vogelsang,icsa,2017,core
Chanchal K. Roy,icsa,2017,core
John Klein,icsa,2017,core
Jeroen Redegeld,icsa,2017,core
Fabian Burzlaff,icsa,2017,broker
Alexander Ponomarev,icsa,2017,core
Federico Giaimo,icsa,2017,broker
Tomás Bures,icsa,2018,broker
Miroslaw Staron,icsa,2018,broker
Vittorio Cortellessa,icsa,2018,broker
Patrizio Pelliccione,icsa,2018,broker
Romina Spalazzese,icsa,2018,broker
Simon Eismann,icsa,2018,broker
Samuel Kounev,icsa,2018,broker
Nenad Medvidovic,icsa,2018,broker
Arman Shahbazian,icsa,2018,broker
Duc Minh Le,icsa,2018,broker
Andreas Biesdorf,icsa,2018,broker
Klym Shumaiev,icsa,2018,broker
Manoj Bhat,icsa,2018,broker
Florian Matthes,icsa,2018,broker
Benno Kallweit,icsa,2018,broker
Thomas Kuhn 0001,icsa,2018,broker
Pablo Oliveira Antonino,icsa,2018,broker
Andreas Morgenstern,icsa,2018,broker
Yan Liu 0001,icsa,2018,core
Ole Meyer,icsa,2018,core
Antonela Tommasel,icsa,2018,core
Maryam Razavian,icsa,2018,core
Clemens A. Szyperski,icsa,2018,core
Victor Cortez,icsa,2018,core
Claudio Menghi,icsa,2018,core
David W. Binkley,icsa,2018,core
Marie Christin Platenius,icsa,2018,core
Pavel A. Dmitriev,icsa,2018,core
Aleksander Fabijan,icsa,2018,core
Petr Hnetynka,icsa,2018,core
Ron Ice,icsa,2018,core
Hye-Young Paik,icsa,2018,core
Laurens Sion,icsa,2018,core
Zheng Li 0001,icsa,2018,core
David Severin Ryberg,icsa,2018,core
Thorsten Berger,icsa,2018,core
Ion Barosan,icsa,2018,core
Yan Liu,icsa,2018,broker
Michele Guerriero,icsa,2018,core
Fred Langerak,icsa,2018,core
Uwe Zdun,icsa,2018,broker
Fabian Burzlaff,icsa,2018,broker
Dimitri Van Landuyt,icsa,2018,core
Uwe Assmann,icsa,2018,core
Katrin Eling,icsa,2018,core
Daniela Godoy,icsa,2018,core
Jóakim von Kistowski,icsa,2018,core
Scott Ranville,icsa,2018,core
Eduardo Silva 0001,icsa,2018,core
Raymond Turin,icsa,2018,core
Lidiane Oliveira dos Santos,icsa,2018,core
Johan Stokking,icsa,2018,core
Mark G. J. van den Brand,icsa,2018,core
