name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Eduardo Ferreira da Silva,Eduardo Silva 0001,eduardo silva,eduardo silva,1.0,0,
Fabio Q. B. da Silva,Fabio Queda Bueno da Silva,fabio silva,fabio silva,1.0,0,
Fabio Q. B. da Silva,Fabio Silva,fabio silva,fabio silva,1.0,0,
Fabio Queda Bueno da Silva,Fabio Silva,fabio silva,fabio silva,1.0,0,
Valeria Silva,Valéria Martins Da Silva,valeria silva,valeria silva,1.0,0,
Sebastian C. Muller,Sebastian C. Müller,sebastian muller,sebastian muller,1.0,0,
Hoang H. Nguyen,Hoang Lam Nguyen,hoang nguyen,hoang nguyen,1.0,0,
Thanh H. D. Nguyen,Thanh Van Nguyen,thanh nguyen,thanh nguyen,1.0,0,
ThanhVu H. Nguyen,ThanhVu Nguyen,thanhvu nguyen,thanhvu nguyen,1.0,0,
Timothy C. Lethbridge,Timothy Lethbridge,timothy lethbridge,timothy lethbridge,1.0,0,
MyeongSoo Kim,Myeongsoo Kim,myeongsoo kim,myeongsoo kim,1.0,0,
Kevin Guan,Kevin Z. Guan,kevin guan,kevin guan,1.0,0,
Carlos Eduardo Duarte,Carlos Henrique C. Duarte,carlos duarte,carlos duarte,1.0,0,
Francisco Duarte,Francisco J. Duarte,francisco duarte,francisco duarte,1.0,0,
Muhammad Khan,Muhammad Taimoor Khan 0001,muhammad khan,muhammad khan,1.0,0,
Emitza Guzman,Emitzá Guzmán,emitza guzman,emitza guzman,1.0,0,
Emil C. Lupu,Emil Constantine Lupu,emil lupu,emil lupu,1.0,0,
André Luíz de Oliveira,André Oliveira,andre oliveira,andre oliveira,1.0,0,
Roberto Felicio Oliveira 0003,Roberto Oliveira 0002,roberto oliveira,roberto oliveira,1.0,0,
Bernardo Estácio,Bernardo José da Silva Estácio,bernardo estacio,bernardo estacio,1.0,0,
Jose Manuel Redondo López,José Antonio Hernández López,jose lopez,jose lopez,1.0,0,
