name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Rodrigo O. Spínola,Rodrigo Oliveira Spínola,rodrigo spinola,rodrigo spinola,1.0,2,Carolyn B. Seaman; Nicolli Rios

Gudjon Einar Magnusson,Gudjon Magnusson,gudjon magnusson,gudjon magnusson,1.0,2,Adam A. Porter; Mikael Lindvall

Ayse Basar Bener,Ayse Bener,ayse bener,ayse bener,1.0,2,Shirin Akbarinasaji; Syed Shariyar Murtaza

Bora Caglayan,Bora Çaglayan,bora caglayan,bora caglayan,1.0,2,Andriy V. Miranskyy; Ayse Basar Bener

Roberto E. Lopez-Herrejon,Roberto Erick Lopez-Herrejon,roberto lopez-herrejon,roberto lopez-herrejon,1.0,2,Alexander Egyed; Lukas Linsbauer

Mark G. J. van den Brand,Mark van den Brand,mark brand,mark brand,1.0,2,Priyanka Karkhanis; Yanja Dajsuren

Jan Pacovsky,Jan Pacovský,jan pacovsky,jan pacovsky,1.0,2,Petr Hnetynka; Tomás Bures

Fernando Figueira Filho,Fernando Marques Figueira Filho,fernando filho,fernando filho,1.0,2,Cleidson R. B. de Souza; Sabrina Marczak

Akond Ashfaque Ur Rahman,Akond Rahman,akond rahman,akond rahman,1.0,1,Laurie A. Williams

Zhen Ming (Jack) Jiang,Zhen Ming Jack Jiang,zhen jiang,zhen jiang,1.0,1,Boyuan Chen

Zhen Ming (Jack) Jiang,Zhen Ming Jiang,zhen jiang,zhen jiang,1.0,1,Boyuan Chen

Themistoklis Diamantopoulos,Themistoklis G. Diamantopoulos,themistoklis diamantopoulos,themistoklis diamantopoulos,1.0,1,Andreas L. Symeonidis

Aditya Ghose,Aditya K. Ghose,aditya ghose,aditya ghose,1.0,1,Hoa Khanh Dam

Phuong T. Nguyen 0001,Phuong Thanh Nguyen 0001,phuong nguyen,phuong nguyen,1.0,1,Davide Di Ruscio

Danfeng (Daphne) Yao,Danfeng Daphne Yao,danfeng yao,danfeng yao,1.0,1,Na Meng

Lucas B. R. Oliveira,Lucas Bueno Ruas de Oliveira,lucas oliveira,lucas oliveira,1.0,1,Milena Guessi

Patrick J. Morrison,Patrick Morrison,patrick morrison,patrick morrison,1.0,1,Laurie A. Williams

Cláudia M. L. Werner,Cláudia Maria Lima Werner,claudia werner,claudia werner,1.0,1,Toacy Cavalcante de Oliveira

Michel Chaudron,Michel R. V. Chaudron,michel chaudron,michel chaudron,1.0,1,Satrio Adi Rukmono

Syed Asad Ali Naqvi,Syed Asad Naqvi,syed naqvi,syed naqvi,1.0,1,Awais Rashid

Rosana T. Vaccare Braga,Rosana Teresinha Vaccare Braga,rosana braga,rosana braga,1.0,1,Iohan Gonçalves Vargas

Jaime Navon,Jaime Navón,jaime navon,jaime navon,1.0,1,José I. Benedetto

Maurício Aniche,Maurício Finavaro Aniche,mauricio aniche,mauricio aniche,1.0,1,Annibale Panichella

Luis Cruz 0002,Luís Cruz 0002,luis cruz,luis cruz,1.0,1,Arie van Deursen

