name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,status
LiGuo Huang,Liguo Huang,liguo huang,liguo huang,1.0,6,both
Lucas B. R. Oliveira,Lucas Bueno Ruas de Oliveira,lucas oliveira,lucas oliveira,1.0,1,both
Luis Cruz 0002,Luís Cruz 0002,luis cruz,luis cruz,1.0,1,both
Madan Musuvathi,Madanlal Musuvathi,madan musuvathi,madanlal musuvathi,0.909,3,resolved_only
Mahmoud Hammad,Mahmoud M. Hammad,mahmoud hammad,mahmoud hammad,1.0,1,both
Margaret Burnett,Margaret M. Burnett,margaret burnett,margaret burnett,1.0,3,both
Mark G. J. van den Brand,Mark van den Brand,mark brand,mark brand,1.0,2,both
Matteo G. Rossi,Matteo Rossi 0001,matteo rossi,matteo rossi,1.0,1,both
Mattias Galnander,Mattias Gålnander,mattias galnander,mattias galnander,1.0,3,both
Mauricio Finavaro Aniche,Maurício Finavaro Aniche,mauricio aniche,mauricio aniche,1.0,2,both
Maurício Aniche,Maurício Finavaro Aniche,mauricio aniche,mauricio aniche,1.0,1,both
Md Mahbubur Rahman,Md. Masudur Rahman 0001,md rahman,md. rahman,0.947,2,resolved_only
Mehdi Mirakhorli,Mehdi Tarrit Mirakhorli,mehdi mirakhorli,mehdi mirakhorli,1.0,1,both
Michael Coblenz,Michael J. Coblenz,michael coblenz,michael coblenz,1.0,0,manual_only
Michel Chaudron,Michel R. V. Chaudron,michel chaudron,michel chaudron,1.0,1,both
Miguel A. Jiménez 0003,Miguel Jiménez 0003,miguel jimenez,miguel jimenez,1.0,4,both
Mir Anamul Hasan,Mir Hasan,mir hasan,mir hasan,1.0,1,both
Mohamed Abdelrazek 0001,Mohamed Almorsy Abdelrazek,mohamed abdelrazek,mohamed abdelrazek,1.0,6,both
Muhammad Ashfakur Rahman Arju,Muhmmad Ashfakur Rahman Arju,muhammad arju,muhmmad arju,0.96,2,resolved_only
Nikolas Herbst,Nikolas Roman Herbst,nikolas herbst,nikolas herbst,1.0,1,both
Patrick J. Morrison,Patrick Morrison,patrick morrison,patrick morrison,1.0,1,both
Paulo Henrique M. Maia,Paulo Henrique Mendes Maia,paulo maia,paulo maia,1.0,1,both
Phuong T. Nguyen 0001,Phuong Thanh Nguyen 0001,phuong nguyen,phuong nguyen,1.0,1,both
Qanjun Zhang,Quanjun Zhang,qanjun zhang,quanjun zhang,0.96,3,resolved_only
Roberto E. Lopez-Herrejon,Roberto Erick Lopez-Herrejon,roberto lopez-herrejon,roberto lopez-herrejon,1.0,2,both
